iso_partner,partner_jurisdiction,total_net_misalignment_musd,group
BEL,Belgium,-216992.40800275406,benefits_from_ut
FRA,France,-172519.02943887014,benefits_from_ut
DEU,Germany,-114333.07253492379,benefits_from_ut
ESP,Spain,-81816.29906836599,benefits_from_ut
POL,Poland,-38870.38146591916,benefits_from_ut
ITA,Italy,-34798.89289535335,benefits_from_ut
IRL,Ireland,-32026.756848612444,benefits_from_ut
ROU,Romania,-31613.050367969725,benefits_from_ut
CYP,Cyprus,-16363.25175126913,benefits_from_ut
EST,Estonia,-14767.24404872225,benefits_from_ut
GRC,Greece,-5496.530149095834,benefits_from_ut
HUN,Hungary,-5405.134904716443,benefits_from_ut
LTU,Lithuania,-3189.521496848541,benefits_from_ut
HRV,Croatia,-2913.7305397194177,benefits_from_ut
LVA,Latvia,-1958.505429152599,benefits_from_ut
PRT,Portugal,-1594.1729933945385,benefits_from_ut
SVN,Slovenia,-1457.7640330503302,benefits_from_ut
BGR,Bulgaria,-168.20203060065444,benefits_from_ut
SVK,Slovak Republic,809.3496242649852,loses_under_ut
CZE,Czechia,3190.6297706771256,loses_under_ut
AUT,Austria,8647.069187796522,loses_under_ut
FIN,Finland,15181.419534069766,loses_under_ut
MLT,Malta,19550.301035820015,loses_under_ut
LUX,Luxembourg,92245.5819994158,loses_under_ut
DNK,Denmark,96132.78011029346,loses_under_ut
SWE,Sweden,97053.51823830715,loses_under_ut
NLD,Netherlands,194654.65189289732,loses_under_ut
