iso_partner,partner_jurisdiction,net_bn,reported_bn,etr,etr_pct,role
NLD,Netherlands,191.97174373182725,450.2231720457347,0.07781289544638086,7.781289544638086,winner_haven
SWE,Sweden,97.11312228740366,362.3906589519028,0.10160741239526835,10.160741239526835,winner_haven
DNK,Denmark,93.11136342634471,258.00366571602177,0.111615583555342,11.1615583555342,winner_haven
LUX,Luxembourg,89.14014353723044,65.5225008540668,0.029678447842830972,2.967844784283097,winner_haven
MLT,Malta,19.137090689611046,35.60475476613628,0.031626360527869574,3.1626360527869575,winner_haven
FIN,Finland,14.842696390068216,96.45431515452555,0.12121107254972618,12.121107254972618,winner_haven
AUT,Austria,8.076013948951932,153.35152642806952,0.10367293820249553,10.367293820249552,winner_haven
CZE,Czechia,3.1807837695631047,76.31766681563654,0.16121997587245832,16.121997587245833,winner_haven
SVK,Slovak Republic,0.6877412983298102,38.58603270304523,0.1063003845659948,10.63003845659948,winner_haven
BGR,Bulgaria,-0.20364515425775542,16.357535944364237,0.08557454118348207,8.557454118348208,loser_victim
PRT,Portugal,-1.3690694513306316,64.18420900176842,0.10026252284178562,10.026252284178563,loser_victim
SVN,Slovenia,-1.434523772755273,9.308424007654894,0.24856614818454428,24.856614818454428,loser_victim
LVA,Latvia,-1.9678625267327303,29.89544703550553,0.05290399066988495,5.2903990669884955,loser_victim
HRV,Croatia,-2.9205322790063564,44.80504628594688,0.15187483919900657,15.187483919900657,loser_victim
LTU,Lithuania,-3.1199963499703,6.819292339161198,0.08993030731855108,8.993030731855107,loser_victim
HUN,Hungary,-5.211852122018697,37.958489581734476,0.1436894235857327,14.36894235857327,loser_victim
GRC,Greece,-5.662885845725212,14.12407033288395,0.1549830506178514,15.498305061785139,loser_victim
EST,Estonia,-14.549284921726368,4.391835446533572,0.07875545615669886,7.875545615669886,loser_victim
CYP,Cyprus,-16.118427492495407,6.157539465251354,0.027944864062540813,2.794486406254081,loser_victim
IRL,Ireland,-29.200461295858265,55.66657435511773,0.11072926892105953,11.072926892105952,loser_victim
ROU,Romania,-30.774536702867742,44.01698638347898,0.14280536869128732,14.280536869128731,loser_victim
ITA,Italy,-34.62526384352576,397.86609872806497,0.17240738270392145,17.240738270392146,loser_victim
POL,Poland,-38.23210082784818,112.98356631975173,0.18281761681702371,18.28176168170237,loser_victim
ESP,Spain,-78.74001923183053,306.99216586333836,0.13396742262672895,13.396742262672895,loser_victim
DEU,Germany,-108.90107971486127,1045.3710432391101,0.15528647277209534,15.528647277209535,loser_victim
FRA,France,-166.21584964923875,724.087238476498,0.1784400198020652,17.84400198020652,loser_victim
BEL,Belgium,-215.38167593529306,148.9521948571554,0.17383767193561023,17.383767193561024,loser_victim
