iso_partner,partner_jurisdiction,tax_gained_bn,tax_lost_bn,net_tax_revenue_bn
BEL,Belgium,1.1129444731096465,70.08165040051813,-68.96870592740848
FRA,France,0.9330880251007924,57.42240176012858,-56.489313735027785
DEU,Germany,2.932987981906393,50.359447477737845,-47.42645949583145
ESP,Spain,1.4741967177758373,25.446246959889642,-23.972050242113806
ITA,Italy,2.7949696546117826,17.36541365824053,-14.570444003628747
POL,Poland,0.9636342131699627,9.284431082671054,-8.320796869501091
IRL,Ireland,2.7539490133797857,10.873492246381144,-8.119543233001359
ROU,Romania,0.1036279141474611,5.252792789371355,-5.149164875223894
LUX,Luxembourg,1.6000581096620545,6.189595188861189,-4.589537079199134
NLD,Netherlands,10.027782746672129,13.852152632401033,-3.8243698857289044
PRT,Portugal,0.6609664815418544,4.266400246298153,-3.605433764756299
EST,Estonia,0.04113023140145976,3.1633240764222377,-3.122193845020778
GRC,Greece,0.26625173444709593,2.7667923684872733,-2.5005406340401772
AUT,Austria,1.0809315375584458,3.4887537098176424,-2.4078221722591966
CYP,Cyprus,0.02751034020398294,2.3157921053454684,-2.2882817651414853
CZE,Czechia,0.9286130374528663,1.9151052191620441,-0.9864921817091779
HRV,Croatia,0.5637547474086693,1.5446723506786277,-0.9809176032699585
LVA,Latvia,0.11892505400472175,1.0262621436256811,-0.9073370896209594
SVK,Slovak Republic,0.3453799394328736,1.2462691443702538,-0.9008892049373802
FIN,Finland,1.267237583535745,1.969443887576854,-0.7022063040411091
HUN,Hungary,0.2317475127717578,0.8678754621716311,-0.6361279493998733
LTU,Lithuania,0.05675909660639192,0.5968610730059835,-0.5401019763995916
SWE,Sweden,4.38772516577923,4.808719997445708,-0.4209948316664782
SVN,Slovenia,0.11144717020454081,0.4329971779672227,-0.3215500077626819
BGR,Bulgaria,0.15604477946451445,0.34343606050402764,-0.1873912810395132
MLT,Malta,0.3564027892876987,0.13885471849984188,0.21754807078785682
DNK,Denmark,4.507387838242386,1.3536463309276396,3.153741507314747
