year,sample_name,formula_name,etr_name,rate_mode,n_countries,total_shifted_musd,total_tax_loss_musd,total_tax_gain_musd,total_revenue_gain_from_ut_musd,total_current_tax_paid_cash_musd,revenue_gain_from_ut_pct_of_current_tax_paid
2016,disaggregated,ccctb,average,loss_cit_gain_cit,226,149580.54060478625,40758.05948505324,33631.140259360895,7126.91922569234,112287.8509069035,6.347008307783165
2017,disaggregated,ccctb,average,loss_cit_gain_cit,226,353186.694272632,101689.5688087314,73175.62595112326,28513.942857608105,202674.81390524496,14.068814130471592
2018,disaggregated,ccctb,average,loss_cit_gain_cit,226,369444.1475882281,95412.4210113212,80902.90322139165,14509.517789929556,227695.51879145455,6.3723334859386345
2019,disaggregated,ccctb,average,loss_cit_gain_cit,226,427816.57202963455,112644.6459619067,90569.26738146709,22075.378580439625,225264.15432412652,9.799774245784333
2020,disaggregated,ccctb,average,loss_cit_gain_cit,226,228655.60255880828,55238.99939010533,49593.39976572501,5645.599624380327,213065.8744057536,2.649696785149689
2021,disaggregated,ccctb,average,loss_cit_gain_cit,226,302825.1386606518,73306.55417265647,66902.95410446031,6403.600068196169,245453.7200778043,2.6088828746072155
2022,disaggregated,ccctb,average,loss_cit_gain_cit,226,312331.9518191201,70679.0164402706,67035.25319770977,3643.763242560834,292312.90247684915,1.24652836453205
2016,disaggregated,ccctb,average,loss_cit_gain_etr,226,149580.54060478625,40758.05948505324,14165.940815860851,26592.118669192376,112287.8509069035,23.682097799912103
2017,disaggregated,ccctb,average,loss_cit_gain_etr,226,353186.694272632,101689.5688087314,37357.242490466335,64332.32631826503,202674.81390524496,31.741648149898804
2018,disaggregated,ccctb,average,loss_cit_gain_etr,226,369444.1475882281,95412.4210113212,41377.07171520248,54035.34929611872,227695.51879145455,23.7314065656292
2019,disaggregated,ccctb,average,loss_cit_gain_etr,226,427816.57202963455,112644.6459619067,47065.76427641802,65578.88168548867,225264.15432412652,29.11199160037197
2020,disaggregated,ccctb,average,loss_cit_gain_etr,226,228655.60255880828,55238.99939010533,29570.44651174236,25668.55287836297,213065.8744057536,12.047237949274251
2021,disaggregated,ccctb,average,loss_cit_gain_etr,226,302825.1386606518,73306.55417265647,39602.069922020615,33704.48425063586,245453.7200778043,13.73150272073781
2022,disaggregated,ccctb,average,loss_cit_gain_etr,226,312331.9518191201,70679.0164402706,43936.28704921424,26742.729391056368,292312.90247684915,9.148665407670247
2016,disaggregated,ccctb,average,loss_etr_gain_etr,226,149580.54060478625,28417.28170237944,14165.940815860851,14251.340886518588,112287.8509069035,12.691792363480356
2017,disaggregated,ccctb,average,loss_etr_gain_etr,226,353186.694272632,65305.47801489591,37357.242490466335,27948.235524429565,202674.81390524496,13.789693443357988
2018,disaggregated,ccctb,average,loss_etr_gain_etr,226,369444.1475882281,67718.70523184323,41377.07171520248,26341.63351664074,227695.51879145455,11.568797513651088
2019,disaggregated,ccctb,average,loss_etr_gain_etr,226,427816.57202963455,73783.22932565236,47065.76427641802,26717.465049234328,225264.15432412652,11.860504450606587
2020,disaggregated,ccctb,average,loss_etr_gain_etr,226,228655.60255880828,34612.676283960565,29570.44651174236,5042.229772218212,213065.8744057536,2.366512134465984
2021,disaggregated,ccctb,average,loss_etr_gain_etr,226,302825.1386606518,46018.66710377511,39602.069922020615,6416.597181754491,245453.7200778043,2.6141780127514664
2022,disaggregated,ccctb,average,loss_etr_gain_etr,226,312331.9518191201,46689.110426267565,43936.28704921424,2752.8233770533293,292312.90247684915,0.9417385800379952
2016,disaggregated,ccctb_resource_alpha_10pct,average,loss_cit_gain_cit,226,149490.33389873695,40720.532065172505,33630.53161328301,7090.000451889493,112287.88794973386,6.314127535343225
2017,disaggregated,ccctb_resource_alpha_10pct,average,loss_cit_gain_cit,226,353068.92093070946,101630.88353273712,73175.56673711614,28455.316795621,202674.86659644876,14.039884310016166
2018,disaggregated,ccctb_resource_alpha_10pct,average,loss_cit_gain_cit,226,369101.7077063181,95296.86185306271,80861.38038620453,14435.481466858182,227695.5272164522,6.339817757217298
2019,disaggregated,ccctb_resource_alpha_10pct,average,loss_cit_gain_cit,226,427647.0377726344,112575.07885037026,90554.47266289697,22020.606187473302,225264.16324899287,9.775459118693954
2020,disaggregated,ccctb_resource_alpha_10pct,average,loss_cit_gain_cit,226,228663.17229802883,55235.7000222496,49599.33298047172,5636.367041777878,213066.5054442528,2.6453557446891107
2021,disaggregated,ccctb_resource_alpha_10pct,average,loss_cit_gain_cit,226,302605.6868308933,73245.32704427821,66880.66558599872,6364.661458279498,245453.7240443864,2.593018901244517
2022,disaggregated,ccctb_resource_alpha_10pct,average,loss_cit_gain_cit,226,313522.96965394367,70895.06087685427,67337.86452817022,3557.196348684065,293831.15698170854,1.2106259884840962
2016,disaggregated,ccctb_resource_alpha_10pct,average,loss_cit_gain_etr,226,149490.33389873695,40720.532065172505,14165.366649828666,26555.16541534384,112287.88794973386,23.649180601946465
2017,disaggregated,ccctb_resource_alpha_10pct,average,loss_cit_gain_etr,226,353068.92093070946,101630.88353273712,37353.63512429089,64277.24840844624,202674.86659644876,31.71446439702381
2018,disaggregated,ccctb_resource_alpha_10pct,average,loss_cit_gain_etr,226,369101.7077063181,95296.86185306271,41286.96971757591,54009.89213548679,227695.5272164522,23.720225335890696
2019,disaggregated,ccctb_resource_alpha_10pct,average,loss_cit_gain_etr,226,427647.0377726344,112575.07885037026,47040.99218329934,65534.08666707092,225264.16324899287,29.09210489670017
2020,disaggregated,ccctb_resource_alpha_10pct,average,loss_cit_gain_etr,226,228663.17229802883,55235.7000222496,29569.230157242368,25666.469865007235,213066.5054442528,12.046224633708404
2021,disaggregated,ccctb_resource_alpha_10pct,average,loss_cit_gain_etr,226,302605.6868308933,73245.32704427821,39564.6959415676,33680.63110271063,245453.7240443864,13.72178451715812
2022,disaggregated,ccctb_resource_alpha_10pct,average,loss_cit_gain_etr,226,313522.96965394367,70895.06087685427,44101.20639641194,26793.854480442336,293831.15698170854,9.11879283179976
2016,disaggregated,ccctb_resource_alpha_10pct,average,loss_etr_gain_etr,226,149490.33389873695,28412.591618396356,14165.366649828666,14247.224968567683,112287.88794973386,12.68812267173955
2017,disaggregated,ccctb_resource_alpha_10pct,average,loss_etr_gain_etr,226,353068.92093070946,65317.40400003191,37353.63512429089,27963.768875741007,202674.86659644876,13.797354030788831
2018,disaggregated,ccctb_resource_alpha_10pct,average,loss_etr_gain_etr,226,369101.7077063181,67697.66037199246,41286.96971757591,26410.690654416543,227695.5272164522,11.599125805097604
2019,disaggregated,ccctb_resource_alpha_10pct,average,loss_etr_gain_etr,226,427647.0377726344,73792.05847087747,47040.99218329934,26751.06628757812,225264.16324899287,11.875420351709105
2020,disaggregated,ccctb_resource_alpha_10pct,average,loss_etr_gain_etr,226,228663.17229802883,34624.74272033262,29569.230157242368,5055.512563090258,213066.5054442528,2.3727392311378543
2021,disaggregated,ccctb_resource_alpha_10pct,average,loss_etr_gain_etr,226,302605.6868308933,46002.66374493193,39564.6959415676,6437.96780336434,245453.7240443864,2.622884549187013
2022,disaggregated,ccctb_resource_alpha_10pct,average,loss_etr_gain_etr,226,313522.96965394367,46865.68929694487,44101.20639641194,2764.482900532916,293831.15698170854,0.9408406272943374
2016,disaggregated,ccctb_resource_alpha_30pct,average,loss_cit_gain_cit,226,149428.5266607824,40665.485139846256,33627.32883452011,7038.156305326142,112287.88794973386,6.26795679733223
2017,disaggregated,ccctb_resource_alpha_30pct,average,loss_cit_gain_cit,226,353002.5188371802,101542.2556309432,73179.05437875849,28363.201252184732,202674.86659644876,13.994434400521625
2018,disaggregated,ccctb_resource_alpha_30pct,average,loss_cit_gain_cit,226,368860.4513124341,95139.02414955274,80823.76224071391,14315.261908838824,227695.5272164522,6.287019373564784
2019,disaggregated,ccctb_resource_alpha_30pct,average,loss_cit_gain_cit,226,427529.6203441475,112477.68202835672,90538.6415884418,21939.040439914887,225264.16324899287,9.739250186752896
2020,disaggregated,ccctb_resource_alpha_30pct,average,loss_cit_gain_cit,226,228709.9103030997,55236.73595964722,49613.66001398678,5623.07594566045,213066.5054442528,2.639117741165415
2021,disaggregated,ccctb_resource_alpha_30pct,average,loss_cit_gain_cit,226,302422.0036546861,73171.32007344924,66847.82960576762,6323.490467681626,245453.7240443864,2.576245478572622
2022,disaggregated,ccctb_resource_alpha_30pct,average,loss_cit_gain_cit,226,313568.388989498,70872.49133927081,67358.91456635672,3513.57677291408,293831.15698170854,1.195780872595756
2016,disaggregated,ccctb_resource_alpha_30pct,average,loss_cit_gain_etr,226,149428.5266607824,40665.485139846256,14145.31203757461,26520.173102271645,112287.88794973386,23.618017567614693
2017,disaggregated,ccctb_resource_alpha_30pct,average,loss_cit_gain_etr,226,353002.5188371802,101542.2556309432,37331.30777927027,64210.947851672936,202674.86659644876,31.6817516300751
2018,disaggregated,ccctb_resource_alpha_30pct,average,loss_cit_gain_etr,226,368860.4513124341,95139.02414955274,41162.33225944538,53976.69189010735,227695.5272164522,23.705644353213827
2019,disaggregated,ccctb_resource_alpha_30pct,average,loss_cit_gain_etr,226,427529.6203441475,112477.68202835672,46982.78532528559,65494.89670307113,225264.16324899287,29.07470756041971
2020,disaggregated,ccctb_resource_alpha_30pct,average,loss_cit_gain_etr,226,228709.9103030997,55236.73595964722,29564.81101601781,25671.92494362941,213066.5054442528,12.048784904085393
2021,disaggregated,ccctb_resource_alpha_30pct,average,loss_cit_gain_etr,226,302422.0036546861,73171.32007344924,39493.55902988293,33677.761043566294,245453.7240443864,13.720615229890017
2022,disaggregated,ccctb_resource_alpha_30pct,average,loss_cit_gain_etr,226,313568.388989498,70872.49133927081,44057.56904687563,26814.92229239518,293831.15698170854,9.125962871957942
2016,disaggregated,ccctb_resource_alpha_30pct,average,loss_etr_gain_etr,226,149428.5266607824,28422.344126233424,14145.31203757461,14277.032088658812,112287.88794973386,12.71466793911912
2017,disaggregated,ccctb_resource_alpha_30pct,average,loss_etr_gain_etr,226,353002.5188371802,65358.5424494966,37331.30777927027,28027.234670226328,202674.86659644876,13.828668122936078
2018,disaggregated,ccctb_resource_alpha_30pct,average,loss_etr_gain_etr,226,368860.4513124341,67763.49700053516,41162.33225944538,26601.164741089797,227695.5272164522,11.68277878194865
2019,disaggregated,ccctb_resource_alpha_30pct,average,loss_etr_gain_etr,226,427529.6203441475,73835.41598749186,46982.78532528559,26852.63066220628,225264.16324899287,11.920507139222616
2020,disaggregated,ccctb_resource_alpha_30pct,average,loss_etr_gain_etr,226,228709.9103030997,34671.63274501347,29564.81101601781,5106.8217289956565,213066.5054442528,2.39682052246913
2021,disaggregated,ccctb_resource_alpha_30pct,average,loss_etr_gain_etr,226,302422.0036546861,46032.7973221815,39493.55902988293,6539.238292298559,245453.7240443864,2.664143034601521
2022,disaggregated,ccctb_resource_alpha_30pct,average,loss_etr_gain_etr,226,313568.388989498,46934.88770524255,44057.56904687563,2877.3186583669167,293831.15698170854,0.9792421906251536
2016,disaggregated,ccctb_resource_alpha_equal,average,loss_cit_gain_cit,226,149442.94338993687,40679.10601965227,33627.98867768529,7051.117341966985,112287.88794973386,6.279499481834984
2017,disaggregated,ccctb_resource_alpha_equal,average,loss_cit_gain_cit,226,353016.85797082674,101563.90741367248,73177.6772756287,28386.230138043797,202674.86659644876,14.005796877895255
2018,disaggregated,ccctb_resource_alpha_equal,average,loss_cit_gain_cit,226,368914.2657506944,95177.38977939222,80832.07298999267,14345.316789399574,227695.5272164522,6.30021896554982
2019,disaggregated,ccctb_resource_alpha_equal,average,loss_cit_gain_cit,226,427550.81916273,112500.5113778156,90541.07950101112,21959.431876804483,225264.16324899287,9.748302419738156
2020,disaggregated,ccctb_resource_alpha_equal,average,loss_cit_gain_cit,226,228694.3330238637,55235.668064057856,49609.269344368055,5626.398719689806,213066.5054442528,2.6406772420463387
2021,disaggregated,ccctb_resource_alpha_equal,average,loss_cit_gain_cit,226,302457.6338522721,73187.89921922478,66854.1160038937,6333.783215331094,245453.7240443864,2.580438834240596
2022,disaggregated,ccctb_resource_alpha_equal,average,loss_cit_gain_cit,226,313547.4948187736,70876.48440108658,67352.00273422999,3524.4816668565813,293831.15698170854,1.1994921515678427
2016,disaggregated,ccctb_resource_alpha_equal,average,loss_cit_gain_etr,226,149442.94338993687,40679.10601965227,14150.163166782811,26528.94285286945,112287.88794973386,23.625827626881044
