sample_name,formula_name,etr_name,etr_col,etr_threshold,threshold_rate_col,rate_mode,loss_rate_col,gain_rate_col,n_country_rows,n_misalignment_rows,n_years,total_shifted_musd_all_years,total_tax_loss_musd_all_years,total_tax_gain_musd_all_years,total_revenue_gain_from_ut_musd_all_years,total_current_tax_paid_cash_musd_all_years,revenue_gain_from_ut_pct_of_current_tax_paid_all_years,total_revenue_gain_from_ut_low_income_musd_all_years,total_revenue_gain_from_ut_middle_income_musd_all_years,country_file,misalignment_file,aggregate_file
disaggregated,employees_payroll,average,etr_average_corrected,inf,etr_average_corrected,loss_cit_gain_etr,cit,etr_average_corrected,1582,29901,7,2470219.2404554826,637034.4208196105,294369.23705676873,342665.18376284174,1518754.8348881365,22.562244800233387,-672.7761046896676,42882.71219420577,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\country_estimates__employees_payroll__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\misalignment__employees_payroll__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\aggregate_results__employees_payroll__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv
disaggregated,employees_payroll,average,etr_average_corrected,inf,etr_average_corrected,loss_etr_gain_etr,etr_average_corrected,etr_average_corrected,1582,29901,7,2470219.2404554826,429181.0299813216,294369.23705676873,134811.7929245529,1518754.8348881365,8.87646839553814,-1085.3066784650905,15825.56603011775,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\country_estimates__employees_payroll__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\misalignment__employees_payroll__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\aggregate_results__employees_payroll__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv
disaggregated,employees_payroll,average,etr_average_corrected,inf,etr_average_corrected,loss_cit_gain_cit,cit,cit,1582,29901,7,2470219.2404554826,637034.4208196105,531811.4294360664,105222.99138354408,1518754.8348881365,6.928240751331946,-1584.6103771905005,25291.04321071414,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\country_estimates__employees_payroll__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\misalignment__employees_payroll__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\aggregate_results__employees_payroll__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv
disaggregated,ccctb,average,etr_average_corrected,inf,etr_average_corrected,loss_cit_gain_etr,cit,etr_average_corrected,1582,29901,7,2143840.6475338615,549729.2652700449,253074.8227809249,296654.44248912,1518754.8348881365,19.53274061583284,-391.103314288086,11812.604015631914,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\country_estimates__ccctb__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\misalignment__ccctb__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\aggregate_results__ccctb__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv
disaggregated,ccctb,average,etr_average_corrected,inf,etr_average_corrected,loss_etr_gain_etr,etr_average_corrected,etr_average_corrected,1582,29901,7,2143840.6475338615,362545.1480887741,253074.8227809249,109470.32530784924,1518754.8348881365,7.207899707915152,-787.4439735054991,-8480.759906770743,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\country_estimates__ccctb__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\misalignment__ccctb__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\aggregate_results__ccctb__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv
disaggregated,ccctb,average,etr_average_corrected,inf,etr_average_corrected,loss_cit_gain_cit,cit,cit,1582,29901,7,2143840.6475338615,549729.2652700449,461810.543881238,87918.72138880697,1518754.8348881365,5.7888685763612795,-1097.6707524124793,-3612.329286421753,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\country_estimates__ccctb__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\misalignment__ccctb__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\aggregate_results__ccctb__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv
disaggregated,double_weighted_sales,average,etr_average_corrected,inf,etr_average_corrected,loss_cit_gain_etr,cit,etr_average_corrected,1582,29901,7,2167427.588773779,553139.5896811604,251872.72537481232,301266.8643063482,1518754.8348881365,19.836438204888935,252.9566825753709,62645.44626156018,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\country_estimates__double_weighted_sales__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\misalignment__double_weighted_sales__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\aggregate_results__double_weighted_sales__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv
disaggregated,double_weighted_sales,average,etr_average_corrected,inf,etr_average_corrected,loss_etr_gain_etr,etr_average_corrected,etr_average_corrected,1582,29901,7,2167427.588773779,375210.83670608327,251872.72537481232,123338.11133127095,1518754.8348881365,8.121002053656369,-216.8170874128694,34765.25729158649,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\country_estimates__double_weighted_sales__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\misalignment__double_weighted_sales__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\aggregate_results__double_weighted_sales__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv
disaggregated,double_weighted_sales,average,etr_average_corrected,inf,etr_average_corrected,loss_cit_gain_cit,cit,cit,1582,29901,7,2167427.588773779,553139.5896811604,470426.1849938197,82713.40468734087,1518754.8348881365,5.446132765294743,-406.30342221402793,51240.013328647336,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\country_estimates__double_weighted_sales__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\misalignment__double_weighted_sales__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\aggregate_results__double_weighted_sales__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv
disaggregated,sales_employees,average,etr_average_corrected,inf,etr_average_corrected,loss_cit_gain_etr,cit,etr_average_corrected,1582,29901,7,2360179.235991598,602383.1203794638,273685.37725970906,328697.7431197547,1518754.8348881365,21.642580854332877,762.5042259035906,129653.68768817671,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\country_estimates__sales_employees__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\misalignment__sales_employees__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals\tables\disaggregated\aggregate_results__sales_employees__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv
