iso_partner,partner_jurisdiction,tax_loss_bn
BEL,Belgium,67.01466568799064
FRA,France,40.53495575286078
DEU,Germany,36.18342758237562
ITA,Italy,12.030573213938109
ESP,Spain,11.506891920289839
NLD,Netherlands,8.729830176382887
POL,Poland,7.1969220163341525
IRL,Ireland,5.862836843404258
LUX,Luxembourg,4.4657801796825005
SWE,Sweden,3.5694274319717687
ROU,Romania,3.3875425827273458
PRT,Portugal,2.7813049531743603
EST,Estonia,2.5501306093132348
AUT,Austria,2.2636635743393687
CYP,Cyprus,1.921641319333486
GRC,Greece,1.7962851415221142
FIN,Finland,1.5574002140637748
CZE,Czechia,1.341419202095303
HRV,Croatia,1.312150617886294
SVK,Slovak Republic,0.9556250808332049
LVA,Latvia,0.9049383635621451
DNK,Denmark,0.893146435085091
HUN,Hungary,0.5437558344911115
LTU,Lithuania,0.4499624642413218
SVN,Slovenia,0.28799840339752625
BGR,Bulgaria,0.2579746995592824
MLT,Malta,0.067951949241071
