year,iso_responsible,iso_affected,shifted_profit_musd
2016,NLD,BEL,20242.553712930458
2016,NLD,DEU,3171.48536269702
2016,NLD,LUX,2898.8882542999554
2016,NLD,FRA,2555.4368275479724
2016,ESP,ITA,1956.1738816784532
2016,NLD,IRL,1467.9194159295898
2016,NLD,POL,1312.5617749797345
2016,NLD,ITA,1169.3461939258927
2016,SWE,DEU,1158.0067501933431
2016,GBR,BEL,1154.5086278915642
2016,CHL,ITA,1058.9297532102826
2016,NLD,GRC,933.315259994183
2016,LUX,ITA,913.0256033917269
2016,SWE,POL,879.4948772969669
2016,DNK,DEU,863.9110688174135
2016,SWE,FRA,763.234903963849
2016,DEU,ITA,691.578053094269
2016,NLD,CYP,673.2424587691961
2016,SWE,ROU,672.5377858605647
2016,IRL,ITA,662.9687576960795
2016,NLD,ROU,651.6364480932006
2016,GBR,ITA,604.7646234131007
2016,SWE,BEL,563.567202432473
2016,NLD,EST,563.2717561040187
2016,SWE,ESP,558.271164555063
2016,LUX,POL,518.4453811581636
2016,SWE,CYP,493.8821584714944
2016,SWE,HRV,487.4695350295506
2016,SWE,EST,421.1119168813262
2016,CHE,POL,398.24133463081495
2016,DNK,ESP,388.82733442242477
2016,SWE,ITA,367.35963422269873
2016,SWE,LVA,347.36282343513096
2016,KAZ,ITA,340.4564492930946
2016,HKG,POL,331.779584534444
2016,NLD,PRT,276.71047281021197
2016,PAN,IRL,251.22008891242075
2016,LUX,CYP,250.55830672050374
2016,NLD,SWE,244.0399092175488
2016,VGB,IRL,230.64497449614058
2016,HKG,IRL,223.02587960126647
2016,NLD,ESP,222.99481055587967
2016,IRL,POL,221.47059767255055
2016,LUX,EST,211.25257812300967
2016,CHE,CYP,193.42605474240463
2016,SWE,SVK,191.65307565667987
2016,ESP,PRT,185.96094307241762
2016,ESP,BEL,184.82210836691718
2016,HRV,ITA,182.93809532556048
2016,BMU,ITA,176.56231633503623
2016,NLD,HRV,176.5106289578825
2016,SVK,ITA,169.91238088819998
2016,SWE,CZE,167.8149293414026
2016,GBR,LUX,167.0458121255558
2016,CYM,IRL,164.20345981119164
2016,CHE,EST,163.1246606189346
2016,HKG,CYP,162.6281739506555
2016,PAN,BEL,162.23864839786108
2016,SWE,AUT,161.06741671693572
2016,LUX,IRL,159.13886589779784
2016,CHE,ITA,158.55293742793842
2016,DEU,POL,157.542738612382
2016,GBR,DEU,152.7671866287994
2016,VGB,BEL,148.79645435502204
2016,DNK,POL,147.72909713218775
2016,CHE,IRL,142.11195214310538
2016,NLD,FIN,139.31638135059882
2016,BGR,ITA,138.18355152356148
2016,HKG,EST,137.02324841260065
2016,HKG,ITA,131.18962793249267
2016,SWE,FIN,128.84937625845714
2016,PAN,DEU,128.79174862985792
2016,DNK,FRA,127.06839453897904
2016,GBR,FRA,126.48203725038582
2016,NLD,DNK,124.46386155099039
2016,BMU,IRL,116.88277528622126
2016,PAN,POL,114.00245439107137
2016,VGB,DEU,113.01688623431406
2016,SWE,DNK,107.52240844202004
2016,SWE,PRT,106.99125953623273
2016,IRL,CYP,106.13145425144712
2016,NLD,LVA,105.05779498572907
2016,CYM,BEL,100.59844424255192
2016,AUT,ITA,99.72706924192181
2016,VGB,POL,99.33741999655889
2016,SWE,BGR,98.86971756971674
2016,LUX,DEU,98.5802822028144
2016,CHL,PRT,96.67730939489795
2016,PAN,FRA,94.91055496607058
2016,IRL,EST,89.46719908234284
2016,MLT,IRL,86.6870853635775
2016,NLD,SVK,86.44517970591708
2016,SWE,HUN,86.28142391522496
2016,DNK,ITA,85.66989789906877
2016,PAN,ITA,84.01676303795878
2016,VGB,FRA,83.84987514487486
