year,iso_responsible,iso_affected,shifted_profit_musd
2016,NLD,BEL,19221.999717681858
2016,NLD,DEU,3011.5909094736894
2016,NLD,FRA,2426.601241833627
2016,ESP,ITA,1857.5508967201542
2016,NLD,IRL,1393.9123985406231
2016,NLD,POL,1246.3873099165396
2016,NLD,ITA,1110.3921238533248
2016,SWE,DEU,1099.6243725450252
2016,GBR,BEL,1096.302612511643
2016,CHL,ITA,1005.5424679076358
2016,NLD,GRC,886.2609885360752
2016,LUX,ITA,866.9942606807285
2016,SWE,POL,835.1540286295998
2016,DNK,DEU,820.3558976011496
2016,SWE,FRA,724.7554491677907
2016,DEU,ITA,656.7112692328652
2016,NLD,CYP,639.3000871291492
2016,SWE,ROU,638.6309411981142
2016,IRL,ITA,629.5443477136797
2016,NLD,ROU,618.7833708588632
2016,GBR,ITA,574.2746486123915
2016,SWE,BEL,535.1542478127135
2016,NLD,EST,534.8736967852751
2016,SWE,ESP,530.1252163956261
2016,LUX,POL,492.3073003328591
2016,SWE,CYP,468.98246364256954
2016,SWE,HRV,462.89314073703605
2016,SWE,EST,399.88102599103735
2016,CHE,POL,378.1634931245333
2016,DNK,ESP,369.22411166534795
2016,SWE,ITA,348.8387327734138
2016,SWE,LVA,329.8500865401259
2016,KAZ,ITA,323.29190600168783
2016,HKG,POL,315.052496374502
2016,NLD,PRT,262.75976369720104
2016,PAN,IRL,238.5545098030761
2016,LUX,CYP,237.9260921989242
2016,NLD,SWE,231.73632796569387
2016,VGB,IRL,219.0167158512993
2016,HKG,IRL,211.78174727988278
2016,NLD,ESP,211.75224461978723
2016,IRL,POL,210.30487686033703
2016,LUX,EST,200.60201171387686
2016,CHE,CYP,183.67423509790794
2016,SWE,SVK,181.99064299937308
2016,ESP,PRT,176.58548649198013
2016,ESP,BEL,175.50406758120147
2016,HRV,ITA,173.71503944460162
2016,BMU,ITA,167.66070343078266
2016,NLD,HRV,167.61162193824237
2016,SVK,ITA,161.34603290578667
2016,SWE,CZE,159.35432703645083
2016,CYM,IRL,155.92493431878256
2016,CHE,EST,154.90052415477484
2016,HKG,CYP,154.42906849098677
2016,PAN,BEL,154.05918136251333
2016,SWE,AUT,152.94699881087686
2016,LUX,IRL,151.11567832499745
2016,CHE,ITA,150.55929018138943
2016,DEU,POL,149.60002181916607
2016,GBR,DEU,145.0652353400487
2016,VGB,BEL,141.29469256526113
2016,DNK,POL,140.28114750928924
2016,CHE,IRL,134.9471980024467
2016,NLD,FIN,132.2925694537774
2016,BGR,ITA,131.21685267790505
2016,HKG,EST,130.11504771853038
2016,HKG,ITA,124.57553660684329
2016,SWE,FIN,122.35327168634173
2016,PAN,DEU,122.29854942765968
2016,DNK,FRA,120.66208041697458
2016,GBR,FRA,120.10528507407278
2016,NLD,DNK,118.18885825983978
2016,BMU,IRL,110.98998206527993
2016,PAN,POL,108.25487619778069
2016,VGB,DEU,107.31899670848266
2016,SWE,DNK,102.1015299762679
2016,SWE,PRT,101.59715961559698
2016,IRL,CYP,100.78070250372319
2016,NLD,LVA,99.76117313034501
2016,CYM,BEL,95.52664620543224
2016,AUT,ITA,94.6992026795985
2016,VGB,POL,94.32919809467414
2016,SWE,BGR,93.88507547831789
2016,LUX,DEU,93.61023236218821
2016,CHL,PRT,91.80320033968404
2016,PAN,FRA,90.12551907408167
2016,IRL,EST,84.95659687463511
2016,MLT,IRL,82.31664611174811
2016,NLD,SVK,82.08693643434293
2016,SWE,HUN,81.93143659933735
2016,DNK,ITA,81.35074144216452
2016,PAN,ITA,79.78095146980311
2016,VGB,FRA,79.6224774413165
2016,SWE,LTU,77.39092744486817
2016,ASM,IRL,75.35741975976335
2016,DNK,BEL,75.31355988630145
2016,BMU,BEL,74.75584453327113
2016,CHL,POL,74.16862533024504
2016,PAN,CYP,73.42250293785958
2016,DNK,AUT,73.09139944250973
2016,CYM,DEU,71.94226496434075
2016,PAN,ROU,71.82299694059637
2016,HKG,DEU,71.41774428628302
2016,LUX,PRT,69.92400540328859
2016,NLD,LTU,69.37403687275436
2016,LUX,ROU,69.07100643930882
2016,JEY,IRL,68.3659631510176
2016,LUX,FRA,66.17765902316695
2016,DEU,CYP,64.92564327049934
2016,ASM,ITA,64.46684391135841
2016,VGB,CYP,64.23849444304216
2016,GBR,IRL,63.85903534927538
2016,CYM,POL,63.65141423185798
2016,GBR,PRT,63.22211001806128
2016,PAN,EST,62.84872322347224
2016,DNK,CZE,62.81815362525464
2016,VGB,ROU,62.412824779532386
2016,LUX,SWE,60.85364284148643
2016,CHE,DEU,59.96398146002323
2016,BMU,DEU,57.370089860623686
2016,MLT,POL,56.20821940266866
2016,DEU,PRT,55.863372629855604
2016,VGB,EST,54.994708141101846
2016,DEU,EST,54.34269462932029
2016,IRL,PRT,54.128308129569135
2016,BIH,IRL,53.99115939495132
2016,CYM,FRA,53.576365870426784
2016,NLD,BGR,52.9830838971949
2016,HRV,IRL,52.641133325401725
2016,HKG,FRA,52.53489643167293
2016,DNK,LTU,52.23794736161084
2016,SGP,ITA,51.56856965349475
2016,GBR,GRC,51.39814015252817
2016,BMU,POL,50.92824386282578
2016,NLD,SVN,50.52233387398811
2016,LUX,FIN,48.82047570248452
2016,HKG,BEL,48.388491340624206
2016,DNK,HUN,48.05438820077173
2016,SWE,GRC,47.60396675109554
2016,HKG,ROU,46.48394303813818
2016,CHE,SWE,46.04253132717649
2016,CHE,FRA,45.976571816251955
2016,ASM,POL,44.78082062452806
2016,ASM,DEU,43.663568217399714
2016,LUX,ESP,43.66278332711554
2016,PAN,ESP,43.61536225505432
2016,CYM,CYP,43.551940207230395
2016,JEY,DEU,42.72364713479636
2016,MCO,ITA,42.666934848808786
2016,BMU,FRA,42.46895997449819
2016,CHE,ROU,42.38490891933618
2016,CYM,ROU,41.8868181974444
2016,IRL,DEU,41.22275598095968
2016,NLD,HUN,40.541517915362235
2016,JEY,POL,40.484842677384364
2016,MLT,DEU,40.23862988987516
2016,HKG,SWE,39.29224307277994
2016,DNK,FIN,39.18582222983672
2016,NLD,AUT,38.08045553380066
2016,VGB,ESP,37.81021785271146
2016,CYM,EST,37.28967369032372
2016,LVA,IRL,37.216485465457716
2016,CHE,FIN,36.44112810763802
2016,KAZ,IRL,36.35225122586791
2016,LUX,BEL,36.173951886330336
2016,MLT,CYP,35.58233234056098
2016,BMU,ROU,35.37667710336999
2016,AUT,POL,34.509774443486975
2016,SVK,IRL,34.46517622544239
2016,BMU,CYP,34.451692772438996
2016,MUS,IRL,33.982030436392606
2016,BIH,ITA,33.66382711923973
2016,NLD,CZE,33.35663042471423
2016,PAN,SWE,32.6642648758747
2016,HKG,FIN,32.193040285751174
2016,CHL,CYP,32.188803527553205
2016,HKG,ESP,31.423235839660705
2016,KAZ,PRT,30.932605489888058
2016,BHR,IRL,30.739319285007248
2016,IRL,ROU,30.668458537702417
2016,MLT,EST,30.43919962216587
2016,DNK,PRT,30.25269112623288
