iso_partner,partner_jurisdiction,year,net_misalignment_musd,net_misalignment_bn,group,total_net_misalignment_musd
BEL,Belgium,2016,-23023.12018356957,-23.023120183569567,benefits_from_ut,-212316.035849103
BEL,Belgium,2017,-56262.577526763765,-56.262577526763764,benefits_from_ut,-212316.035849103
BEL,Belgium,2018,-48185.458535585865,-48.185458535585866,benefits_from_ut,-212316.035849103
BEL,Belgium,2019,-75058.33549646295,-75.05833549646296,benefits_from_ut,-212316.035849103
BEL,Belgium,2020,-3739.4077774550506,-3.7394077774550505,benefits_from_ut,-212316.035849103
BEL,Belgium,2021,-4270.800413300932,-4.270800413300932,benefits_from_ut,-212316.035849103
BEL,Belgium,2022,-1776.3359159648712,-1.7763359159648713,benefits_from_ut,-212316.035849103
CYP,Cyprus,2016,-2509.990238196967,-2.5099902381969668,benefits_from_ut,-13035.162209248741
CYP,Cyprus,2017,-2210.5985674233484,-2.2105985674233484,benefits_from_ut,-13035.162209248741
CYP,Cyprus,2018,-1838.1943757306294,-1.8381943757306294,benefits_from_ut,-13035.162209248741
CYP,Cyprus,2019,-2048.6874421906946,-2.0486874421906944,benefits_from_ut,-13035.162209248741
CYP,Cyprus,2020,-1153.8571138632171,-1.1538571138632172,benefits_from_ut,-13035.162209248741
CYP,Cyprus,2021,-863.4822132112547,-0.8634822132112547,benefits_from_ut,-13035.162209248741
CYP,Cyprus,2022,-2410.35225863263,-2.41035225863263,benefits_from_ut,-13035.162209248741
CZE,Czechia,2016,-332.06340450489944,-0.33206340450489946,benefits_from_ut,-6818.948507716841
CZE,Czechia,2017,-799.2430227882646,-0.7992430227882646,benefits_from_ut,-6818.948507716841
CZE,Czechia,2018,-1542.5127969606256,-1.5425127969606256,benefits_from_ut,-6818.948507716841
CZE,Czechia,2019,-1099.8865623609302,-1.0998865623609302,benefits_from_ut,-6818.948507716841
CZE,Czechia,2020,-1060.8743357351043,-1.0608743357351043,benefits_from_ut,-6818.948507716841
CZE,Czechia,2021,-1485.520879943827,-1.4855208799438269,benefits_from_ut,-6818.948507716841
CZE,Czechia,2022,-498.8475054231904,-0.4988475054231904,benefits_from_ut,-6818.948507716841
DEU,Germany,2016,-3665.917117934604,-3.665917117934604,benefits_from_ut,-111465.66689290953
DEU,Germany,2017,-11851.386469814659,-11.85138646981466,benefits_from_ut,-111465.66689290953
DEU,Germany,2018,-27751.519304188507,-27.751519304188506,benefits_from_ut,-111465.66689290953
DEU,Germany,2019,-22341.55437254675,-22.34155437254675,benefits_from_ut,-111465.66689290953
DEU,Germany,2020,-13137.214930496726,-13.137214930496727,benefits_from_ut,-111465.66689290953
DEU,Germany,2021,-26853.40501566641,-26.853405015666407,benefits_from_ut,-111465.66689290953
DEU,Germany,2022,-5864.669682261881,-5.864669682261881,benefits_from_ut,-111465.66689290953
ESP,Spain,2016,2909.5555907185035,2.9095555907185036,benefits_from_ut,-25104.112583371934
ESP,Spain,2017,-538.2184739248005,-0.5382184739248005,benefits_from_ut,-25104.112583371934
ESP,Spain,2018,-4721.267037195992,-4.721267037195992,benefits_from_ut,-25104.112583371934
ESP,Spain,2019,-8856.318648115586,-8.856318648115586,benefits_from_ut,-25104.112583371934
ESP,Spain,2020,-6477.320898813674,-6.477320898813674,benefits_from_ut,-25104.112583371934
ESP,Spain,2021,544.7348389955769,0.5447348389955768,benefits_from_ut,-25104.112583371934
ESP,Spain,2022,-7965.277955035963,-7.965277955035963,benefits_from_ut,-25104.112583371934
EST,Estonia,2016,-2137.17687138,-2.1371768713800003,benefits_from_ut,-11558.732826136189
EST,Estonia,2017,-2096.232415572207,-2.096232415572207,benefits_from_ut,-11558.732826136189
EST,Estonia,2018,-1769.071101707813,-1.7690711017078131,benefits_from_ut,-11558.732826136189
EST,Estonia,2019,-1783.996421894341,-1.783996421894341,benefits_from_ut,-11558.732826136189
EST,Estonia,2020,-1707.3430259048591,-1.7073430259048592,benefits_from_ut,-11558.732826136189
EST,Estonia,2021,-870.5423046452967,-0.8705423046452967,benefits_from_ut,-11558.732826136189
EST,Estonia,2022,-1194.3706850316712,-1.194370685031671,benefits_from_ut,-11558.732826136189
FRA,France,2016,-4335.64443068797,-4.33564443068797,benefits_from_ut,-122071.95597938057
FRA,France,2017,-15564.369843102028,-15.564369843102028,benefits_from_ut,-122071.95597938057
FRA,France,2018,-19380.813991333114,-19.380813991333113,benefits_from_ut,-122071.95597938057
FRA,France,2019,-25556.206435102307,-25.556206435102307,benefits_from_ut,-122071.95597938057
FRA,France,2020,-7548.737211102051,-7.548737211102051,benefits_from_ut,-122071.95597938057
FRA,France,2021,-12632.933678622923,-12.632933678622923,benefits_from_ut,-122071.95597938057
FRA,France,2022,-37053.25038943018,-37.053250389430175,benefits_from_ut,-122071.95597938057
GRC,Greece,2016,-1140.666737828774,-1.140666737828774,benefits_from_ut,-4136.267062375606
GRC,Greece,2017,-2073.646484326302,-2.073646484326302,benefits_from_ut,-4136.267062375606
GRC,Greece,2018,-408.9302184229171,-0.4089302184229171,benefits_from_ut,-4136.267062375606
GRC,Greece,2019,-2388.933510700099,-2.388933510700099,benefits_from_ut,-4136.267062375606
GRC,Greece,2020,428.47187296065505,0.42847187296065503,benefits_from_ut,-4136.267062375606
GRC,Greece,2021,-69.01249529711004,-0.06901249529711004,benefits_from_ut,-4136.267062375606
GRC,Greece,2022,1516.4505112389415,1.5164505112389415,benefits_from_ut,-4136.267062375606
HRV,Croatia,2016,-132.51992759729058,-0.1325199275972906,benefits_from_ut,-5396.711192950337
HRV,Croatia,2017,-1528.478306283716,-1.528478306283716,benefits_from_ut,-5396.711192950337
HRV,Croatia,2018,61.35472366722718,0.061354723667227176,benefits_from_ut,-5396.711192950337
HRV,Croatia,2019,-1630.5878306491825,-1.6305878306491826,benefits_from_ut,-5396.711192950337
HRV,Croatia,2020,-704.5014647457376,-0.7045014647457376,benefits_from_ut,-5396.711192950337
HRV,Croatia,2021,-981.4032085760608,-0.9814032085760608,benefits_from_ut,-5396.711192950337
HRV,Croatia,2022,-480.5751787655772,-0.4805751787655772,benefits_from_ut,-5396.711192950337
HUN,Hungary,2016,-221.58226441798743,-0.22158226441798742,benefits_from_ut,-3090.4798865494354
HUN,Hungary,2017,-1137.061806338084,-1.137061806338084,benefits_from_ut,-3090.4798865494354
HUN,Hungary,2018,-1159.9106268507312,-1.159910626850731,benefits_from_ut,-3090.4798865494354
HUN,Hungary,2019,133.97957488833572,0.13397957488833573,benefits_from_ut,-3090.4798865494354
HUN,Hungary,2020,555.401988308734,0.555401988308734,benefits_from_ut,-3090.4798865494354
HUN,Hungary,2021,-337.1814269051331,-0.3371814269051331,benefits_from_ut,-3090.4798865494354
HUN,Hungary,2022,-924.1253252345693,-0.9241253252345694,benefits_from_ut,-3090.4798865494354
ITA,Italy,2016,-9495.10437865132,-9.49510437865132,benefits_from_ut,-41362.63584989326
ITA,Italy,2017,-6306.2239400846165,-6.3062239400846165,benefits_from_ut,-41362.63584989326
ITA,Italy,2018,-5690.603743134804,-5.690603743134804,benefits_from_ut,-41362.63584989326
ITA,Italy,2019,-5148.824449559536,-5.1488244495595366,benefits_from_ut,-41362.63584989326
ITA,Italy,2020,-2674.549107527448,-2.674549107527448,benefits_from_ut,-41362.63584989326
ITA,Italy,2021,-8806.948700492365,-8.806948700492365,benefits_from_ut,-41362.63584989326
ITA,Italy,2022,-3240.3815304431714,-3.2403815304431713,benefits_from_ut,-41362.63584989326
LTU,Lithuania,2016,-324.66477941337166,-0.3246647794133717,benefits_from_ut,-2181.568372711501
LTU,Lithuania,2017,-518.9426600823114,-0.5189426600823114,benefits_from_ut,-2181.568372711501
LTU,Lithuania,2018,-418.0947040709922,-0.4180947040709922,benefits_from_ut,-2181.568372711501
LTU,Lithuania,2019,-379.99174220938414,-0.37999174220938414,benefits_from_ut,-2181.568372711501
LTU,Lithuania,2020,-199.78758763440834,-0.19978758763440835,benefits_from_ut,-2181.568372711501
LTU,Lithuania,2021,-202.97131913007308,-0.20297131913007307,benefits_from_ut,-2181.568372711501
