iso_partner,partner_jurisdiction,total_net_misalignment_musd,group
BEL,Belgium,-213505.78290815113,benefits_from_ut
FRA,France,-125980.04261457035,benefits_from_ut
DEU,Germany,-115652.49284681177,benefits_from_ut
ITA,Italy,-42132.97007907235,benefits_from_ut
POL,Poland,-37878.536928074485,benefits_from_ut
ESP,Spain,-26058.878909966767,benefits_from_ut
ROU,Romania,-19955.23657644466,benefits_from_ut
CYP,Cyprus,-13210.045463173268,benefits_from_ut
EST,Estonia,-11701.276713177233,benefits_from_ut
CZE,Czechia,-7060.101063659489,benefits_from_ut
HRV,Croatia,-5505.822562999688,benefits_from_ut
GRC,Greece,-3991.052103537796,benefits_from_ut
HUN,Hungary,-3180.771810553085,benefits_from_ut
LTU,Lithuania,-2210.1974384174637,benefits_from_ut
SVN,Slovenia,-1456.340152613978,benefits_from_ut
LVA,Latvia,-1314.3534870771182,benefits_from_ut
BGR,Bulgaria,686.4115788467977,loses_under_ut
SVK,Slovak Republic,2192.667194599567,loses_under_ut
PRT,Portugal,2777.8149447746646,loses_under_ut
IRL,Ireland,8058.486375202647,loses_under_ut
AUT,Austria,13547.429729709616,loses_under_ut
FIN,Finland,17241.637901635164,loses_under_ut
MLT,Malta,20968.356420995435,loses_under_ut
DNK,Denmark,98225.96145503232,loses_under_ut
LUX,Luxembourg,98916.13691249312,loses_under_ut
SWE,Sweden,102911.59030607964,loses_under_ut
NLD,Netherlands,215004.36393201508,loses_under_ut
