iso_partner,partner_jurisdiction,total_net_misalignment_musd,group
BEL,Belgium,-212971.4312861856,benefits_from_ut
FRA,France,-113322.12228568549,benefits_from_ut
DEU,Germany,-72574.84407386239,benefits_from_ut
ITA,Italy,-41182.724327484226,benefits_from_ut
POL,Poland,-39398.01445520129,benefits_from_ut
ESP,Spain,-34880.66918304197,benefits_from_ut
ROU,Romania,-26296.465123513575,benefits_from_ut
CYP,Cyprus,-13763.460677071911,benefits_from_ut
EST,Estonia,-12048.678521746278,benefits_from_ut
HRV,Croatia,-6322.218415851072,benefits_from_ut
GRC,Greece,-5221.265550221828,benefits_from_ut
HUN,Hungary,-3410.2571844565455,benefits_from_ut
CZE,Czechia,-3245.4541847872842,benefits_from_ut
LTU,Lithuania,-2472.7314849626114,benefits_from_ut
PRT,Portugal,-1639.5571755918181,benefits_from_ut
SVK,Slovak Republic,-1523.8250789603712,benefits_from_ut
LVA,Latvia,-1441.582002569059,benefits_from_ut
SVN,Slovenia,-1156.8695113739063,benefits_from_ut
IRL,Ireland,-256.21079771566656,benefits_from_ut
BGR,Bulgaria,504.3658303581756,loses_under_ut
FIN,Finland,11407.340142788345,loses_under_ut
AUT,Austria,12544.394798954974,loses_under_ut
MLT,Malta,20135.52457041672,loses_under_ut
LUX,Luxembourg,96548.34957405554,loses_under_ut
DNK,Denmark,96786.5164667154,loses_under_ut
SWE,Sweden,99400.09645542686,loses_under_ut
NLD,Netherlands,206442.0491470551,loses_under_ut
