iso_partner,partner_jurisdiction,tax_gained_bn,tax_lost_bn,net_tax_revenue_bn
BEL,Belgium,0.741741509863732,67.97328180487762,-67.23154029501389
FRA,France,0.0,44.69256172557595,-44.69256172557595
DEU,Germany,0.43527802257714915,43.43350886908166,-42.99823084650451
ESP,Spain,3.7395141173757183,16.20005207886573,-12.460537961490013
POL,Poland,0.0,11.65331687853651,-11.65331687853651
ITA,Italy,0.0,8.033303962279067,-8.033303962279067
ROU,Romania,0.14687270457696866,4.413350273564068,-4.266477568987099
CZE,Czechia,0.0,3.076930985016047,-3.076930985016047
PRT,Portugal,0.9227186761301386,3.5655827426867233,-2.6428640665565846
AUT,Austria,2.3338422246344135,4.723445592061591,-2.3896033674271773
EST,Estonia,0.059440269514048676,2.3152469265668754,-2.2558066570528266
CYP,Cyprus,0.05904748268118031,2.28993067250963,-2.2308831898284494
SVK,Slovak Republic,0.477834646132054,2.5927202307016977,-2.1148855845696435
GRC,Greece,0.44728281956219174,1.7630884612961564,-1.3158056417339647
LTU,Lithuania,0.07384743681184233,1.0125502328538614,-0.938702796042019
HUN,Hungary,0.37992647968503374,1.1027063033792655,-0.7227798236942318
SVN,Slovenia,0.008605008187183539,0.6378897839177835,-0.6292847757305999
LVA,Latvia,0.3685789528680258,0.7368519394496283,-0.36827298658160257
HRV,Croatia,0.5546518335226782,0.8915249869862447,-0.3368731534635665
BGR,Bulgaria,0.23090757353113667,0.2998973215225827,-0.06898974799144603
LUX,Luxembourg,3.9835623804475873,3.9149528262358717,0.06860955421171555
FIN,Finland,2.6817096106862395,2.5890857419874242,0.09262386869881523
MLT,Malta,1.186309677183343,0.01896035072391378,1.1673493264594292
IRL,Ireland,7.247404930280549,4.535714112991555,2.7116908172889937
NLD,Netherlands,17.305978468645144,11.314958114911096,5.991020353734047
SWE,Sweden,13.035732347984984,4.41083666023536,8.624895687749625
DNK,Denmark,16.25695156944241,1.5727459783508388,14.684205591091573
