iso_partner,partner_jurisdiction,tax_gained_bn,tax_lost_bn,net_tax_revenue_bn
BEL,Belgium,0.5478888085929503,67.01466568799064,-66.4667768793977
FRA,France,0.0,40.53495575286078,-40.53495575286078
DEU,Germany,0.7848383901197644,36.18342758237562,-35.398589192255855
ITA,Italy,0.0,12.030573213938109,-12.030573213938109
ESP,Spain,2.682952433710066,11.506891920289839,-8.823939486579773
POL,Poland,0.0,7.1969220163341525,-7.1969220163341525
ROU,Romania,0.17315971291486773,3.3875425827273458,-3.214382869812478
EST,Estonia,0.061219922112096876,2.5501306093132348,-2.488910687201138
CYP,Cyprus,0.05714781915989555,1.921641319333486,-1.8644935001735905
PRT,Portugal,1.027228706586276,2.7813049531743603,-1.7540762465880844
GRC,Greece,0.2772065931528953,1.7962851415221142,-1.5190785483692189
CZE,Czechia,0.0,1.341419202095303,-1.341419202095303
HRV,Croatia,0.20715281299922778,1.312150617886294,-1.1049978048870663
LUX,Luxembourg,3.4502108352391865,4.4657801796825005,-1.015569344443314
LVA,Latvia,0.19227590648035486,0.9049383635621451,-0.7126624570817902
LTU,Lithuania,0.06235677005727359,0.4499624642413218,-0.3876056941840482
SVK,Slovak Republic,0.6693588260246273,0.9556250808332049,-0.2862662548085776
SVN,Slovenia,0.00947294096455344,0.28799840339752625,-0.2785254624329728
HUN,Hungary,0.3152723909421297,0.5437558344911115,-0.2284834435489818
BGR,Bulgaria,0.28278482601128146,0.2579746995592824,0.024810126451999037
AUT,Austria,2.3490769558992444,2.2636635743393687,0.08541338155987566
IRL,Ireland,6.149735464960619,5.862836843404258,0.2868986215563609
MLT,Malta,0.776350737804643,0.067951949241071,0.7083987885635721
FIN,Finland,3.0104801531219723,1.5574002140637748,1.4530799390581974
SWE,Sweden,11.185090924425062,3.5694274319717687,7.615663492453293
NLD,Netherlands,18.071880360890265,8.729830176382887,9.342050184507379
DNK,Denmark,11.25987386317145,0.893146435085091,10.366727428086358
