year,sample_name,formula_name,etr_name,rate_mode,n_countries,total_shifted_musd,total_tax_loss_musd,total_tax_gain_musd,total_revenue_gain_from_ut_musd,total_current_tax_paid_cash_musd,revenue_gain_from_ut_pct_of_current_tax_paid
2016,disaggregated,ccctb,average,loss_cit_gain_cit,226,140425.2187338769,38539.31242655209,31193.609160841563,7345.703265710516,118249.55190284648,6.2120347582760616
2017,disaggregated,ccctb,average,loss_cit_gain_cit,226,298075.44734159985,86761.07350073475,59110.25033671765,27650.823164017107,205840.9222134065,13.433103032520416
2018,disaggregated,ccctb,average,loss_cit_gain_cit,226,274945.429571208,71763.19051048289,58091.70322706944,13671.487283413451,217364.02789045585,6.289673326399446
2019,disaggregated,ccctb,average,loss_cit_gain_cit,226,337012.99754049414,89744.13274780879,66730.43964183972,23013.693105969065,224258.8296392029,10.262112373900491
2020,disaggregated,ccctb,average,loss_cit_gain_cit,226,133294.8210938332,32089.159199881306,25250.672045286687,6838.487154594615,207305.99794470804,3.298740616476786
2021,disaggregated,ccctb,average,loss_cit_gain_cit,226,175534.76421474546,42125.76143530244,35057.23484180315,7068.5265934993,224863.57122454423,3.14347342035265
2022,disaggregated,ccctb,average,loss_cit_gain_cit,226,147517.31173654378,34000.14181622938,25204.51998411932,8795.621832110057,277600.0973189452,3.16845055785569
2016,disaggregated,ccctb,average,loss_cit_gain_etr,226,140425.2187338769,38539.31242655209,10271.170058013477,28268.142368538603,118249.55190284648,23.905496396099355
2017,disaggregated,ccctb,average,loss_cit_gain_etr,226,298075.44734159985,86761.07350073475,23352.87951234972,63408.19398838503,205840.9222134065,30.804464586806645
2018,disaggregated,ccctb,average,loss_cit_gain_etr,226,274945.429571208,71763.19051048289,20691.09930082868,51072.0912096542,217364.02789045585,23.496110053404436
2019,disaggregated,ccctb,average,loss_cit_gain_etr,226,337012.99754049414,89744.13274780879,28135.198768245227,61608.93397956356,224258.8296392029,27.47224449475752
2020,disaggregated,ccctb,average,loss_cit_gain_etr,226,133294.8210938332,32089.159199881306,10273.132541354986,21816.02665852632,207305.99794470804,10.523586811195406
2021,disaggregated,ccctb,average,loss_cit_gain_etr,226,175534.76421474546,42125.76143530244,14679.099537377731,27446.661897924707,224863.57122454423,12.20591745850955
2022,disaggregated,ccctb,average,loss_cit_gain_etr,226,147517.31173654378,34000.14181622938,11012.755625739645,22987.38619048973,277600.0973189452,8.280755811147523
2016,disaggregated,ccctb,average,loss_etr_gain_etr,226,140425.2187338769,26579.211034497515,10271.170058013477,16308.04097648404,118249.55190284648,13.791207420289156
2017,disaggregated,ccctb,average,loss_etr_gain_etr,226,298075.44734159985,56130.192237849296,23352.87951234972,32777.312725499585,205840.9222134065,15.923613425865607
