iso_partner,partner_jurisdiction,tax_loss_bn
BEL,Belgium,67.97328180487762
FRA,France,44.69256172557595
DEU,Germany,43.43350886908166
ESP,Spain,16.20005207886573
POL,Poland,11.65331687853651
NLD,Netherlands,11.314958114911096
ITA,Italy,8.033303962279067
AUT,Austria,4.723445592061591
IRL,Ireland,4.535714112991555
ROU,Romania,4.413350273564068
SWE,Sweden,4.41083666023536
LUX,Luxembourg,3.9149528262358717
PRT,Portugal,3.5655827426867233
CZE,Czechia,3.076930985016047
SVK,Slovak Republic,2.5927202307016977
FIN,Finland,2.5890857419874242
EST,Estonia,2.3152469265668754
CYP,Cyprus,2.28993067250963
GRC,Greece,1.7630884612961564
DNK,Denmark,1.5727459783508388
HUN,Hungary,1.1027063033792655
LTU,Lithuania,1.0125502328538614
HRV,Croatia,0.8915249869862447
LVA,Latvia,0.7368519394496283
SVN,Slovenia,0.6378897839177835
BGR,Bulgaria,0.2998973215225827
MLT,Malta,0.01896035072391378
