iso_partner,partner_jurisdiction,2016,2017,2018,2019,2020,2021,2022
AUT,Austria,0.2135176822892756,1.347526660523657,1.0761145216636478,0.5671274107378392,0.3206082434161408,0.5239404616499788,0.5655531264944498
BEL,Belgium,7.3070139384762305,19.37398982829041,13.86139675577309,21.756202061382233,1.4543631577679006,2.828896420835338,0.9515601814540692
BGR,Bulgaria,0.01715095519541047,0.06813963751766174,0.057231543615601,0.06304697908746548,0.024825095941014372,0.03870045375265522,0.024196658459787853
CYP,Cyprus,0.2839686431362172,0.3567568726797528,0.3148478103597622,0.32745701579231723,0.1533596869583945,0.2531291635953244,0.5473345006829482
CZE,Czechia,0.1997875935120059,0.4937153621756968,0.8855102475953635,0.4558280990664664,0.2971782990709861,0.33821091332058445,0.3238448065071097
DEU,Germany,1.5622572551407599,5.020031781274098,9.881359293609673,6.403574836830368,5.556757082021136,10.400327952795745,3.0010274658514686
DNK,Denmark,0.127331688688946,0.35712764439112293,0.3350184833744105,0.2858615517215843,0.15367032558359595,0.16737007972641588,0.11536414204242178
ESP,Spain,0.7352552391105709,1.6308039990800263,2.2969930500900966,2.828942649053996,2.245560558320121,3.061465879941189,2.847675177636816
EST,Estonia,0.29064846364639546,0.38658091720094667,0.3731386937207097,0.3557728846290904,0.29882490925365607,0.3151308321485665,0.24621171771009923
FIN,Finland,0.21809149982449888,0.301552719882814,0.32965171462716536,0.5398842648751269,0.5808385989309575,0.3494064514429774,0.20804636088055078
FRA,France,2.048357710769015,8.944056775488493,7.503653600683667,9.52979670824222,1.225266320737722,4.4750692447323885,9.842368881093348
GRC,Greece,0.3492445391020356,0.7800223244660807,0.06869317314727866,0.38323513396299597,0.015403956521162693,0.1010200514499973,0.07636610843071444
HRV,Croatia,0.07360601586867306,0.2352645354192888,0.17181433256356932,0.22080352409173726,0.07423387759059036,0.02846959443052605,0.07676827172739493
HUN,Hungary,0.117016284338739,0.2036746211629957,0.22946828278169343,0.15614465066500752,0.09471920479305361,0.1098771180326316,0.16765317366334473
IRL,Ireland,0.1584233953917441,0.029528686839199,1.0828690425322078,0.07727393449633471,0.7636006440029512,0.9981310888211652,1.2059830958376567
ITA,Italy,1.7525141116456804,1.0289920131900294,0.3433239107261281,0.649087609652441,0.44697185115640914,2.824763394390205,0.7611875791769122
LTU,Lithuania,0.099466957627506,0.16654253163780086,0.1613765983324166,0.15967823581526508,0.09928550023228536,0.17450103892790592,0.1255008656331019
LUX,Luxembourg,0.6525216905260535,2.4279451170836537,0.002556283009262339,0.024554846702217446,0.06425831263563084,0.4236659294007,0.3313224046640024
LVA,Latvia,0.05677969019989576,0.11889968509183858,0.11464826066875168,0.2373407538566013,0.07599775396570509,0.07368034067424,0.04636785639034451
MLT,Malta,0.0012184815235429852,0.000811852091602891,0.0006371055792122042,0.0002689630285903189,0.0001029009790678903,0.0006968157174929937,0.014434945878557296
NLD,Netherlands,0.0,1.4178375504349423,1.0508404781058047,2.347616758893666,3.0272620074274,1.176150577006321,1.9608546547145704
POL,Poland,1.242554401788593,1.932120364989857,1.8494842528157713,2.5669341492368987,0.9850529417184976,1.4259848799147588,1.4113883936715976
PRT,Portugal,0.33119055853816054,0.3294101550152133,0.3554081305827398,0.5881012575614294,0.6708633570650077,0.8150537628953642,0.3651648994203316
ROU,Romania,0.35725935672428016,0.6432285303810391,0.7846094529022355,0.9951822763755296,0.4984173014810436,0.6361924869698485,0.3917466237315503
SVK,Slovak Republic,0.22431347942335336,0.6036490380719018,0.4935347629185756,0.6057874278597606,0.2041941793850043,0.26742260759068526,0.15012188780175653
SVN,Slovenia,0.056273042324801535,0.13700925131978206,0.12831833069957854,0.11209684984907015,0.05145806307565169,0.07489063217663397,0.06448168993602091
SWE,Sweden,0.3067698522238423,0.8114644315936237,0.7105802465633647,0.8193180827994622,0.4908386622309724,0.6049048020757499,0.5588163842156448
