year,iso_responsible,iso_affected,shifted_profit_musd
2016,NLD,BEL,17358.249821242523
2016,NLD,FRA,3029.421259383108
2016,NLD,DEU,1700.9483646208562
2016,ESP,ITA,1674.8424856995366
2016,NLD,POL,1233.647924281286
2016,NLD,IRL,1160.493565771771
2016,SWE,DEU,1124.9934069320955
2016,SWE,POL,1101.964478576173
2016,NLD,GRC,1011.2517348082972
2016,GBR,BEL,948.6281003765263
2016,SWE,FRA,847.7455014337739
2016,CHL,ITA,798.6313433004377
2016,SWE,BEL,781.9582157939753
2016,NLD,ROU,761.9814349321324
2016,DNK,ESP,698.7585309979856
2016,LUX,POL,684.1809729405852
2016,SWE,ESP,599.3966295328934
2016,CHE,POL,593.9460934718433
2016,DNK,DEU,579.0240085381197
2016,HKG,POL,549.054691942962
2016,LUX,ITA,490.1705374312023
2016,SWE,CYP,463.33871130955197
2016,NLD,CYP,443.77770893481795
2016,KAZ,ITA,434.9482559611713
2016,SWE,ROU,416.59394547974404
2016,IRL,ITA,401.07999151502486
2016,NLD,ITA,379.5551063210628
2016,DNK,FRA,357.9147191934688
2016,SWE,SVK,337.9984948069854
2016,IRL,POL,324.3268388706124
2016,NLD,ESP,299.001377113093
2016,SWE,EST,296.83537036388776
2016,NLD,EST,285.6885932457999
2016,NLD,CZE,282.38168193660687
2016,DNK,BEL,281.47323278557786
2016,NLD,SVK,275.14534460019496
2016,GBR,ITA,274.4981520432963
2016,SWE,CZE,261.39692751055975
2016,DEU,ITA,250.13051787223748
2016,HKG,BEL,248.2162962254951
2016,NLD,SWE,226.7084281066154
2016,VGB,BEL,218.92551867647788
2016,NLD,HRV,213.39836612853702
2016,DNK,POL,211.00961477140183
2016,SWE,FIN,210.47358322077275
2016,SWE,ITA,210.3335748823752
2016,NLD,DNK,208.65467651824073
2016,DNK,AUT,206.02210688249073
2016,ESP,PRT,204.3395187392035
2016,SWE,AUT,203.10591258234058
2016,LUX,ESP,202.6476028676655
2016,NLD,FIN,198.13433655661336
2016,HKG,DEU,196.08230504267266
2016,SGP,POL,190.4765307206621
2016,PAN,BEL,188.65846076833574
2016,VGB,POL,181.39068030297344
2016,HKG,ESP,177.37452159088375
2016,LUX,CYP,176.44802845217953
2016,NLD,LVA,176.04551532942523
2016,NLD,HUN,174.85564815569134
2016,CHE,ESP,173.56262408923882
2016,HKG,FRA,169.97652904969374
2016,LUX,BEL,169.73145808461857
2016,MLT,POL,169.15133822237723
2016,CYM,BEL,168.32293516423692
2016,HKG,CYP,167.7246459987484
2016,PAN,POL,167.6024648251942
2016,CHE,CYP,160.3428022876832
2016,NLD,PRT,157.51438939079839
2016,CHE,BEL,156.12494460501267
2016,GBR,FRA,154.03587002796593
2016,VGB,DEU,150.65217972500076
2016,SWE,LTU,144.87953022119137
2016,SWE,DNK,144.4183619306416
2016,CYM,POL,143.38220007837606
2016,DNK,FIN,141.33575051337363
2016,PAN,DEU,139.0678224141254
2016,VGB,FRA,138.3623747997704
2016,LUX,DEU,134.03475480123907
2016,SWE,HUN,132.80722191589888
2016,LUX,ROU,132.3421111420187
2016,ESP,BEL,132.1818577224774
2016,CHE,DEU,127.46053760107368
2016,PAN,FRA,126.63729388095163
2016,SWE,LVA,124.69812415239696
2016,LUX,SWE,124.42730727067729
2016,CHL,POL,120.81043084038865
2016,CYM,DEU,119.09620746982193
2016,SWE,PRT,116.64629765664709
2016,LUX,FRA,115.94811029282899
2016,NLD,LTU,115.7692006086397
2016,MLT,DEU,114.29380394401727
2016,HKG,SWE,113.3075533737255
2016,CHE,FRA,112.92015532613037
2016,CHE,SWE,112.33342172304181
2016,LUX,EST,112.21357763025227
2016,CYM,FRA,109.04001572596897
2016,BMU,ITA,108.70905608020776
2016,DNK,CZE,106.76056376584445
2016,HKG,EST,105.7311674081082
2016,CHE,EST,101.58770541028115
2016,BMU,BEL,101.24623003627202
2016,SWE,HRV,99.7704822392307
2016,MLT,FRA,98.53173671435768
2016,HKG,ROU,97.43976249245885
2016,CHL,PRT,97.37574370653539
2016,IRL,ESP,96.1040417587678
2016,ESP,ROU,95.740007704533
2016,JEY,POL,95.26725970276792
2016,MLT,BEL,92.95866639690074
2016,DNK,HUN,92.43734365004643
2016,CHE,ROU,91.89345102182381
2016,IRL,CYP,88.23285593342882
2016,IRL,BEL,86.97588646642643
2016,VGB,CYP,84.07162648893068
2016,BMU,POL,83.87358583349334
2016,SGP,DEU,83.72489704509039
2016,DNK,PRT,83.1595191007873
2016,HRV,POL,83.08888951485267
2016,SVK,ITA,80.62606062561822
2016,DNK,SVK,80.44705642188957
2016,DNK,SWE,79.74310210478437
2016,PAN,CYP,78.1861779470182
2016,GBR,DEU,77.8920059849209
2016,LUX,FIN,76.03611035254278
2016,SGP,BEL,75.91974264285477
2016,IRL,DEU,73.45921838973034
2016,IRL,ROU,73.40077370446224
2016,SGP,ITA,72.3900829562595
2016,MLT,CYP,71.76410360348046
2016,LUX,PRT,71.61278568392858
2016,VGB,ESP,70.73597346621685
2016,BMU,DEU,69.66733176573423
2016,SGP,FRA,69.65745448695029
2016,ASM,POL,69.55109452286673
2016,SWE,BGR,68.26804595061189
2016,NLD,SVN,68.114183440856
2016,SWE,SVN,67.25289986147364
2016,VGB,SWE,67.19363777740664
2016,CYM,CYP,66.70464464970878
2016,IRL,SWE,66.58356085990494
2016,DNK,LTU,66.1997235023286
2016,NLD,AUT,66.09233141682648
2016,HKG,FIN,65.61035008632562
2016,MLT,ESP,65.55044083478704
2016,PAN,ESP,65.48842239304835
2016,SGP,ESP,65.30279781576976
2016,IRL,FRA,64.7125012849015
2016,GBR,IRL,64.58577961547425
2016,PAN,SWE,64.1085843723609
