iso_partner,partner_jurisdiction,year,net_misalignment_musd,net_misalignment_bn,group,total_net_misalignment_musd
BEL,Belgium,2016,-21497.54027206893,-21.49754027206893,benefits_from_ut,-215260.50175899116
BEL,Belgium,2017,-56999.08746187234,-56.99908746187234,benefits_from_ut,-215260.50175899116
BEL,Belgium,2018,-46860.70573283668,-46.86070573283668,benefits_from_ut,-215260.50175899116
BEL,Belgium,2019,-73550.37884172492,-73.55037884172492,benefits_from_ut,-215260.50175899116
BEL,Belgium,2020,-5817.452631071603,-5.817452631071602,benefits_from_ut,-215260.50175899116
BEL,Belgium,2021,-6970.725418456194,-6.970725418456194,benefits_from_ut,-215260.50175899116
BEL,Belgium,2022,-3564.611400960493,-3.564611400960493,benefits_from_ut,-215260.50175899116
BGR,Bulgaria,2016,22.26351760177718,0.02226351760177718,benefits_from_ut,-374.3163170301501
BGR,Bulgaria,2017,-664.8328466591429,-0.6648328466591429,benefits_from_ut,-374.3163170301501
BGR,Bulgaria,2018,-292.5217826775279,-0.2925217826775279,benefits_from_ut,-374.3163170301501
BGR,Bulgaria,2019,-293.2362502566177,-0.2932362502566177,benefits_from_ut,-374.3163170301501
BGR,Bulgaria,2020,350.5766747078267,0.3505766747078267,benefits_from_ut,-374.3163170301501
BGR,Bulgaria,2021,119.27978809813101,0.119279788098131,benefits_from_ut,-374.3163170301501
BGR,Bulgaria,2022,384.1545821554035,0.3841545821554035,benefits_from_ut,-374.3163170301501
CYP,Cyprus,2016,-2241.06079987021,-2.2410607998702097,benefits_from_ut,-15783.107058062364
CYP,Cyprus,2017,-2554.315119279682,-2.554315119279682,benefits_from_ut,-15783.107058062364
CYP,Cyprus,2018,-2340.793939836014,-2.340793939836014,benefits_from_ut,-15783.107058062364
CYP,Cyprus,2019,-2433.987004020681,-2.4339870040206812,benefits_from_ut,-15783.107058062364
CYP,Cyprus,2020,-1148.0149543518864,-1.1480149543518865,benefits_from_ut,-15783.107058062364
CYP,Cyprus,2021,-930.100819474708,-0.930100819474708,benefits_from_ut,-15783.107058062364
CYP,Cyprus,2022,-4134.834421229182,-4.134834421229182,benefits_from_ut,-15783.107058062364
CZE,Czechia,2016,-1051.5136500631888,-1.0515136500631888,benefits_from_ut,-15758.291164464277
CZE,Czechia,2017,-2598.501906187878,-2.598501906187878,benefits_from_ut,-15758.291164464277
CZE,Czechia,2018,-4660.580250501913,-4.660580250501913,benefits_from_ut,-15758.291164464277
CZE,Czechia,2019,-2399.09525824456,-2.39909525824456,benefits_from_ut,-15758.291164464277
CZE,Czechia,2020,-1564.096310899927,-1.5640963108999268,benefits_from_ut,-15758.291164464277
CZE,Czechia,2021,-1780.0574385293917,-1.7800574385293917,benefits_from_ut,-15758.291164464277
CZE,Czechia,2022,-1704.4463500374195,-1.7044463500374194,benefits_from_ut,-15758.291164464277
DEU,Germany,2016,-4255.057446765807,-4.255057446765807,benefits_from_ut,-136839.9975970402
DEU,Germany,2017,-14752.541998159797,-14.752541998159797,benefits_from_ut,-136839.9975970402
DEU,Germany,2018,-33051.275356581646,-33.05127535658165,benefits_from_ut,-136839.9975970402
DEU,Germany,2019,-21389.610795904904,-21.389610795904904,benefits_from_ut,-136839.9975970402
DEU,Germany,2020,-18627.876043417476,-18.627876043417476,benefits_from_ut,-136839.9975970402
DEU,Germany,2021,-34735.832812075416,-34.735832812075415,benefits_from_ut,-136839.9975970402
DEU,Germany,2022,-10027.803144135163,-10.027803144135163,benefits_from_ut,-136839.9975970402
ESP,Spain,2016,2867.6569457522996,2.8676569457523,benefits_from_ut,-35470.2315374156
ESP,Spain,2017,-600.7904577985901,-0.6007904577985901,benefits_from_ut,-35470.2315374156
ESP,Spain,2018,-4809.216555498963,-4.809216555498963,benefits_from_ut,-35470.2315374156
ESP,Spain,2019,-11315.10230200243,-11.31510230200243,benefits_from_ut,-35470.2315374156
ESP,Spain,2020,-8798.501360970897,-8.798501360970898,benefits_from_ut,-35470.2315374156
ESP,Spain,2021,-1767.7593932182026,-1.7677593932182025,benefits_from_ut,-35470.2315374156
