iso_partner,partner_jurisdiction,total_net_misalignment_musd,group
BEL,Belgium,-215260.50175899116,benefits_from_ut
DEU,Germany,-136839.9975970402,benefits_from_ut
FRA,France,-133236.95419531126,benefits_from_ut
POL,Poland,-60071.15465334723,benefits_from_ut
ESP,Spain,-35470.2315374156,benefits_from_ut
ITA,Italy,-27371.646192953358,benefits_from_ut
ROU,Romania,-25919.757574717485,benefits_from_ut
CYP,Cyprus,-15783.107058062364,benefits_from_ut
CZE,Czechia,-15758.291164464277,benefits_from_ut
EST,Estonia,-10396.35649065582,benefits_from_ut
HUN,Hungary,-8282.152035088915,benefits_from_ut
SVK,Slovak Republic,-7309.706534535179,benefits_from_ut
LTU,Lithuania,-5698.3899352701355,benefits_from_ut
SVN,Slovenia,-3246.9054830243913,benefits_from_ut
GRC,Greece,-2179.3269910493727,benefits_from_ut
PRT,Portugal,-765.9332164421797,benefits_from_ut
BGR,Bulgaria,-374.3163170301501,benefits_from_ut
HRV,Croatia,-340.30164579712107,benefits_from_ut
LVA,Latvia,2803.612619360476,loses_under_ut
AUT,Austria,2949.3854086269203,loses_under_ut
FIN,Finland,9642.648292860958,loses_under_ut
IRL,Ireland,28692.649108473164,loses_under_ut
MLT,Malta,33745.196443338566,loses_under_ut
LUX,Luxembourg,115136.69651362277,loses_under_ut
SWE,Sweden,116673.15234223522,loses_under_ut
DNK,Denmark,136174.59688402366,loses_under_ut
NLD,Netherlands,189070.2075700661,loses_under_ut
