iso_partner,partner_jurisdiction,tax_gained_bn,tax_lost_bn,net_tax_revenue_bn
BEL,Belgium,0.49883233268621857,67.53342234397927,-67.03459001129305
FRA,France,0.0,43.56856924174686,-43.56856924174686
DEU,Germany,0.21446370467190168,41.82533566752325,-41.61087196285135
ESP,Spain,1.5752976439587363,15.646696553232816,-14.07139890927408
POL,Poland,0.0,11.413519384135974,-11.413519384135974
ITA,Italy,0.0,7.806840469937805,-7.806840469937805
ROU,Romania,0.09085342658434578,4.306636028565527,-4.215782601981181
AUT,Austria,1.2745584955628009,4.614388106774989,-3.339829611212188
CZE,Czechia,0.0,2.9940753212482125,-2.9940753212482125
PRT,Portugal,0.668562753549489,3.4551921210782464,-2.7866293675287572
SVK,Slovak Republic,0.19719096640600203,2.5490233830510376,-2.3518324166450357
EST,Estonia,0.046354764237010654,2.266308418309464,-2.2199536540724534
CYP,Cyprus,0.027326054166889165,2.2368536932047167,-2.2095276390378276
LUX,Luxembourg,1.8528664131268548,3.92682458402152,-2.073958170894665
FIN,Finland,1.0600577600066177,2.5274716104640906,-1.467413850457473
GRC,Greece,0.3365620168880914,1.7739852870802653,-1.4374232701921739
NLD,Netherlands,9.888993850594694,10.980562026582705,-1.0915681759880105
IRL,Ireland,3.342029173598564,4.315809887921259,-0.9737807143226949
HUN,Hungary,0.15463956117687566,1.0785533354374657,-0.9239137742605901
LTU,Lithuania,0.06342033981671819,0.9863517282062817,-0.9229313883895636
SVN,Slovenia,0.0017059842320889319,0.6245278593815389,-0.62282187514945
HRV,Croatia,0.27867879189166406,0.8809601516917798,-0.6022813598001158
LVA,Latvia,0.20841300330283233,0.723714340847377,-0.5153013375445447
BGR,Bulgaria,0.10718480604774287,0.29329132356959614,-0.18610651752185325
MLT,Malta,0.613180362815479,0.01817106479806658,0.5950092980174124
SWE,Sweden,5.421885412227408,4.30269246170266,1.1191929505247487
DNK,Denmark,6.537450968919746,1.5417439155284973,4.995707053391248
