year,sample_name,formula_name,etr_name,rate_mode,n_countries,total_shifted_musd,total_tax_loss_musd,total_tax_gain_musd,total_revenue_gain_from_ut_musd,total_current_tax_paid_cash_musd,revenue_gain_from_ut_pct_of_current_tax_paid
2016,disaggregated,ccctb,average,loss_cit_gain_cit,226,133345.50339534364,36596.30415650718,29620.94382884914,6975.360327658045,112287.8509069035,6.21203475827606
2017,disaggregated,ccctb,average,loss_cit_gain_cit,226,293490.6488470187,85426.57231077748,58201.0557379169,27225.516572860597,202674.81390524496,13.433103032520426
2018,disaggregated,ccctb,average,loss_cit_gain_cit,226,288013.8118212724,75174.15393889039,60852.84962805744,14321.304310832951,227695.51879145455,6.289673326399443
2019,disaggregated,ccctb,average,loss_cit_gain_cit,226,338523.78525892046,90146.44463057203,67029.58397571357,23116.860654858487,225264.15432412652,10.26211237390049
2020,disaggregated,ccctb,average,loss_cit_gain_cit,226,136998.3400947761,32980.737806205274,25952.24726733125,7028.490538874021,213065.8744057536,3.29874061647679
2021,disaggregated,ccctb,average,loss_cit_gain_cit,226,191608.007668192,45983.10343955112,38267.33098963855,7715.772449912574,245453.7200778043,3.14347342035265
2022,disaggregated,ccctb,average,loss_cit_gain_cit,226,155335.7292585806,35802.14933248952,26540.35954327764,9261.789789211878,292312.90247684915,3.1684505578556874
2016,disaggregated,ccctb,average,loss_cit_gain_etr,226,133345.50339534364,36596.30415650718,9753.336004699951,26842.968151807232,112287.8509069035,23.905496396099352
2017,disaggregated,ccctb,average,loss_cit_gain_etr,226,293490.6488470187,85426.57231077748,22993.681034960016,62432.89127581747,202674.81390524496,30.804464586806656
2018,disaggregated,ccctb,average,loss_cit_gain_etr,226,288013.8118212724,75174.15393889039,21674.56425698005,53499.58968191033,227695.51879145455,23.49611005340443
2019,disaggregated,ccctb,average,loss_cit_gain_etr,226,338523.78525892046,90146.44463057203,28261.32539560013,61885.11923497191,225264.15432412652,27.47224449475751
2020,disaggregated,ccctb,average,loss_cit_gain_etr,226,136998.3400947761,32980.737806205274,10558.565548083208,22422.172258122064,213065.8744057536,10.52358681119541
2021,disaggregated,ccctb,average,loss_cit_gain_etr,226,191608.007668192,45983.10343955112,16023.22496801324,29959.878471537875,245453.7200778043,12.20591745850955
2022,disaggregated,ccctb,average,loss_cit_gain_etr,226,155335.7292585806,35802.14933248952,11596.431673903844,24205.717658585672,292312.90247684915,8.280755811147522
2016,disaggregated,ccctb,average,loss_etr_gain_etr,226,133345.50339534364,25239.18643105605,9753.336004699951,15485.8504263561,112287.8509069035,13.791207420289156
2017,disaggregated,ccctb,average,loss_etr_gain_etr,226,293490.6488470187,55266.83491282373,22993.681034960016,32273.15387786373,202674.81390524496,15.923613425865607
2018,disaggregated,ccctb,average,loss_etr_gain_etr,226,288013.8118212724,53270.193307192094,21674.56425698005,31595.62905021204,227695.51879145455,13.87626301031877
2019,disaggregated,ccctb,average,loss_etr_gain_etr,226,338523.78525892046,58869.140951404086,28261.32539560013,30607.815555803965,225264.15432412652,13.58752156890581
2020,disaggregated,ccctb,average,loss_etr_gain_etr,226,136998.3400947761,20926.62762871109,10558.565548083208,10368.062080627882,213065.8744057536,4.866129834045307
2021,disaggregated,ccctb,average,loss_etr_gain_etr,226,191608.007668192,29248.082129664857,16023.22496801324,13224.857161651616,245453.7200778043,5.387922887239021
2022,disaggregated,ccctb,average,loss_etr_gain_etr,226,155335.7292585806,23594.019433179325,11596.431673903844,11997.587759275477,292312.90247684915,4.104364760370326
2016,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,140760.4413733923,38394.662613661785,31500.69584423325,6893.966769428524,112287.8509069035,6.139548235849867
2017,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,315032.3612838422,90500.01547149393,64039.86466959427,26460.150801899625,202674.81390524496,13.055470629059188
2018,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,297007.6943661431,77283.89154856908,63157.33119148406,14126.560357085023,227695.51879145455,6.204145093440985
2019,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,345534.23802372575,91851.46924647612,68754.29176823745,23097.17747823868,225264.15432412652,10.253374553771556
2020,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,138469.53523719538,32973.21964624085,26449.157771210525,6524.06187503032,213065.8744057536,3.061992866396884
2021,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,201161.66310512845,47494.4824188191,40699.5588063663,6794.923612452787,245453.7200778043,2.768311521332381
2022,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,152898.5616144998,35178.87772349873,26465.98302563156,8712.89469786717,292312.90247684915,2.980674005163772
2016,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,140760.4413733923,38394.662613661785,10361.521476310269,28033.141137351515,112287.8509069035,24.96542672331796
2017,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,315032.3612838422,90500.01547149393,25618.011502143305,64882.00396935058,202674.81390524496,32.012859772346644
2018,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,297007.6943661431,77283.89154856908,22507.932603402256,54775.95894516683,227695.51879145455,24.05666972977888
2019,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,345534.23802372575,91851.46924647612,28868.87597741061,62982.59326906552,225264.15432412652,27.95943875670585
2020,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,138469.53523719538,32973.21964624085,10783.080702231731,22190.138944009115,213065.8744057536,10.414684663087414
2021,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,201161.66310512845,47494.4824188191,17155.755066161546,30338.727352657545,245453.7200778043,12.36026381797788
2022,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,152898.5616144998,35178.87772349873,11486.126046301062,23692.751677197677,292312.90247684915,8.105270576988682
2016,disaggregated,double_weighted_sales,average,loss_etr_gain_etr,226,140760.4413733923,26983.38321768717,10361.521476310269,16621.86174137689,112287.8509069035,14.802903080902205
2017,disaggregated,double_weighted_sales,average,loss_etr_gain_etr,226,315032.3612838422,60084.178268478616,25618.011502143305,34466.166766335315,202674.81390524496,17.00564865570767
2018,disaggregated,double_weighted_sales,average,loss_etr_gain_etr,226,297007.6943661431,56619.85237906194,22507.932603402256,34111.919775659684,227695.51879145455,14.98137510861716
