sample_name,formula_name,etr_name,etr_col,etr_threshold,threshold_rate_col,rate_mode,loss_rate_col,gain_rate_col,n_country_rows,n_misalignment_rows,n_years,total_shifted_musd_all_years,total_tax_loss_musd_all_years,total_tax_gain_musd_all_years,total_revenue_gain_from_ut_musd_all_years,total_current_tax_paid_cash_musd_all_years,revenue_gain_from_ut_pct_of_current_tax_paid_all_years,total_revenue_gain_from_ut_low_income_musd_all_years,total_revenue_gain_from_ut_middle_income_musd_all_years,country_file,misalignment_file,aggregate_file
disaggregated,employees_payroll,average,etr_average_corrected,0.15,etr_average_corrected,loss_cit_gain_etr,cit,etr_average_corrected,1582,29901,7,1741578.1100537372,456640.068049158,136394.23276984238,320245.83527931565,1518754.8348881365,21.08607840599258,1780.4845041305318,91237.82696634492,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\country_estimates__employees_payroll__etrdef_average__etrmax_0_15__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\misalignment__employees_payroll__etrdef_average__etrmax_0_15__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\aggregate_results__employees_payroll__etrdef_average__etrmax_0_15__loss_cit_gain_etr.csv
disaggregated,employees_payroll,average,etr_average_corrected,0.15,etr_average_corrected,loss_etr_gain_etr,etr_average_corrected,etr_average_corrected,1582,29901,7,1741578.1100537372,307702.8734132997,136394.23276984238,171308.64064345727,1518754.8348881365,11.279545368892602,1466.9165511321405,73107.98913485445,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\country_estimates__employees_payroll__etrdef_average__etrmax_0_15__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\misalignment__employees_payroll__etrdef_average__etrmax_0_15__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\aggregate_results__employees_payroll__etrdef_average__etrmax_0_15__loss_etr_gain_etr.csv
disaggregated,employees_payroll,average,etr_average_corrected,0.15,etr_average_corrected,loss_cit_gain_cit,cit,cit,1582,29901,7,1741578.1100537372,456640.068049158,341594.93141884444,115045.13663031359,1518754.8348881365,7.574964305465879,998.2874249350614,85254.75711996423,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\country_estimates__employees_payroll__etrdef_average__etrmax_0_15__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\misalignment__employees_payroll__etrdef_average__etrmax_0_15__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\aggregate_results__employees_payroll__etrdef_average__etrmax_0_15__loss_cit_gain_cit.csv
disaggregated,ccctb,average,etr_average_corrected,0.15,etr_average_corrected,loss_cit_gain_etr,cit,etr_average_corrected,1582,29901,7,1537315.826344104,402109.46561499307,120861.12888224045,281248.33673275256,1518754.8348881365,18.518350050452206,1467.7306193935829,65134.63587158258,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\country_estimates__ccctb__etrdef_average__etrmax_0_15__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\misalignment__ccctb__etrdef_average__etrmax_0_15__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\aggregate_results__ccctb__etrdef_average__etrmax_0_15__loss_cit_gain_etr.csv
disaggregated,ccctb,average,etr_average_corrected,0.15,etr_average_corrected,loss_etr_gain_etr,etr_average_corrected,etr_average_corrected,1582,29901,7,1537315.826344104,266414.0847940312,120861.12888224045,145552.95591179084,1518754.8348881365,9.583703213199088,1165.3730261789674,51002.16616174113,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\country_estimates__ccctb__etrdef_average__etrmax_0_15__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\misalignment__ccctb__etrdef_average__etrmax_0_15__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\aggregate_results__ccctb__etrdef_average__etrmax_0_15__loss_etr_gain_etr.csv
disaggregated,ccctb,average,etr_average_corrected,0.15,etr_average_corrected,loss_cit_gain_cit,cit,cit,1582,29901,7,1537315.826344104,402109.46561499307,306464.3709707845,95645.09464420856,1518754.8348881365,6.297599352251825,857.9638807416894,60014.19473577041,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\country_estimates__ccctb__etrdef_average__etrmax_0_15__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\misalignment__ccctb__etrdef_average__etrmax_0_15__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\aggregate_results__ccctb__etrdef_average__etrmax_0_15__loss_cit_gain_cit.csv
disaggregated,double_weighted_sales,average,etr_average_corrected,0.15,etr_average_corrected,loss_cit_gain_etr,cit,etr_average_corrected,1582,29901,7,1590864.495003927,413676.6186687596,126781.30337396078,286895.3152947988,1518754.8348881365,18.890166385276398,1881.3783745899818,95620.9907345926,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\country_estimates__double_weighted_sales__etrdef_average__etrmax_0_15__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\misalignment__double_weighted_sales__etrdef_average__etrmax_0_15__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\aggregate_results__double_weighted_sales__etrdef_average__etrmax_0_15__loss_cit_gain_etr.csv
disaggregated,double_weighted_sales,average,etr_average_corrected,0.15,etr_average_corrected,loss_etr_gain_etr,etr_average_corrected,etr_average_corrected,1582,29901,7,1590864.495003927,281535.4092905775,126781.30337396078,154754.1059166167,1518754.8348881365,10.189538321898747,1516.069100606162,75780.82666635649,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\country_estimates__double_weighted_sales__etrdef_average__etrmax_0_15__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\misalignment__double_weighted_sales__etrdef_average__etrmax_0_15__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\aggregate_results__double_weighted_sales__etrdef_average__etrmax_0_15__loss_etr_gain_etr.csv
disaggregated,double_weighted_sales,average,etr_average_corrected,0.15,etr_average_corrected,loss_cit_gain_cit,cit,cit,1582,29901,7,1590864.495003927,413676.6186687596,321066.8830767575,92609.73559200214,1518754.8348881365,6.097740956250077,1324.3686213986807,90905.99941952719,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\country_estimates__double_weighted_sales__etrdef_average__etrmax_0_15__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\misalignment__double_weighted_sales__etrdef_average__etrmax_0_15__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\aggregate_results__double_weighted_sales__etrdef_average__etrmax_0_15__loss_cit_gain_cit.csv
disaggregated,sales_employees,average,etr_average_corrected,0.15,etr_average_corrected,loss_cit_gain_etr,cit,etr_average_corrected,1582,29901,7,1736171.794521664,450265.9055763759,140208.61744358653,310057.2881327894,1518754.8348881365,20.415229700692713,2541.046521925439,140933.49334971196,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\country_estimates__sales_employees__etrdef_average__etrmax_0_15__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\misalignment__sales_employees__etrdef_average__etrmax_0_15__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\eu_multinationals_etr15_sotj\tables\disaggregated\aggregate_results__sales_employees__etrdef_average__etrmax_0_15__loss_cit_gain_etr.csv
