iso_partner,partner_jurisdiction,tax_loss_bn
BEL,Belgium,72.62284546438025
DEU,Germany,61.61552546116171
FRA,France,56.5852935725908
ESP,Spain,31.568649722964615
NLD,Netherlands,18.268838563020342
POL,Poland,15.563632060151424
ITA,Italy,10.53276476378071
ROU,Romania,8.051706188857167
IRL,Ireland,7.875400716764328
AUT,Austria,7.494263421637178
SWE,Sweden,6.047184298500099
LUX,Luxembourg,5.345573732280419
PRT,Portugal,5.281378416039572
CZE,Czechia,4.281524936132512
SVK,Slovak Republic,3.441768506412832
FIN,Finland,3.1732745876970627
GRC,Greece,3.018666556125552
EST,Estonia,2.8284210581542677
CYP,Cyprus,2.6487233222800226
DNK,Denmark,2.34844631853081
HUN,Hungary,1.7081911158084702
LTU,Lithuania,1.2552214844267333
HRV,Croatia,1.1825692394307588
SVN,Slovenia,0.9422797330621977
LVA,Latvia,0.8301266982481161
BGR,Bulgaria,0.4392664843457251
MLT,Malta,0.06760171508688297
