year,iso_responsible,iso_affected,shifted_profit_musd
2016,NLD,BEL,17358.24982124252
2016,NLD,FRA,3029.4212593831085
2016,NLD,DEU,1700.9483646208562
2016,ESP,ITA,1674.8424856995366
2016,NLD,POL,1233.6479242812861
2016,NLD,IRL,1160.493565771771
2016,SWE,DEU,1124.9934069320943
2016,SWE,POL,1101.964478576172
2016,NLD,GRC,1011.2517348082973
2016,GBR,BEL,948.6281003765259
2016,SWE,FRA,847.7455014337736
2016,CHL,ITA,798.6313433004377
2016,SWE,BEL,781.9582157939747
2016,NLD,ROU,761.9814349321325
2016,DNK,ESP,698.7585309979855
2016,LUX,POL,684.1809729405853
2016,SWE,ESP,599.3966295328928
2016,CHE,POL,593.9460934718435
2016,DNK,DEU,579.0240085381196
2016,HKG,POL,549.0546919429621
2016,LBY,ITA,507.96831951816654
2016,LUX,ITA,490.1705374312023
2016,FRA,POL,464.22593498904826
2016,SWE,CYP,463.3387113095516
2016,NLD,CYP,443.77770893481795
2016,KAZ,ITA,434.94825596117136
2016,SWE,ROU,416.59394547974364
2016,IRL,ITA,401.0799915150249
2016,NLD,ITA,379.5551063210628
2016,DNK,FRA,357.9147191934688
2016,SWE,SVK,337.99849480698515
2016,IRL,POL,324.3268388706125
2016,NLD,ESP,299.001377113093
2016,SWE,EST,296.8353703638875
2016,NLD,EST,285.6885932457999
2016,NLD,CZE,282.38168193660687
2016,DNK,BEL,281.4732327855778
2016,NLD,SVK,275.1453446001951
2016,GBR,ITA,274.49815204329633
2016,SWE,CZE,261.3969275105595
2016,DEU,ITA,250.1305178722375
2016,HKG,BEL,248.21629622549509
2016,NLD,SWE,226.70842810661537
2016,VGB,BEL,218.92551867647782
2016,NLD,HRV,213.39836612853705
2016,DNK,POL,211.0096147714018
2016,SWE,FIN,210.47358322077253
2016,SWE,ITA,210.33357488237507
2016,NLD,DNK,208.65467651824076
2016,DNK,AUT,206.0221068824907
2016,ESP,PRT,204.3395187392035
2016,SWE,AUT,203.10591258234038
