iso_partner,partner_jurisdiction,year,net_misalignment_musd,net_misalignment_bn,group,total_net_misalignment_musd
AUT,Austria,2016,-672.4405624484002,-0.6724405624484002,benefits_from_ut,-8570.11585082184
AUT,Austria,2017,-5008.219493380171,-5.008219493380171,benefits_from_ut,-8570.11585082184
AUT,Austria,2018,-5696.007003124789,-5.696007003124789,benefits_from_ut,-8570.11585082184
AUT,Austria,2019,-1087.7257831432612,-1.0877257831432612,benefits_from_ut,-8570.11585082184
AUT,Austria,2020,762.6770714131376,0.7626770714131376,benefits_from_ut,-8570.11585082184
AUT,Austria,2021,5895.685946625713,5.895685946625713,benefits_from_ut,-8570.11585082184
AUT,Austria,2022,-2764.0860267640674,-2.7640860267640672,benefits_from_ut,-8570.11585082184
BEL,Belgium,2016,-21971.545188294152,-21.97154518829415,benefits_from_ut,-228790.1812541662
BEL,Belgium,2017,-58047.51812144231,-58.04751812144231,benefits_from_ut,-228790.1812541662
BEL,Belgium,2018,-46486.7186809708,-46.4867186809708,benefits_from_ut,-228790.1812541662
BEL,Belgium,2019,-75846.64007480588,-75.84664007480588,benefits_from_ut,-228790.1812541662
BEL,Belgium,2020,-7701.271099784159,-7.701271099784159,benefits_from_ut,-228790.1812541662
BEL,Belgium,2021,-13081.803036712317,-13.081803036712317,benefits_from_ut,-228790.1812541662
BEL,Belgium,2022,-5654.685052156595,-5.654685052156595,benefits_from_ut,-228790.1812541662
BGR,Bulgaria,2016,8.497739299218608,0.008497739299218609,benefits_from_ut,-1834.0679247914395
BGR,Bulgaria,2017,-969.4302967927858,-0.9694302967927858,benefits_from_ut,-1834.0679247914395
BGR,Bulgaria,2018,-574.2242315319941,-0.5742242315319941,benefits_from_ut,-1834.0679247914395
BGR,Bulgaria,2019,-555.3890045981924,-0.5553890045981924,benefits_from_ut,-1834.0679247914395
BGR,Bulgaria,2020,267.06069792915434,0.2670606979291543,benefits_from_ut,-1834.0679247914395
BGR,Bulgaria,2021,-151.72143908521332,-0.15172143908521332,benefits_from_ut,-1834.0679247914395
BGR,Bulgaria,2022,141.138609988373,0.141138609988373,benefits_from_ut,-1834.0679247914395
