year,sample_name,formula_name,etr_name,rate_mode,n_countries,total_shifted_musd,total_tax_loss_musd,total_tax_gain_musd,total_revenue_gain_from_ut_musd,total_current_tax_paid_cash_musd,revenue_gain_from_ut_pct_of_current_tax_paid
2016,disaggregated,ccctb,average,loss_cit_gain_cit,226,149580.54060478625,40758.05948505324,33631.140259360895,7126.91922569234,112287.8509069035,6.347008307783165
2017,disaggregated,ccctb,average,loss_cit_gain_cit,226,353186.694272632,101689.5688087314,73175.62595112326,28513.942857608105,202674.81390524496,14.068814130471592
2018,disaggregated,ccctb,average,loss_cit_gain_cit,226,369444.1475882281,95412.4210113212,80902.90322139165,14509.517789929556,227695.51879145455,6.3723334859386345
2019,disaggregated,ccctb,average,loss_cit_gain_cit,226,427816.57202963455,112644.6459619067,90569.26738146709,22075.378580439625,225264.15432412652,9.799774245784333
2020,disaggregated,ccctb,average,loss_cit_gain_cit,226,228655.60255880828,55238.99939010533,49593.39976572501,5645.599624380327,213065.8744057536,2.649696785149689
2021,disaggregated,ccctb,average,loss_cit_gain_cit,226,302825.1386606518,73306.55417265647,66902.95410446031,6403.600068196169,245453.7200778043,2.6088828746072155
2022,disaggregated,ccctb,average,loss_cit_gain_cit,226,312331.9518191201,70679.0164402706,67035.25319770977,3643.763242560834,292312.90247684915,1.24652836453205
2016,disaggregated,ccctb,average,loss_cit_gain_etr,226,149580.54060478625,40758.05948505324,14165.940815860851,26592.118669192376,112287.8509069035,23.682097799912103
2017,disaggregated,ccctb,average,loss_cit_gain_etr,226,353186.694272632,101689.5688087314,37357.242490466335,64332.32631826503,202674.81390524496,31.741648149898804
2018,disaggregated,ccctb,average,loss_cit_gain_etr,226,369444.1475882281,95412.4210113212,41377.07171520248,54035.34929611872,227695.51879145455,23.7314065656292
2019,disaggregated,ccctb,average,loss_cit_gain_etr,226,427816.57202963455,112644.6459619067,47065.76427641802,65578.88168548867,225264.15432412652,29.11199160037197
2020,disaggregated,ccctb,average,loss_cit_gain_etr,226,228655.60255880828,55238.99939010533,29570.44651174236,25668.55287836297,213065.8744057536,12.047237949274251
2021,disaggregated,ccctb,average,loss_cit_gain_etr,226,302825.1386606518,73306.55417265647,39602.069922020615,33704.48425063586,245453.7200778043,13.73150272073781
2022,disaggregated,ccctb,average,loss_cit_gain_etr,226,312331.9518191201,70679.0164402706,43936.28704921424,26742.729391056368,292312.90247684915,9.148665407670247
2016,disaggregated,ccctb,average,loss_etr_gain_etr,226,149580.54060478625,28417.28170237944,14165.940815860851,14251.340886518588,112287.8509069035,12.691792363480356
2017,disaggregated,ccctb,average,loss_etr_gain_etr,226,353186.694272632,65305.47801489591,37357.242490466335,27948.235524429565,202674.81390524496,13.789693443357988
2018,disaggregated,ccctb,average,loss_etr_gain_etr,226,369444.1475882281,67718.70523184323,41377.07171520248,26341.63351664074,227695.51879145455,11.568797513651088
2019,disaggregated,ccctb,average,loss_etr_gain_etr,226,427816.57202963455,73783.22932565236,47065.76427641802,26717.465049234328,225264.15432412652,11.860504450606587
2020,disaggregated,ccctb,average,loss_etr_gain_etr,226,228655.60255880828,34612.676283960565,29570.44651174236,5042.229772218212,213065.8744057536,2.366512134465984
2021,disaggregated,ccctb,average,loss_etr_gain_etr,226,302825.1386606518,46018.66710377511,39602.069922020615,6416.597181754491,245453.7200778043,2.6141780127514664
2022,disaggregated,ccctb,average,loss_etr_gain_etr,226,312331.9518191201,46689.110426267565,43936.28704921424,2752.8233770533293,292312.90247684915,0.9417385800379952
2016,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,156916.19011495574,42638.4755507388,35725.9828230035,6912.492727735295,112287.8509069035,6.156046866963691
2017,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,373439.7039016315,106304.1600461173,79481.53014489263,26822.629901224645,202674.81390524496,13.234318258096357
2018,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,371523.19266658847,95904.29294051396,81582.46033080565,14321.832609708334,227695.51879145455,6.289905346282041
2019,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,435865.3814669777,114724.03069008936,92918.5198515983,21805.510838491045,225264.15432412652,9.67997367531262
2020,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,221114.57224294543,52836.33430161129,47796.12281833209,5040.211483279199,213065.8744057536,2.3655648739322905
2021,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,298464.7410037708,70835.9525710953,65628.5392302359,5207.41334085942,245453.7200778043,2.121545902506088
2022,disaggregated,double_weighted_sales,average,loss_cit_gain_cit,226,310103.8073769096,69896.34358099446,67293.02979495152,2603.3137860429315,292312.90247684915,0.8905914737202238
2016,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,156916.19011495574,42638.4755507388,14707.701250168846,27930.77430056996,112287.8509069035,24.8742620639583
2017,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,373439.7039016315,106304.1600461173,39786.1955828858,66517.96446323147,202674.81390524496,32.8200446723144
2018,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,371523.19266658847,95904.29294051396,40694.57582400895,55209.71711650503,227695.51879145455,24.247168942780725
2019,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,435865.3814669777,114724.03069008936,47387.82875611443,67336.20193397494,225264.15432412652,29.89210695150667
2020,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,221114.57224294543,52836.33430161129,27907.3256396331,24929.00866197818,213065.8744057536,11.700141438184714
2021,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,298464.7410037708,70835.9525710953,37863.34014566679,32972.61242542852,245453.7200778043,13.433331715232024
2022,disaggregated,double_weighted_sales,average,loss_cit_gain_etr,226,310103.8073769096,69896.34358099446,43525.75817633437,26370.585404660094,292312.90247684915,9.02135526048106
2016,disaggregated,double_weighted_sales,average,loss_etr_gain_etr,226,156916.19011495574,30262.48123121327,14707.701250168846,15554.77998104442,112287.8509069035,13.85259389632517
2017,disaggregated,double_weighted_sales,average,loss_etr_gain_etr,226,373439.7039016315,69987.95279766366,39786.1955828858,30201.757214777863,202674.81390524496,14.90158378973416
2018,disaggregated,double_weighted_sales,average,loss_etr_gain_etr,226,371523.19266658847,70490.49664977353,40694.57582400895,29795.92082576458,227695.51879145455,13.085861761317553
2019,disaggregated,double_weighted_sales,average,loss_etr_gain_etr,226,435865.3814669777,76916.7015140266,47387.82875611443,29528.87275791216,225264.15432412652,13.108553753929202
2020,disaggregated,double_weighted_sales,average,loss_etr_gain_etr,226,221114.57224294543,34415.83428464647,27907.3256396331,6508.508645013366,213065.8744057536,3.0546931380568423
2021,disaggregated,double_weighted_sales,average,loss_etr_gain_etr,226,298464.7410037708,45800.39385713619,37863.34014566679,7937.053711469392,245453.7200778043,3.2336253485803725
2022,disaggregated,double_weighted_sales,average,loss_etr_gain_etr,226,310103.8073769096,47336.97637162354,43525.75817633437,3811.2181952891706,292312.90247684915,1.3038145641179884
2016,disaggregated,employees_payroll,average,loss_cit_gain_cit,226,163772.5811158904,46542.577899308686,35918.83868509044,10623.739214218243,112287.8509069035,9.461165325023682
2017,disaggregated,employees_payroll,average,loss_cit_gain_cit,226,402219.05205254094,116004.35510167088,85236.456944313,30767.89815735788,202674.81390524496,15.18091842025451
2018,disaggregated,employees_payroll,average,loss_cit_gain_cit,226,433742.2456263567,113758.61230534366,95374.15993748263,18384.452367861,227695.51879145455,8.07413886116013
2019,disaggregated,employees_payroll,average,loss_cit_gain_cit,226,474911.49213869707,123764.21338806771,100598.73735646773,23165.47603160001,225264.15432412652,10.283693870915576
2020,disaggregated,employees_payroll,average,loss_cit_gain_cit,226,269961.7616471329,65274.36073597574,58162.38075193762,7111.979984038133,213065.8744057536,3.3379254204239106
2021,disaggregated,employees_payroll,average,loss_cit_gain_cit,226,367008.9803809684,90305.5086068092,80434.92322339809,9870.585383411104,245453.7200778043,4.021363123069518
2022,disaggregated,employees_payroll,average,loss_cit_gain_cit,226,358603.1274938962,81384.79278243458,76085.93253737685,5298.860245057722,292312.90247684915,1.8127356678952569
2016,disaggregated,employees_payroll,average,loss_cit_gain_etr,226,163772.5811158904,46542.577899308686,16097.962745192492,30444.61515411619,112287.8509069035,27.11300902833865
2017,disaggregated,employees_payroll,average,loss_cit_gain_etr,226,402219.05205254094,116004.35510167088,44052.74454782781,71951.61055384307,202674.81390524496,35.501012270563656
2018,disaggregated,employees_payroll,average,loss_cit_gain_etr,226,433742.2456263567,113758.61230534366,50193.29820941038,63565.31409593325,227695.51879145455,27.91680505322218
2019,disaggregated,employees_payroll,average,loss_cit_gain_etr,226,474911.49213869707,123764.21338806771,52877.73730524248,70886.47608282525,225264.15432412652,31.468156261039475
2020,disaggregated,employees_payroll,average,loss_cit_gain_etr,226,269961.7616471329,65274.36073597574,34573.032969922715,30701.327766053026,213065.8744057536,14.409312543212208
2021,disaggregated,employees_payroll,average,loss_cit_gain_etr,226,367008.9803809684,90305.5086068092,47541.02085319521,42764.48775361397,245453.7200778043,17.42262767093463
2022,disaggregated,employees_payroll,average,loss_cit_gain_etr,226,358603.1274938962,81384.79278243458,49033.440425977606,32351.352356456955,292312.90247684915,11.067370643695464
2016,disaggregated,employees_payroll,average,loss_etr_gain_etr,226,163772.5811158904,33141.914035083144,16097.962745192492,17043.95128989065,112287.8509069035,15.17880265071738
2017,disaggregated,employees_payroll,average,loss_etr_gain_etr,226,402219.05205254094,76920.33080279626,44052.74454782781,32867.586254968446,202674.81390524496,16.216907084634002
2018,disaggregated,employees_payroll,average,loss_etr_gain_etr,226,433742.2456263567,80702.29030293123,50193.29820941038,30508.992093520857,227695.51879145455,13.39903053668084
2019,disaggregated,employees_payroll,average,loss_etr_gain_etr,226,474911.49213869707,82768.50668294207,52877.73730524248,29890.769377699587,225264.15432412652,13.269208084785014
2020,disaggregated,employees_payroll,average,loss_etr_gain_etr,226,269961.7616471329,41451.66697487686,34573.032969922715,6878.634004954146,213065.8744057536,3.228407188217653
2021,disaggregated,employees_payroll,average,loss_etr_gain_etr,226,367008.9803809684,58471.68985687075,47541.02085319521,10930.669003675535,245453.7200778043,4.453250494720845
2022,disaggregated,employees_payroll,average,loss_etr_gain_etr,226,358603.1274938962,55724.63132582128,49033.440425977606,6691.190899843674,292312.90247684915,2.2890508229870585
2016,disaggregated,sales_employees,average,loss_cit_gain_cit,226,171652.85706745752,47110.948972977225,38664.47274893604,8446.476224041191,112287.8509069035,7.5221639347644675
2017,disaggregated,sales_employees,average,loss_cit_gain_cit,226,415461.62921258894,117128.90667987584,90870.6120851597,26258.29459471615,202674.81390524496,12.955874530612617
2018,disaggregated,sales_employees,average,loss_cit_gain_cit,226,408168.3761819971,106756.39621831928,90685.30370436276,16071.09251395652,227695.51879145455,7.058150550901253
2019,disaggregated,sales_employees,average,loss_cit_gain_cit,226,463873.8985741698,121453.67780093268,99372.98597880996,22080.69182212271,225264.15432412652,9.802132917406556
2020,disaggregated,sales_employees,average,loss_cit_gain_cit,226,234594.59081189847,55740.81583203873,50572.80231003176,5168.013522006972,213065.8744057536,2.4255472803520037
2021,disaggregated,sales_employees,average,loss_cit_gain_cit,226,332770.8853148923,79018.72638784043,73274.00711671027,5744.719271130145,245453.7200778043,2.3404490546361143
2022,disaggregated,sales_employees,average,loss_cit_gain_cit,226,333656.99882859364,75173.64848747954,72783.23565670606,2390.412830773473,292312.90247684915,0.8177582345900011
2016,disaggregated,sales_employees,average,loss_cit_gain_etr,226,171652.85706745752,47110.948972977225,16257.820095843032,30853.1288771342,112287.8509069035,27.47681839838056
2017,disaggregated,sales_employees,average,loss_cit_gain_etr,226,415461.62921258894,117128.90667987584,44855.28147376744,72273.62520610838,202674.81390524496,35.65989469214361
2018,disaggregated,sales_employees,average,loss_cit_gain_etr,226,408168.3761819971,106756.39621831928,45067.39968270193,61688.99653561736,227695.51879145455,27.0927582866126
2019,disaggregated,sales_employees,average,loss_cit_gain_etr,226,463873.8985741698,121453.67780093268,50347.08571031386,71106.59209061881,225264.15432412652,31.56587087899722
2020,disaggregated,sales_employees,average,loss_cit_gain_etr,226,234594.59081189847,55740.81583203873,29023.650385919595,26717.165446119136,213065.8744057536,12.539392110836154
2021,disaggregated,sales_employees,average,loss_cit_gain_etr,226,332770.8853148923,79018.72638784043,41942.69845404632,37076.0279337941,245453.7200778043,15.105099210572847
