,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,revenue_loss_incurred,revenue_loss_inflicted,revenue_loss_inflicted_pct,etr_average_corrected,cit
0,Afghanistan,0.011136491263191148,0.0,0.011136491263191148,0.0022272982526382297,0.0,0.0,0.0,0.2
1,Albania,12.23792692162754,0.0,12.23792692162754,1.8356890382441309,0.0,0.0,0.169208524015393,0.15
2,Algeria,96.46378511810094,0.0,96.46378511810094,25.080584130706246,0.0,0.0,0.2460662284082386,0.26
3,American Samoa,0.342233684216218,21.282343400085338,-20.94010971586912,0.15058282105513593,5.7023118069333245,0.005316045691008347,0.0708872261564965,0.44
4,Andorra,0.011578403349340499,0.0,0.011578403349340499,0.0,0.0,0.0,0.0,0.0
5,Angola,1186.5380355279813,0.0,1186.5380355279813,355.96141065839436,0.0,0.0,1.1148653587410595,0.3
6,Argentina,33.949754364535615,0.0,33.949754364535615,11.882414027587464,0.0,0.0,0.3134206175036815,0.35
7,Armenia,2.045939551373562,0.0,2.045939551373562,0.40918791027471246,0.0,0.0,0.0,0.2
8,Aruba,-0.0,146.8234826741669,-146.8234826741669,-0.0,39.339336982252405,0.03667454883778043,0.0,0.25
9,Australia,7889.053581082422,0.0,7889.053581082422,2366.7160743247264,0.0,0.0,0.2226164440043143,0.3
10,Austria,813.11403987186,1033.3014375739228,-220.18739770206287,203.278509967965,276.85893779795566,0.2581049253582459,0.0794906509442144,0.25
11,Azerbaijan,172.11733511785982,67.78972879162163,104.3276063262382,34.423467023571966,18.163327393529507,0.01693297062558814,0.0,0.2
12,Bahamas,144.89253287754417,18117.247770826034,-17972.35523794849,0.0,4854.267875045353,4.52544699305266,0.0,0.0
13,Bahrain,-0.0,153.6941820368634,-153.6941820368634,-0.0,41.18024657389241,0.038390757953226336,0.0,0.0
14,Bangladesh,2.12495421063075,0.0,2.12495421063075,0.5312385526576875,0.0,0.0,0.3877124587564077,0.25
15,Barbados,-0.0,892.0220008558231,-892.0220008558231,-0.0,239.00505183578855,0.22281520529901927,0.0043141736855434,0.25
16,Belarus,7.023645093466726,0.0,7.023645093466726,1.2642561168240107,0.0,0.0,0.2206818745317017,0.18
17,Belgium,12817.796466801596,6588.558914838921,6229.237551962675,4356.769019065862,1765.3139311064376,1.6457341924594466,0.1258245008085548,0.3399
18,Belize,0.0008362910846138749,0.0,0.0008362910846138749,0.00020907277115346873,0.0,0.0,0.0,0.25
19,Benin,0.9485998673792064,0.0,0.9485998673792064,0.2845799602137619,0.0,0.0,0.0002051368042458,0.3
20,Bermuda,208.34341567734907,24313.744862326486,-24105.40144664914,0.0,6514.534221764924,6.073249368165387,0.0132502312103166,0.0
21,Bolivia,456.84964041960166,0.0,456.84964041960166,114.21241010490041,0.0,0.0,0.2015272770889312,0.25
22,Bosnia and Herzegovina,1.6761178322438468,96.71472901098372,-95.03861117873987,0.1676117832243847,25.913384197225106,0.02415805011462311,0.0899016040609143,0.1
23,Botswana,3.6031388942466847,129.15648917611782,-125.55335028187113,0.7926905567342706,34.605708559710564,0.032261569360247905,0.0631313335066141,0.22
24,Brazil,15434.208237881885,0.0,15434.208237881885,5247.630800879841,0.0,0.0,0.2800401524452553,0.34
25,British Virgin Islands,645.7443907900206,21369.715849654487,-20723.971458864467,0.0,5725.72205557995,5.3378701642495345,0.0007181666738756,0.0
26,Brunei Darussalam,12.865205454192083,0.0,12.865205454192083,2.3800630090255352,0.0,0.0,0.3560951383356472,0.185
27,Bulgaria,22.913312600125238,310.982819824213,-288.0695072240877,2.291331260012524,83.32357823104752,0.07767936303938708,0.0975249412732878,0.1
28,Burkina Faso,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.553206660088447,0.275
29,Cambodia,4.496123393799766,18.749598668666184,-14.253475274866418,0.8992246787599533,5.023697618898858,0.004683399818193848,0.0947344703621401,0.2
30,Cameroon,102.47162314989525,0.0,102.47162314989525,33.815635639465434,0.0,0.0,0.7236479660008793,0.33
31,Canada,7397.811896403242,1601.7915358765931,5796.020360526649,1975.2157763396658,429.1780569257396,0.4001061740295132,0.1209210418799691,0.267
32,Cayman Islands,660.7657551788982,20041.310313908383,-19380.544558729485,0.0,5369.794025076963,5.006052168859685,0.0027188733512372,0.0
33,Central African Republic,6.061486160800876,0.0,6.061486160800876,1.8184458482402628,0.0,0.0,0.0,0.3
34,Chad,35.06404765384346,0.0,35.06404765384346,12.272416678845211,0.0,0.0,0.0,0.35
35,Chile,1003.7864416912952,0.0,1003.7864416912952,240.90874600591084,0.0,0.0,0.1588954219619734,0.24
36,China (People's Republic of),6242.289104090083,0.0,6242.289104090083,1560.5722760225208,0.0,0.0,0.1905788597471668,0.25
37,Chinese Taipei,361.5877400364687,0.0,361.5877400364687,61.46991580619968,0.0,0.0,0.1968287275077171,0.17
38,Colombia,10263.00601754253,0.0,10263.00601754253,2565.7515043856324,0.0,0.0,0.4242604399273582,0.25
39,Congo,488.36256679580134,12.719764477772012,475.64280231802934,146.5087700387404,3.4080863088939544,0.003177227614061984,0.0008558667584874,0.3
40,Costa Rica,41.24043505746737,0.0,41.24043505746737,12.372130517240212,0.0,0.0,0.2046994445981748,0.3
41,Croatia,8.535342697763825,0.0,8.535342697763825,1.7070685395527652,0.0,0.0,0.1822057802896003,0.2
42,Curacao,-0.0,139.9815335701177,-139.9815335701177,-0.0,37.506130627810236,0.03496552115370813,0.0,0.22
43,Cyprus,17.077374359615817,1869.555489973613,-1852.4781156139973,2.134671794951977,500.92173327824435,0.4669900405110169,0.0216692915858517,0.125
44,Czechia,133.26828910584834,1822.7516364809585,-1689.48334737511,25.320974930111184,488.3812831330751,0.4552990617966515,0.1421210109838805,0.19
45,Côte d'Ivoire,54.004433450021224,0.0,54.004433450021224,13.501108362505306,0.0,0.0,0.3315954869099142,0.25
46,Democratic Republic of the Congo,117.14535626079282,51.51183296968987,65.63352329110296,32.800699753021995,13.801888627483665,0.01286696923109339,0.1038987720083375,0.28
47,Denmark,156.85472000811757,0.0,156.85472000811757,34.50803840178587,0.0,0.0,0.2314382954578416,0.22
48,Dominican Republic,47.88726055879264,0.0,47.88726055879264,12.929560350874013,0.0,0.0,0.1618566832979342,0.27
49,Ecuador,166.0120442282313,0.0,166.0120442282313,36.52264973021089,0.0,0.0,0.2471392937100895,0.22
50,Egypt,1082.92865649045,0.0,1082.92865649045,243.65894771035127,0.0,0.0,0.406725448014522,0.225
51,El Salvador,24.987618135855573,0.0,24.987618135855573,7.4962854407566715,0.0,0.0,0.2512311083437576,0.3
52,Equatorial Guinea,-0.0,251.41265417699535,-251.41265417699535,-0.0,67.36256996587026,0.06279952972177062,0.0,0.35
53,Estonia,4.866695616781236,18.70105000560326,-13.834354388822025,0.9733391233562472,5.010689670977416,0.00467127300930687,0.0816120877671176,0.2
54,Eswatini,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.2676156375631041,0.275
55,Ethiopia,13.710501051017005,0.0,13.710501051017005,4.113150315305101,0.0,0.0,0.2658640086564389,0.3
56,Faeroe Islands,-0.0,3.379972197226334,-3.379972197226334,-0.0,0.9056171590236072,0.0008442720003625644,0.0,0.18
57,Fiji,16.200075883417448,0.0,16.200075883417448,3.2400151766834897,0.0,0.0,0.0849580516306377,0.2
58,Finland,147.29583463819378,1627.7894273884701,-1480.4935927502763,29.45916692763876,436.14383512678825,0.40660010078132297,0.130788724861335,0.2
59,France,14292.268072305333,0.0,14292.268072305333,4920.8278972947255,0.0,0.0,0.2390860496856765,0.3443
60,French Polynesia,-0.0,35.70517513457251,-35.70517513457251,-0.0,9.566711612109339,0.008918676804175683,0.0,0.27
61,Gabon,265.7635500525779,0.0,265.7635500525779,79.72906501577337,0.0,0.0,0.3719572041467534,0.3
62,Georgia,14.97941423050039,21.549561930817553,-6.570147700317163,2.2469121345750587,5.773909344581345,0.005382793318003732,0.0,0.15
63,Germany,8471.143764612798,0.0,8471.143764612798,2556.167630971912,0.0,0.0,0.2337778578688858,0.30175
64,Ghana,178.75540421353563,0.0,178.75540421353563,44.68885105338391,0.0,0.0,0.1936436106544078,0.25
65,Gibraltar,0.850308913504584,0.3261773470744655,0.5241315664301185,0.0,0.08739474325789968,8.147475340581121e-05,0.0031846829450575,0.0
66,Greece,764.1916605632,0.0,764.1916605632,221.615581563328,0.0,0.0,0.2593377946826958,0.29
67,Greenland,-0.0,2.422399751832727,-2.422399751832727,-0.0,0.6490487652751966,0.0006050831677952543,2.0862673827383533e-05,0.318
68,Guadeloupe,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.15
69,Guam,-0.0,43.4399368456694,-43.4399368456694,-0.0,11.639134850465073,0.01085071717643507,0.0,0.35
70,Guatemala,173.02303232158923,0.0,173.02303232158923,43.25575808039731,0.0,0.0,0.2324636907734938,0.25
71,Guernsey,4.126194915644603,268.87264909150656,-264.74645417586197,0.0,72.04073595907634,0.06716080371239436,0.0122444544593565,0.0
72,Guinea,-0.0,81.35459962518459,-81.35459962518459,-0.0,21.797848351096683,0.020321294542190203,0.0516270398563085,0.35
73,Guinea-Bissau,1.2840134624539739,0.0,1.2840134624539739,0.32100336561349346,0.0,0.0,0.0,0.25
74,Haiti,0.5706641186466075,0.0,0.5706641186466075,0.17119923559398223,0.0,0.0,0.0,0.3
75,Honduras,268.25270317723147,0.0,268.25270317723147,80.47581095316944,0.0,0.0,0.2983807673726166,0.3
76,"Hong Kong, China",255.65533575095637,31374.64058195849,-31118.985246207536,42.1831303989078,8406.404316738633,7.836966998285878,0.0925978613283458,0.165
77,Hungary,125.39928557359356,0.0,125.39928557359356,23.825864258982776,0.0,0.0,0.2156440230791788,0.19
78,Iceland,305.79627122189885,0.0,305.79627122189885,61.159254244379774,0.0,0.0,0.0221906909382805,0.2
79,India,2597.907423682629,0.0,2597.907423682629,899.135759336558,0.0,0.0,0.3207021709871555,0.3461
80,Indonesia,11091.451865846075,0.0,11091.451865846075,2772.8629664615187,0.0,0.0,0.2789979124423963,0.25
81,Iran,13.29990152543496,0.07529423952914306,13.224607285905817,3.32497538135874,0.020174058043785567,1.88074973738581e-05,0.0,0.25
