,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,revenue_loss_incurred,revenue_loss_inflicted,revenue_loss_inflicted_pct,etr_average_corrected,cit
0,Afghanistan,9.305981336753836,0.8438945528589591,8.462086783894877,1.8611962673507674,0.19478567196804686,0.0002362323546211953,0.0083087752729806,0.2
1,Albania,0.18907026439955923,33.72177212177809,-33.53270185737853,0.028360539659933882,7.783576775606581,0.009439773729240332,0.1122164207497937,0.15
2,Algeria,665.5423592992022,0.0,665.5423592992022,173.04101341779258,0.0,0.0,0.2478132197273419,0.26
3,Andorra,-0.0,24.958250686101607,-24.958250686101607,-0.0,5.760802240717599,0.006986591283033486,0.0112195569995938,0.0
4,Angola,475.6331070430492,0.0,475.6331070430492,142.68993211291476,0.0,0.0,0.2107039886059228,0.3
5,Anguilla,-0.0,1.3711776713521258,-1.3711776713521258,-0.0,0.3164918687969584,0.000383835313085208,0.0,0.0
6,Antigua and Barbuda,3.825578961656489e-05,0.0,3.825578961656489e-05,9.563947404141222e-06,0.0,0.0,0.2601633924412352,0.25
7,Argentina,1927.2771897629937,0.0,1927.2771897629937,578.183156928898,0.0,0.0,0.3211686673312313,0.3
8,Armenia,9.169325529209384,0.0,9.169325529209384,1.6504785952576893,0.0,0.0,0.4531761126792806,0.18
9,Aruba,8.813861596709016,0.00878156085374188,8.805080035855275,2.203465399177254,0.002026938349145013,2.4582322408656068e-06,0.0,0.25
10,Australia,3685.816263339817,0.0,3685.816263339817,1105.744879001945,0.0,0.0,0.2854490401083882,0.3
11,Austria,33.09188296970486,3645.0133208377247,-3611.92143786802,8.272970742426216,841.3330393311835,1.0203526927505,0.1333104693787786,0.25
12,Azerbaijan,41.31778701397762,0.0,41.31778701397762,8.263557402795525,0.0,0.0,1.0398099364069084,0.2
13,Bahamas,68.48027335731582,2997.0295593287847,-2928.5492859714686,0.0,691.7670159668919,0.8389618670614765,0.0052572112135009,0.0
14,Bahrain,54.54105494221084,521.5058182978805,-466.9647633556697,0.0,120.37269456030755,0.14598571229994833,0.0058177672609967,0.0
15,Bangladesh,144.83339890621664,0.0,144.83339890621664,36.20834972655416,0.0,0.0,0.3891656449944551,0.25
16,Barbados,25.573878078300314,3574.4932825719575,-3548.919404493657,1.4065632943065174,825.0557769714802,1.0006119388481778,0.023366065694521,0.055
17,Belarus,6.769178413962475,159.48756120591466,-152.7183827919522,1.2184521145132454,36.8125279097887,0.04464553300981203,0.1270843152927071,0.18
18,Belgium,1521.202177691896,0.0,1521.202177691896,380.300544422974,0.0,0.0,0.1778192921858134,0.25
19,Belize,0.6805111467343887,0.37740093545066034,0.3031102112837284,0.0,0.08711075876017953,0.00010564626980434091,0.0,0.0
20,Benin,18.85120903325248,0.0,18.85120903325248,5.655362709975744,0.0,0.0,0.1911551973877369,0.3
21,Bermuda,242.35230157357697,31854.604516088442,-31612.252214514865,0.0,7352.601726035416,8.91709539405003,0.0114138258427985,0.0
22,Bolivia,83.13920169963366,0.0,83.13920169963366,20.784800424908415,0.0,0.0,0.1706789466454232,0.25
23,Bosnia and Herzegovina,5.376594606086258,0.0,5.376594606086258,0.5376594606086259,0.0,0.0,0.1582262115627837,0.1
24,Botswana,6.104857522975123,0.0,6.104857522975123,1.343068655054527,0.0,0.0,0.1740332514890426,0.22
25,Brazil,2674.114138710902,0.0,2674.114138710902,909.1988071617067,0.0,0.0,0.2731521922644243,0.34
26,British Virgin Islands,273.2310543662118,21402.935489420426,-21129.704435054213,0.0,4940.173102518274,5.991347887413556,0.0060260782519731,0.0
27,Brunei Darussalam,63.90658438504209,87.15804538812262,-23.25146100308053,11.822718111232787,20.117606377279696,0.024398250014132237,0.0562370883846577,0.185
28,Bulgaria,71.05570055460036,986.5885929624097,-915.5328924078094,7.105570055460037,227.7219605045975,0.27617685831522876,0.0892248195779542,0.1
29,Burkina Faso,4.202113924471257,122.14193417856937,-117.93982025409811,1.176591898851952,28.192501828395947,0.034191329486887766,0.1226268545670642,0.28
30,Cabo Verde,4.1088996804053215,0.0,4.1088996804053215,0.9039579296891708,0.0,0.0,0.0,0.22
31,Cambodia,217.37092861591609,806.5976823561087,-589.2267537401926,43.47418572318322,186.1768997481163,0.22579179956720066,0.114732007924916,0.2
32,Cameroon,38.07316354337767,0.0,38.07316354337767,12.56414396931463,0.0,0.0,0.6396399704516,0.33
33,Canada,9905.049710894957,0.0,9905.049710894957,2621.866658473895,0.0,0.0,0.1644881863389825,0.2647
