,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,revenue_loss_incurred,revenue_loss_inflicted,revenue_loss_inflicted_pct,etr_average_corrected,cit
0,Afghanistan,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.185912443834204,0.2
1,Albania,63.56730777836977,0.0,63.56730777836977,9.535096166755466,0.0,0.0,0.2530394628482435,0.15
2,Algeria,202.72512896300617,0.0,202.72512896300617,52.70853353038161,0.0,0.0,0.4816355335112748,0.26
3,American Samoa,3.41161141379728,0.0,3.41161141379728,1.1599478806910752,0.0,0.0,0.0883102746783955,0.34
4,Andorra,80.69842579998013,0.0,80.69842579998013,0.0,0.0,0.0,0.0378015408839426,0.0
5,Angola,114.47560705746335,0.0,114.47560705746335,34.342682117239,0.0,0.0,0.2228140731528627,0.3
6,Anguilla,-0.0,30.706970440589675,-30.706970440589675,-0.0,7.554414001794324,0.005985536701511093,0.0,0.0
7,Antigua and Barbuda,-0.0,1.654505320286815,-1.654505320286815,-0.0,0.40703520986546077,0.0003225033982620372,0.0091342920268295,0.25
8,Argentina,2814.4925949818953,0.0,2814.4925949818953,844.3477784945686,0.0,0.0,0.1632288327706152,0.3
9,Armenia,5.99392735117539,0.8628483478966082,5.131079003278782,1.1987854702350782,0.2122747228804791,0.00016819016594833385,0.1114066068991914,0.2
10,Aruba,0.22751148923357734,52.59759178576134,-52.37008029652776,0.056877872308394334,12.939862778575927,0.010252552157624287,0.0071498717686041,0.25
11,Australia,11665.84195751406,0.0,11665.84195751406,3499.752587254218,0.0,0.0,0.3152666394867726,0.3
12,Austria,1496.6992928496159,3754.0366854035733,-2257.337392553957,374.17482321240396,923.5540625647507,0.7317532155370337,0.1084197523201838,0.25
13,Azerbaijan,3.688953229152993,0.0,3.688953229152993,0.7377906458305987,0.0,0.0,0.1500041516767618,0.2
14,Bahamas,436.41419280764353,1803.5255585673283,-1367.1113657596848,0.0,443.69661144511514,0.35155107351940823,0.0149287750486641,0.0
15,Bahrain,63.075300863904026,320.76117587282494,-257.6858750089209,0.0,78.91246461235554,0.0625241683910573,0.0056605531107073,0.0
16,Bangladesh,433.31092095890176,0.0,433.31092095890176,108.32773023972544,0.0,0.0,0.4564751095662389,0.25
17,Barbados,172.03987517964933,3771.190710059451,-3599.1508348798016,51.6119625538948,927.7742315422864,0.7350969528931832,0.0190689133506884,0.3
18,Belarus,42.66044304887934,0.0,42.66044304887934,7.6788797487982805,0.0,0.0,0.2065573607785748,0.18
19,Belgium,27834.63716529568,0.0,27834.63716529568,8233.485673494462,0.0,0.0,0.2143580460637765,0.2958
20,Belize,0.7784106664723264,0.0,0.7784106664723264,0.1946026666180816,0.0,0.0,0.5221095519082428,0.25
21,Benin,16.69271224685837,0.0,16.69271224685837,5.007813674057511,0.0,0.0,0.5317301823123611,0.3
22,Bermuda,1012.6990924489374,36722.39003294825,-35709.69094049931,0.0,9034.305027941053,7.158088543273301,0.0122730747100644,0.0
23,Bhutan,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.2362929226742388,0.3
