,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,revenue_loss_incurred,revenue_loss_inflicted,revenue_loss_inflicted_pct,etr_average_corrected,cit
0,Afghanistan,19.12227696123431,5.15644641412537,13.96583054710894,3.824455392246862,1.2799168579994529,0.0008176696038234625,0.0768438679311686,0.2
1,Albania,37.929444979080586,7.270469847824912,30.658975131255673,5.689416746862087,1.8046530840146866,0.0011528951767628874,0.0982215695218241,0.15
2,Algeria,173.35825847229844,1356.8651107604878,-1183.5068522881893,45.0731472027976,336.79677627139955,0.2151612309047127,0.1491109188669136,0.26
3,American Samoa,0.8509752086207946,20.94137451541581,-20.090399306795014,0.28933157093107015,5.1980019027323,0.0033207220687162327,0.0893230459272602,0.34
4,Andorra,89.03465747430782,0.0,89.03465747430782,0.0,0.0,0.0,0.106164469680989,0.0
5,Angola,188.1980041253169,0.0,188.1980041253169,56.459401237595074,0.0,0.0,0.5710385162783265,0.3
6,Anguilla,0.2059814911976548,0.0,0.2059814911976548,0.0,0.0,0.0,0.0,0.0
7,Antigua and Barbuda,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.25
8,Argentina,962.2078481471854,0.0,962.2078481471854,336.77274685151485,0.0,0.0,0.3222667947227481,0.35
9,Armenia,0.5970290428670266,6.745111801068454,-6.1480827582014275,0.11940580857340533,1.6742503673904496,0.0010695879392863038,0.002976284584266,0.2
10,Aruba,2967.4668041631294,0.0,2967.4668041631294,741.8667010407823,0.0,0.0,0.1530010839899009,0.25
11,Australia,12365.794160024048,0.0,12365.794160024048,3709.738248007214,0.0,0.0,0.1992900572892399,0.3
12,Austria,1185.76870434585,4409.34485002372,-3223.57614567787,296.4421760864625,1094.473665200628,0.6991999852385669,0.1147251237431185,0.25
13,Azerbaijan,32.03867740299714,0.0,32.03867740299714,6.4077354805994275,0.0,0.0,0.2903741055617981,0.2
14,Bahamas,832.9251196976588,519.3605526630827,313.56456703457616,0.0,128.9140375651793,0.08235620100196242,4.835611225816631e-05,0.0
