,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,revenue_loss_incurred,revenue_loss_inflicted,revenue_loss_inflicted_pct,etr_average_corrected,cit
1,Albania,6.014123578120702,0.0,6.014123578120702,0.9021185367181053,0.0,0.0,0.169208524015393,0.15
0,Angola,302.52807624178826,0.0,302.52807624178826,90.75842287253647,0.0,0.0,1.1148653587410595,0.3
3,Argentina,14.435089577449972,0.0,14.435089577449972,5.05228135210749,0.0,0.0,0.3134206175036815,0.35
4,Australia,3140.1677684759024,0.0,3140.1677684759024,942.0503305427707,0.0,0.0,0.2226164440043143,0.3
5,Austria,373.52681767089354,1266.014046769978,-892.4872290990845,93.38170441772338,343.90227895601123,0.7675221311224347,0.0794906509442144,0.25
8,Bangladesh,0.41062826062579455,0.0,0.41062826062579455,0.10265706515644864,0.0,0.0,0.3877124587564077,0.25
13,Barbados,-0.0,387.40438322250463,-387.40438322250463,-0.0,105.23520699290765,0.23486424860429145,0.0043141736855434,0.25
11,Belarus,2.572512528985633,0.0,2.572512528985633,0.46305225521741394,0.0,0.0,0.2206818745317017,0.18
6,Belgium,3980.739931449633,5035.378220122076,-1054.6382886724427,1353.0535026997302,1367.8189825172408,3.052702481758306,0.1258245008085548,0.3399
10,Bosnia and Herzegovina,0.9274933210683823,88.27730608569928,-87.3498127646309,0.09274933210683824,23.97980245197487,0.05351819458046957,0.0899016040609143,0.1
14,Botswana,1.2638910997300334,132.9770414787614,-131.71315037903136,0.27805604194060735,36.12211707291031,0.08061744853979425,0.0631313335066141,0.22
12,Brazil,7360.300557243141,0.0,7360.300557243141,2502.502189462668,0.0,0.0,0.2800401524452553,0.34
9,Bulgaria,11.830648414575705,365.8806805692449,-354.05003215466917,1.1830648414575706,99.38847060565136,0.22181548490990485,0.0975249412732878,0.1
7,Burkina Faso,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.553206660088447,0.275
54,Cambodia,-0.0,37.159175116904,-37.159175116904,-0.0,10.093983585278995,0.022527782649207677,0.0947344703621401,0.2
20,Cameroon,40.98908740460262,0.0,40.98908740460262,13.526398843518866,0.0,0.0,0.7236479660008793,0.33
15,Canada,3718.841703322322,3578.8316521892866,140.01005113303518,992.9307347870599,972.1601149117589,2.1696698418353466,0.1209210418799691,0.267
17,Chile,187.17153140732378,0.0,187.17153140732378,44.921167537757704,0.0,0.0,0.1588954219619734,0.24
18,China (People's Republic of),4754.335811212742,0.0,4754.335811212742,1188.5839528031854,0.0,0.0,0.1905788597471668,0.25
22,Colombia,4557.2518696302595,0.0,4557.2518696302595,1139.3129674075649,0.0,0.0,0.4242604399273582,0.25
21,Congo,137.92568871024753,17.857312123124842,120.06837658712269,41.37770661307426,4.85079162497415,0.010826011205663573,0.0008558667584874,0.3
23,Costa Rica,19.556655872249795,0.0,19.556655872249795,5.8669967616749386,0.0,0.0,0.2046994445981748,0.3
41,Croatia,4.2797309281248515,0.0,4.2797309281248515,0.8559461856249704,0.0,0.0,0.1822057802896003,0.2
24,Cyprus,22.443344946905427,830.18937326856,-807.7460283216545,2.8054181183631783,225.5140992791794,0.5033030388817277,0.0216692915858517,0.125
25,Czechia,32.96175934650981,2038.2320821250355,-2005.2703227785257,6.262734275836864,553.6689421988788,1.235679995325485,0.1421210109838805,0.19
19,Côte d'Ivoire,24.98404388552388,0.0,24.98404388552388,6.24601097138097,0.0,0.0,0.3315954869099142,0.25
27,Denmark,66.10998319680571,0.0,66.10998319680571,14.544196303297257,0.0,0.0,0.2314382954578416,0.22
28,Dominican Republic,18.656294029353568,0.0,18.656294029353568,5.0371993879254635,0.0,0.0,0.1618566832979342,0.27
29,Ecuador,64.18565938004812,0.0,64.18565938004812,14.120845063610586,0.0,0.0,0.2471392937100895,0.22
