,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,revenue_loss_incurred,revenue_loss_inflicted,revenue_loss_inflicted_pct,etr_average_corrected,cit
0,Afghanistan,17.762444716203678,0.0,17.762444716203678,3.5524889432407356,0.0,0.0,0.2063745106538741,0.2
1,Albania,13.42530845156237,35.49064349667945,-22.06533504511708,2.0137962677343557,8.825590733481253,0.00553259859045457,0.0861303706942517,0.15
2,Algeria,1195.0361328546687,0.0,1195.0361328546687,310.7093945422139,0.0,0.0,0.4978240894778786,0.26
3,American Samoa,-0.0,46.6218055943914,-46.6218055943914,-0.0,11.593618342550544,0.0072678235868028135,0.1161426815163184,0.34
4,Andorra,-0.0,9.214883721180636,-9.214883721180636,-0.0,2.2914995155657882,0.0014364984025092898,0.0318948207127207,0.0
5,Angola,15.01981785563929,0.0,15.01981785563929,4.505945356691787,0.0,0.0,0.2499214905647195,0.3
6,Anguilla,3.071588872175705,5.983713967685255,-2.91212509550955,0.0,1.4879924775087912,0.0009327947932642065,0.0,0.0
7,Antigua and Barbuda,0.2714916051159643,0.0,0.2714916051159643,0.06787290127899108,0.0,0.0,0.0,0.25
8,Argentina,2387.1864271806458,0.0,2387.1864271806458,716.1559281541937,0.0,0.0,0.2541279525878647,0.3
9,Armenia,17.35043681868168,0.0,17.35043681868168,3.470087363736336,0.0,0.0,1.713032889060857,0.2
10,Aruba,0.11057391937796712,45.71054294792144,-45.59996902854347,0.02764347984449178,11.367011260342938,0.0071257678240250755,0.0,0.25
11,Australia,11040.420961136673,0.0,11040.420961136673,3312.126288341002,0.0,0.0,0.3085691710434611,0.3
12,Austria,1746.0109972208209,6113.073176248058,-4367.062179027237,436.5027493052052,1520.160714539747,0.9529604624221591,0.1120540402077095,0.25
13,Azerbaijan,21.620801145839245,0.0,21.620801145839245,4.324160229167849,0.0,0.0,0.162543014447504,0.2
14,Bahamas,959.4204615793659,36.51380324812271,922.9066583312432,0.0,9.080023686269314,0.005692097873671975,0.0035269961996583,0.0
