,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,revenue_loss_incurred,revenue_loss_inflicted,revenue_loss_inflicted_pct,etr_average_corrected,cit
0,Afghanistan,0,0,0,0,0,0,0.185912444,0.2
1,Albania,59.26538044,0,59.26538044,8.889807067,0,0,0.253039463,0.15
2,Algeria,133.7996272,0,133.7996272,34.78790308,0,0,0.481635534,0.26
3,American Samoa,0.089342397,0,0.089342397,0.030376415,0,0,0.088310275,0.34
4,Andorra,76.08720563,0,76.08720563,0,0,0,0.037801541,0
5,Angola,79.89239113,0,79.89239113,23.96771734,0,0,0.222814073,0.3
6,Anguilla,0,34.32964103,-34.32964103,0,8.401535595,0.005809032,0,0
7,Antigua and Barbuda,0,2.243412526,-2.243412526,0,0.549033128,0.000379615,0.009134292,0.25
8,Argentina,2259.794704,0,2259.794704,677.9384113,0,0,0.163228833,0.3
9,Armenia,8.433216613,0.849122182,7.584094431,1.686643323,0.207806724,0.000143683,0.111406607,0.2
10,Aruba,2.687804978,38.84731716,-36.15951218,0.671951245,9.507152073,0.006573483,0.007149872,0.25
11,Australia,15922.02824,0,15922.02824,4776.608471,0,0,0.315266639,0.3
12,Austria,2448.594122,1997.820678,450.7734436,612.1485305,488.9291306,0.338057851,0.108419752,0.25
13,Azerbaijan,0.270472801,0,0.270472801,0.05409456,0,0,0.150004152,0.2
14,Bahamas,1358.721836,2128.290596,-769.5687603,0,520.8591952,0.360135097,0.014928775,0
15,Bahrain,158.9771645,309.5472511,-150.5700867,0,75.7558824,0.052379515,0.005660553,0
16,Bangladesh,474.859995,0,474.859995,118.7149988,0,0,0.45647511,0.25
17,Barbados,1257.907404,4716.30245,-3458.395046,377.3722211,1154.226544,0.798061151,0.019068913,0.3
18,Belarus,62.12559745,0,62.12559745,11.18260754,0,0,0.206557361,0.18
19,Belgium,26659.0862,0,26659.0862,7885.757697,0,0,0.214358046,0.2958
20,Belize,0,0,0,0,0,0,0.522109552,0.25
21,Benin,20.34224076,0,20.34224076,6.102672228,0,0,0.531730182,0.3
