partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,eu27,oecd,oecd_oct
Afghanistan,68.7998556811139,13.75997113622278,5.566358099730521e-05,0.12776472094131136,0.007549576349973933,0.6778946924042045,0.0028959897600458963,0.12564790949293128,5.082868647006309e-07,0.0042720348639625,0.2,107697735.61,107697735.61,107697735.61,107697735.61,107697735.61
Albania,15.618808813079847,2.342821321961977,9.477478050367676e-06,0.004449528224966695,0.0007179719261820093,0.0,0.0,0.0,0.0,0.1761440395166465,0.15,526532522.8899999,526532522.8899999,526532522.8899999,526532522.8899999,526532522.8899999
Algeria,278.54858475738007,72.42263203691883,0.00029297321953043623,0.013557372470058768,,0.0,0.0,0.0,0.0,0.2474421190263303,0.26,5341937178.2300005,5341937178.2300005,5341937178.2300005,5341937178.2300005,5341937178.2300005
American Samoa,13.678567598691412,4.6507129835550804,1.881365420701024e-05,,,0.0,0.0,0.0,0.0,0.2132648188803946,0.34,0.0,0.0,0.0,0.0,0.0
Andorra,6.517779181009503,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0064717123711812,0.0,205063639.7,205063639.7,205063639.7,205063639.7,205063639.7
Angola,3986.1373122484047,996.5343280621012,0.004031307096324842,0.7786808904137802,0.14350390673202182,0.0,0.0,0.0,0.0,0.401559632295862,0.25,1279772420.6799998,1279772420.6799998,1279772420.6799998,1279772420.6799998,1279772420.6799998
Anguilla,2.0336417193692498,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,-0.0,-0.0,-0.0,-0.0,,0.0,0.0,0.0,0.0,0.1764870256364333,0.25,57773473.28999999,57773473.28999999,57773473.28999999,57773473.28999999,57773473.28999999
Argentina,4288.81846498421,1286.645539495263,0.005204901775846028,0.043032526978409424,0.022994210348516165,0.0,0.0,0.0,0.0,0.1642797009772031,0.3,29899372168.890003,29899372168.890003,29899372168.890003,29899372168.890003,29899372168.890003
Armenia,60.929257822955655,10.967266408132017,4.436617751479252e-05,0.036104421017724375,0.0035917041950465083,0.0,0.0,0.0,0.0,0.5303792145103489,0.18,303765192.71,303765192.71,303765192.71,303765192.71,303765192.71
Aruba,50.17039912523835,12.542599781309587,5.073891594189498e-05,,,4.043241250058302,0.2904666615415536,0.7494155306684342,3.03163078461602e-06,0.0718400519725023,0.25,0.0,0.0,0.0,0.0,0.0
Australia,28655.961731796673,8596.788519539,0.03477681961224102,0.06181937974689088,0.023946285546073712,0.0,0.0,0.0,0.0,0.1963984910019583,0.3,139063001840.8,139063001840.8,139063001840.8,139063001840.8,139063001840.8
Austria,2546.031207778022,636.5078019445054,0.002574882115536223,0.013999370807853568,0.005137224975632031,11084.964884758809,996.4765053753739,2054.600338634924,0.008311529961398617,0.0898944214740339,0.25,45466886382.31,45466886382.31,45466886382.31,45466886382.31,45466886382.31
Azerbaijan,516.3765103241408,103.27530206482817,0.00041778235467176863,0.12716067767800052,0.014035223436078397,216.83148479934994,20.149288959912155,40.18975673148027,0.00016258070289083815,0.0929260295319094,0.2,812163822.58,812163822.58,812163822.58,812163822.58,812163822.58
Bahamas,327.87034167434956,0.0,0.0,0.0,0.0,188.82896674129503,0.11732461631410089,34.99948471142037,0.00014158435601434614,0.0006213274284069,0.0,446201895.5,446201895.5,446201895.5,446201895.5,446201895.5
Bahrain,786.9695105570883,0.0,0.0,0.0,0.0,893.7708625599049,17.14974067132829,165.6605984744682,0.0006701512706644329,0.0191880731289546,0.0,1105964584.3100002,1105964584.3100002,1105964584.3100002,1105964584.3100002,1105964584.3100002
Bailiwick of Guernsey,2296.177903165824,0.0,0.0,,,580.7036553202703,15.219460482092842,107.63353238114709,0.0004354128208853717,0.0262086528001946,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,409.9764560271276,133.24234820881648,0.0005390088517168616,0.08042991099929926,0.004188300019970168,0.0,0.0,0.0,0.0,0.2078157780456032,0.325,1656626826.4299998,1656626826.4299998,1656626826.4299998,1656626826.4299998,1656626826.4299998
Barbados,581.440331548846,31.97921823518653,0.0001293663908769979,0.150011897722194,0.024081058433814438,5753.105539879672,83.33833865986584,1066.3392002884475,0.004313690621748747,0.0144858004224287,0.055,213177879.35999995,213177879.35999995,213177879.35999995,213177879.35999995,213177879.35999995
Belarus,19.946197801388784,3.590315604249981,1.4524000193354908e-05,0.0010801401088038384,0.00040179628492105897,0.0,0.0,0.0,0.0,0.2463557380624867,0.18,3323935084.8900003,3323935084.8900003,3323935084.8900003,3323935084.8900003,3323935084.8900003
Belgium,11501.058696957265,2875.2646742393163,0.011631385451230304,0.05645639037288979,0.020684351575214324,4060.8732944560916,606.7320446894057,752.6836334334988,0.003044851328552468,0.1494092528121271,0.25,50928949854.00999,50928949854.00999,50928949854.00999,50928949854.00999,50928949854.00999
Belize,834.8148354852982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31771.222222222223,0.0,85384192.75,85384192.75,85384192.75,85384192.75,85384192.75
Benin,28.164880416280436,8.44946412488413,3.418084427962114e-05,0.15030108921391389,,0.8923163992599247,0.04152312820685429,0.1653910134266364,6.690607110261104e-07,0.0465340861619186,0.3,56216918.78,56216918.78,56216918.78,56216918.78,56216918.78
Bermuda,20886.797757763274,0.0,0.0,,,26446.019538072902,236.96748777884352,4901.774724895998,0.01982928101582424,0.0089604217163076,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.373850536216155,0.25,53773669.88999999,53773669.88999999,53773669.88999999,53773669.88999999,53773669.88999999
Bolivia,181.5481525421269,45.387038135531725,0.00018360540501674837,0.01909504474221277,,242.55538346137303,33.55703422220495,44.95768621537715,0.0001818685361565399,0.138347925918325,0.25,2376901376.68,2376901376.68,2376901376.68,2376901376.68,2376901376.68
Bosnia and Herzegovina,42.18443696701263,4.2184436967012635,1.7064983644897425e-05,0.0027304512077901202,0.0009330672712204243,146.48259380027721,9.90675740911074,27.150576474985385,0.00010983295660849342,0.0676309529487045,0.1,1544962123.72,1544962123.72,1544962123.72,1544962123.72,1544962123.72
Botswana,66.3153138095723,14.589369038105907,5.901876661749393e-05,0.01611524672054774,0.003500123307633572,13.654587778722963,1.8349229627276171,2.5308804281967667,1.0238238606370892e-05,0.1343814249439925,0.22,905314655.81,905314655.81,905314655.81,905314655.81,905314655.81
Brazil,16994.93753571461,5778.278762142968,0.02337502635124322,0.07776233007504481,0.024466193888564934,31247.321216118817,4187.746282082205,5791.696899314884,0.023429307102118904,0.1340193693122715,0.34,74306913856.19,74306913856.19,74306913856.19,74306913856.19,74306913856.19
British Virgin Islands,4236.565777229975,0.0,0.0,,,42066.22804764705,340.41051902317,7796.983327446068,0.031541346176186175,0.0080922520231098,0.0,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,238.51986868627446,44.12617570696077,0.00017850480435237194,0.153222384793119,,15.19496283249431,0.36974028245816987,2.816389235848011,1.1393215058196624e-05,0.0243330823861894,0.185,287987788.25,287987788.25,287987788.25,287987788.25,287987788.25
Bulgaria,812.8924348003526,81.28924348003527,0.00032884156106614587,0.017986561488142434,0.004678510202384606,789.6680269319401,72.12736929958524,146.36511819485466,0.0005920947457783633,0.0913388497946641,0.1,4519443226.1900015,4519443226.1900015,4519443226.1900015,4519443226.1900015,4519443226.1900015
Burkina Faso,10.107766218577224,2.7796357101087366,1.1244535032877455e-05,0.0051577555327308395,0.000885359568171712,0.0,0.0,0.0,0.0,0.3074654319024769,0.275,538923508.9700001,538923508.9700001,538923508.9700001,538923508.9700001,538923508.9700001
Cabo Verde,35.10650078972033,7.877898777213241,3.186867561950104e-05,0.07916036259318365,0.02099845389361457,13.357716928869854,1.9108744776429707,2.4758553600093443,1.0015644219390686e-05,0.1430539730568046,0.2244,99518225.02,99518225.02,99518225.02,99518225.02,99518225.02
Cambodia,1035.473772441421,207.09475448828422,0.0008377659754117821,0.38363772099152976,0.04693727556764787,355.7881393880038,31.67362866503922,65.94539894970427,0.00026677069446557873,0.0890238463809431,0.2,539818540.14,539818540.14,539818540.14,539818540.14,539818540.14
Cameroon,38.434610775958845,12.683421556066419,5.130858605150198e-05,0.05769263924762116,0.0024844921117450976,0.0,0.0,0.0,0.0,0.2029952112734773,0.33,219844710.2,219844710.2,219844710.2,219844710.2,219844710.2
Canada,22385.78024427118,5858.358689925768,0.023698975835022434,0.032544167510564354,0.022074884513659694,97716.10794151183,3165.771718086575,18111.69909457818,0.07326774304750615,0.0323976444086522,0.2617,180012553340.75,180012553340.75,180012553340.75,180012553340.75,180012553340.75
Cayman Islands,9255.182351812455,0.0,0.0,,,76897.55680574408,254.6343748075219,14252.97670275099,0.05765794966369898,0.003311345449515,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,4.971638733352134,1.4914916200056403,6.033571129988289e-06,0.04567128831515517,0.00722232745223537,0.0,0.0,0.0,0.0,0.1737134267773897,0.3,32657095.41,32657095.41,32657095.41,32657095.41,32657095.41
Chad,0.09365209764554598,0.03277823417594109,1.3259867153340476e-07,0.000309658788794275,,20.68984115441765,0.9177251986633587,3.8348659724323726,1.5513286369356155e-05,0.0443563192106677,0.35,105852749.42,105852749.42,105852749.42,105852749.42,105852749.42
Chile,43982.40802456884,11875.250166633587,0.04803926861253037,0.7214566962584428,0.1913999992262741,4790.387132984753,712.96130122482,887.8991614267987,0.0035918423374750744,0.1488316667176321,0.27,16460101109.63,16460101109.63,16460101109.63,16460101109.63,16460101109.63
China (People’s Republic of),21180.865610851884,5295.216402712971,0.02142088120771916,0.01024344759855087,0.0037305430255096294,0.0,0.0,0.0,0.0,0.1866422615642585,0.25,516936934734.95,516936934734.95,516936934734.95,516936934734.95,516936934734.95
Chinese Taipei,1460.9322981363991,292.1864596272798,0.0011819897368072223,,,7683.095873735093,881.8068215569896,1424.0632738174145,0.005760801429208746,0.114772330847969,0.2,0.0,0.0,0.0,0.0,0.0
Colombia,10100.36315533568,3131.112578154061,0.01266637385211866,0.1501734490336223,0.0680453315711421,0.0,0.0,0.0,0.0,0.2479312587340105,0.31,20849974468.21,20849974468.21,20849974468.21,20849974468.21,20849974468.21
Congo,57.10147219874911,15.98841221564975,6.467835357890353e-05,0.06946427183713443,0.016568006467817573,309.24479927935295,10.281417964587337,57.31858205469385,0.00023187240025911632,0.033246858115469,0.28,230167419.78,230167419.78,230167419.78,230167419.78,230167419.78
Cook Islands,0.06242806854888996,0.012485613709777993,5.050838865539023e-08,0.001042823098112871,,0.0,0.0,0.0,0.0,0.0018705153431887124,0.2,11972897.159999998,11972897.159999998,11972897.159999998,11972897.159999998,11972897.159999998
Costa Rica,1330.633221639854,399.18996649195617,0.0016148538985406777,0.11657820326166218,0.043896083176059815,0.0,0.0,0.0,0.0,0.1039573032212569,0.3,3424224729.18,3424224729.18,3424224729.18,3424224729.18,3424224729.18
Croatia,295.1221838666773,53.12199309600191,0.0002148958261731717,0.011305800441111052,0.0036534266818220645,0.0,0.0,0.0,0.0,0.161963300017781,0.18,4698649456.329999,4698649456.329999,4698649456.329999,4698649456.329999,4698649456.329999
Cuba,1.526825373731569,0.5343888808060491,2.161777699700343e-06,4.988761065133748e-05,,0.0,0.0,0.0,0.0,0.0,0.35,10711855585.565556,10711855585.565556,10711855585.565556,10711855585.565556,10711855585.565556
