partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,eu27,oecd,oecd_oct
Afghanistan,8.819755956293902,1.7639511912587804,7.754005009861614e-06,0.007382278221325092,0.0009678133815977814,0.7112205431021654,0.005909371662163106,0.14094845712050083,6.195834941808729e-07,0.0083087752729806,0.2,Asia,0.0,0.0,0.0,0.0
Albania,0.2784840509187623,0.041772607637814346,1.8362470033394338e-07,9.213879353283794e-05,1.6221572335753636e-05,28.830646017851926,3.235271904027636,5.7136075629635,2.511596799681668e-05,0.1122164207497937,0.15,Europe,0.0,0.0,0.0,0.0
Algeria,1366.6210743921774,355.32147934196615,0.0015619278722575774,0.06507231206762004,,0.0,0.0,0.0,0.0,0.2319539355111004,0.26,Africa,0.0,0.0,0.0,0.0
Andorra,-0.0,-0.0,-0.0,-0.0,,25.07372907827915,0.2813161325861255,4.9690682617602855,2.1843110164821466e-05,0.0112195569995938,0.0,Europe,0.0,0.0,0.0,0.0
Angola,981.4111718252913,294.42335154758734,0.0012942309028919827,0.30303868458825534,0.04239783817821607,0.0,0.0,0.0,0.0,0.1683251430022758,0.3,Africa,0.0,0.0,0.0,0.0
Anguilla,0.5226469993544868,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,Caribbean/American isl.,1.0,0.0,0.0,1.0
Antigua and Barbuda,-0.0,-0.0,-0.0,-0.0,,0.0,0.0,0.0,0.0,0.2601633924412352,0.25,Caribbean/American isl.,0.0,0.0,0.0,0.0
Argentina,5146.758221052054,1544.0274663156163,0.006787260763508741,0.05986264708143709,0.0368378448019574,0.0,0.0,0.0,0.0,0.2535905081093398,0.3,Latin America,0.0,0.0,0.0,0.0
Armenia,21.972647040919785,3.9550764673655614,1.7385788730613035e-05,0.013275116086009368,0.001431169149507191,0.0,0.0,0.0,0.0,0.4531761126792806,0.18,Asia,0.0,0.0,0.0,0.0
Aruba,29.545686431059575,7.386421607764894,3.246935087284773e-05,,,0.0135782994918377,0.0007875108455962131,0.0026909239085627546,1.1828806585777538e-08,0.05799775193275183,0.25,Caribbean/American isl.,0.0,0.0,0.0,1.0
Australia,11357.152579055652,3407.145773716695,0.014977186177059182,0.030231048144040706,0.011353329448649304,0.0,0.0,0.0,0.0,0.2016874159024712,0.3,Oceania,0.0,0.0,1.0,0.0
Austria,1263.6578619207176,315.9144654801794,0.0013887018870816909,0.008307819374019976,0.002972311371814449,4981.800805757416,528.4534766668852,987.2846672713576,0.0043399218153642085,0.1060767977828734,0.25,Europe,0.0,1.0,1.0,0.0
Azerbaijan,23.084132139906043,4.616826427981208,2.0294719848048173e-05,0.004644846303991811,0.0007121241336154245,0.0,0.0,0.0,0.0,0.5506350507464592,0.2,Asia,0.0,0.0,0.0,0.0
Bahamas,181.20849699686025,0.0,0.0,0.0,0.0,5930.695740709491,28.061028136727902,1175.3350242922465,0.005166556598498818,0.0047314900921508,0.0,Caribbean/American isl.,0.0,0.0,0.0,0.0
Bahrain,209.96403238708427,0.0,0.0,0.0,0.0,962.218868000847,2.8711240575918024,190.6908710277119,0.0008382419970637568,0.0029838575744799,0.0,Asia,0.0,0.0,0.0,0.0
Bailiwick of Guernsey,72.2017659060837,0.0,0.0,,,580.5648959061343,13.411409206040961,115.05534693833937,0.0005057621440957254,0.0231006202762375,0.0,Europe,1.0,0.0,0.0,1.0
Bangladesh,252.9260643818821,63.231516095470525,0.00027795411517908303,0.04130717302425896,0.0024148629733649995,0.0,0.0,0.0,0.0,0.3185790880624918,0.25,Asia,0.0,0.0,0.0,0.0
Barbados,122.96852124579102,6.763268668518506,2.9730085162565607e-05,0.03938971061263074,0.005092890852190357,8220.305046206637,107.8269611295549,1629.0858363975244,0.007161161714404735,0.0131171483933328,0.055,Caribbean/American isl.,0.0,0.0,0.0,0.0
Belarus,28.972950008104096,5.2151310014587375,2.292475671253604e-05,0.001871373985833269,0.0007067847693468028,148.03464534328535,18.62124041150796,29.337249976649435,0.00012896115517355584,0.1257897458282565,0.18,Europe,0.0,0.0,0.0,0.0
Belgium,3096.04870856008,774.01217714002,0.003402415173945214,0.01689391137361482,0.006684072039466753,5686.519298178785,746.7627414174292,1126.944559233743,0.004953841014103646,0.1313215874703167,0.25,Europe,0.0,1.0,1.0,0.0
Belize,0.6386214612125496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5776.74423900058,0.0,Caribbean/American isl.,0.0,0.0,0.0,0.0
Benin,27.852217585162677,8.355665275548803,3.672996777257606e-05,0.1930022792969066,,0.0,0.0,0.0,0.0,0.1911551973877369,0.3,Africa,0.0,0.0,0.0,0.0
Bermuda,486.2818391671612,0.0,0.0,,,65359.71179364444,438.5149967850809,12952.87463853733,0.05693845461089822,0.0067092553616144,0.0,Caribbean/American isl.,1.0,0.0,0.0,1.0
Bolivia,189.13873677962,47.284684194905,0.0002078547750946409,0.022247395483672716,,0.0,0.0,0.0,0.0,0.1571211747927152,0.25,Latin America,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,41.31435062523872,4.131435062523872,1.816102867895528e-05,0.0030245918527183288,0.0010893663039725039,91.6599320147979,13.618200359088268,18.165006793680206,7.985002894657927e-05,0.1485731012422058,0.1,Europe,0.0,0.0,0.0,0.0
Botswana,21.283039252717124,4.682268635597767,2.0582391756562314e-05,0.006984806783875351,0.0014050942852853402,0.0,0.0,0.0,0.0,0.1740332514890426,0.22,Africa,0.0,0.0,0.0,0.0
Brazil,7705.140110194063,2619.7476374659814,0.011515928788816613,0.03918636014148629,0.013953248821796396,0.0,0.0,0.0,0.0,0.2029880353380588,0.34,Latin America,0.0,0.0,0.0,0.0
British Virgin Islands,239.40299562367923,0.0,0.0,,,31170.244621193826,169.05089989841215,6177.265167655255,0.027154121550869794,0.0054234704267758,0.0,Caribbean/American isl.,1.0,0.0,0.0,1.0
Brunei Darussalam,44.14388592701447,8.166618896497678,3.589895465978547e-05,0.030207806590208462,,100.93776875790752,5.676446222988586,20.003672432686287,8.793246492721405e-05,0.0562370883846577,0.185,Asia,0.0,0.0,0.0,0.0
Bulgaria,350.9906920402009,35.09906920402009,0.00015428905277998947,0.009849088058858148,0.002459721988114965,990.8358039205066,103.67514790984478,196.36212589304392,0.000863171790391318,0.104634034720613,0.1,Europe,0.0,1.0,0.0,0.0
Burkina Faso,5.982060901901908,1.645066748023025,7.23141086269203e-06,0.003246343166757349,0.0006909867445908591,103.48269286739979,12.689757128458805,20.50802109106042,9.014948886933303e-05,0.1226268545670642,0.275,Africa,0.0,0.0,0.0,0.0
Cabo Verde,14.606968878885983,3.2778038164220145,1.4408622721438527e-05,0.04382788364901825,0.009787187084414936,0.0,0.0,0.0,0.0,0.2860860171036161,0.2244,Africa,0.0,0.0,0.0,0.0
Cambodia,275.87369168730686,55.17473833746138,0.00024253800196204813,0.11163257715187261,0.011923499730575408,832.9267630901724,95.56335998373629,165.0679852973095,0.0007256085039687064,0.114732007924916,0.2,Asia,0.0,0.0,0.0,0.0
Cameroon,92.3500366687783,30.47551210069684,0.00013396474612104736,0.12309218365412217,0.006875795434084376,0.0,0.0,0.0,0.0,0.6396399704516,0.33,Africa,0.0,0.0,0.0,0.0
Canada,24676.43286934767,6477.563628203764,0.02847417835237642,0.040925899803503356,0.028972975276041084,18932.354388488297,2089.6186920013515,3751.981247724794,0.016493019498461176,0.1103728912486411,0.2625,Northern America,0.0,0.0,1.0,0.0
Cayman Islands,34532.266686399205,0.0,0.0,,,35614.79789023856,339.52729310027604,7058.079047312474,0.031026017366050405,0.0095333207883607,0.0,Caribbean/American isl.,1.0,0.0,0.0,1.0
Central African Republic,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.2548756971628439,0.3,Africa,0.0,0.0,0.0,0.0
Chad,6.020105893761506,2.1070370628165267,9.262147400679743e-06,0.021149203945369448,,0.8316660610192352,0.06027717455347932,0.16481814154137386,7.245102367690199e-07,0.0724776173739825,0.35,Africa,0.0,0.0,0.0,0.0
Chile,2685.6815526862106,725.1340192252769,0.003187555781450763,0.05212036204253244,0.01762382517817863,0.0,0.0,0.0,0.0,0.1998733620309618,0.27,Latin America,0.0,0.0,1.0,0.0
China (People’s Republic of),1569.5772317969747,392.3943079492437,0.0017248932083593282,0.0008625050438408236,0.0003302063816655417,0.0,0.0,0.0,0.0,0.1721540276918187,0.25,Asia,0.0,0.0,0.0,0.0
Chinese Taipei,334.02151678260714,66.80430335652143,0.0002936594308695863,,,0.0,0.0,0.0,0.0,0.1785740484711683,0.2,Asia,0.0,0.0,0.0,0.0
