iso_partner,partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,oecd,oecd_oct,nld_oct
AUT,Austria,712.7304320490728,178.1826080122682,0.004197089802765537,0.0046857902524587115,0.0016764480577026609,4350.590884194862,433.1440234949163,966.6821511135186,0.022770189774496137,0.0995598149824827,0.25,Europe,0.0,1.0,0.0,0.0
BEL,Belgium,3616.81825292344,904.20456323086,0.02129853072803275,0.019735544486242467,0.007808363508415853,9748.822878070243,1416.425989667107,2166.1455469954335,0.0510235397720441,0.1452920016480477,0.25,Europe,0.0,1.0,0.0,0.0
BGR,Bulgaria,715.9353165133467,71.59353165133467,0.0016863850237117395,0.02008973496077442,0.005017232308525801,1245.3883889357069,97.55811465680416,276.7198200965674,0.006518132987875289,0.0783354939900926,0.1,Europe,0.0,0.0,0.0,0.0
CYP,Cyprus,1718.5504388769823,214.8188048596228,0.005060055105134194,0.13635197836508925,0.038307649877188855,1859.293432554879,43.22538868702921,413.12681950006254,0.009731198688332629,0.023248287725963,0.125,Europe,0.0,0.0,0.0,0.0
CZE,Czechia,3097.012099495241,588.4322989040958,0.013860517751419485,0.029693382063065963,0.01665109466205407,0.0,0.0,0.0,0.0,0.1533502584624728,0.19,Europe,0.0,1.0,0.0,0.0
DEU,Germany,26139.003130437668,7797.351153909918,0.18366653952221956,0.020118849928261306,0.01900832494820152,14054.284644196592,2052.069144272521,3122.8002066500767,0.07355753207127112,0.1460102165441681,0.29830331,Europe,0.0,1.0,0.0,0.0
DNK,Denmark,1434.6841709727287,315.6305176140003,0.007434674134010425,0.009927374352589698,0.0025764941394784127,9719.7081103915,934.5803445771471,2159.676373727245,0.05087115845122312,0.0961531286703941,0.22,Europe,0.0,1.0,0.0,0.0
ESP,Spain,9055.552126522132,2263.888031630533,0.053325863158907416,0.0225559420013334,0.01305336108854052,2989.252274168459,360.93023258196524,664.1987020916848,0.01564519472836079,0.1207426471499023,0.25,Europe,0.0,1.0,0.0,0.0
EST,Estonia,1093.2516400910822,218.65032801821644,0.00515030660025703,0.11939752496767458,0.033685817009571156,83.8014904009417,2.359378522256872,18.620322425994587,0.0004386015349655645,0.0281543742356921,0.2,Europe,0.0,1.0,0.0,0.0
FIN,Finland,533.9095604178722,106.78191208357444,0.0025152470228459044,0.005013065245368373,0.0019768718591745525,2920.704067487921,317.27034288774735,648.9675921912697,0.015286426065352824,0.1086280347329504,0.2,Europe,0.0,1.0,0.0,0.0
FRA,France,15170.553210061555,4858.066254458012,0.11443170893727865,0.019765717046872307,0.007441481558466029,0.0,0.0,0.0,0.0,0.1946270795260329,0.32023,Europe,0.0,1.0,0.0,0.0
GRC,Greece,2397.4975785359156,575.3994188486197,0.013553528373546314,0.059376916160681886,0.012031379046808363,0.0,0.0,0.0,0.0,0.202798217776106,0.24,Europe,0.0,1.0,0.0,0.0
HRV,Croatia,233.8076797785234,42.08538236013421,0.0009913208203633779,0.01158617781167897,0.0034783538188381817,416.59988436215764,54.74071579895489,92.56666119351338,0.0021804069101098674,0.1313987781892129,0.18,Europe,0.0,0.0,0.0,0.0
HUN,Hungary,1555.3623932079195,139.98261538871276,0.003297289304307212,0.01733554197474922,0.0038938144681658834,2592.959336979456,336.79173885678836,576.1441552059563,0.013571070632052887,0.1298870113594291,0.09,Europe,0.0,1.0,0.0,0.0
IRL,Ireland,2281.6116859614813,285.20146074518516,0.0067179179605735455,0.012072269940299371,0.004107458409926857,59336.76840493596,6442.0794526549225,13184.368847502745,0.31055769506945036,0.1085680873062011,0.125,Europe,0.0,1.0,0.0,0.0
ITA,Italy,8363.540006279658,2325.900475746373,0.05478656574793474,0.016775185562244284,0.004950793904481767,0.0,0.0,0.0,0.0,0.1776892167696661,0.2781,Europe,0.0,1.0,0.0,0.0
LTU,Lithuania,328.84571927609727,49.32685789141459,0.0011618937143644604,0.01690283538916369,0.004332258875170706,706.38869309694,67.36674479920596,156.95645937335445,0.0036971080537149415,0.0953678130150379,0.15,Europe,0.0,1.0,0.0,0.0
LUX,Luxembourg,56397.10855104364,14065.438872630284,0.3313112919509741,3.7895284449993607,0.7556853966594997,13231.67448555591,468.23179838836785,2940.0198490275116,0.06925214231588778,0.0353871914623885,0.2494,Europe,0.0,1.0,0.0,0.0
LVA,Latvia,135.45055215619138,27.090110431238276,0.0006381073187508516,0.017043394487084654,0.003597024706570457,209.22602975087258,11.74531380630014,46.48910317981892,0.0010950504264832547,0.0561369625963146,0.2,Europe,0.0,1.0,0.0,0.0
MLT,Malta,29910.98047223291,1495.5490236116425,0.03522764441804668,1.3899244232625558,0.4201185772610576,6709.074964644875,452.7626898995511,1490.7269360504354,0.035114060186920204,0.0674851141603717,0.0499999999999999,Europe,0.0,0.0,0.0,0.0
NLD,Netherlands,8135.572185233219,2033.8930463083047,0.04790833325320152,0.028950470259532932,0.009172176638464556,47956.61246237697,3960.943505604492,10655.74827172638,0.25099605910482586,0.0825943139480909,0.25,Europe,0.0,1.0,0.0,0.0
POL,Poland,5739.35925803121,1090.47825902593,0.025686206034093537,0.03894728176734273,0.010408356542195938,0.0,0.0,0.0,0.0,0.1937198320993453,0.19,Europe,0.0,1.0,0.0,0.0
PRT,Portugal,3757.40055200522,1183.5811738816444,0.027879244394615022,0.07628554989463374,0.023467490692219022,2897.3815934069203,356.08142733371534,643.785441073403,0.015164360540238888,0.1228976632363474,0.315,Europe,0.0,1.0,0.0,0.0
ROU,Romania,3408.212028340188,545.3139245344302,0.012844864813135574,0.0435178700187365,0.015294616359274319,1872.499643280969,255.824439161155,416.0611814137817,0.009800317558030878,0.1366218893974809,0.16,Europe,0.0,0.0,0.0,0.0
SVK,Slovak Republic,1116.7415184672795,234.5157188781287,0.00552401574582326,0.03840981113330761,0.011789294796271006,2541.913924525126,225.161774253632,564.8020891672737,0.013303908363836617,0.0885796218672889,0.21,Europe,0.0,1.0,0.0,0.0
