iso_partner,partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,oecd,oecd_oct,nld_oct
AUT,Austria,1780.7884384027566,445.19710960068915,0.009371492899285268,0.011707653737148521,0.00418867945649065,4166.429923052414,414.80899227657795,940.3067779982682,0.019793655671000204,0.0995598149824827,0.25,Europe,0.0,1.0,0.0,0.0
BEL,Belgium,4472.452872846598,1118.1132182116496,0.023536518677009968,0.024404403667046902,0.009655596539089978,10972.362721591731,1594.196542628483,2476.3135894073785,0.052126922477887846,0.1452920016480477,0.25,Europe,0.0,1.0,0.0,0.0
BGR,Bulgaria,917.3272841781711,91.73272841781711,0.0019309932487448168,0.025740959534132576,0.006428575293764195,1259.1741191588085,98.63802664384498,284.1785367309373,0.00598201803576834,0.0783354939900926,0.1,Europe,0.0,0.0,0.0,0.0
CYP,Cyprus,1568.1756544778357,196.02195680972946,0.004126303465882923,0.12442105164614696,0.03495569437980783,2319.512879895455,53.924702815886604,523.4826273094002,0.01101941953111379,0.023248287725963,0.125,Europe,0.0,0.0,0.0,0.0
CZE,Czechia,2499.7067973072635,474.9442914883801,0.009997677341687165,0.023966567321511242,0.013439680948010197,0.0,0.0,0.0,0.0,0.1533502584624728,0.19,Europe,0.0,1.0,0.0,0.0
DEU,Germany,41084.65980494621,12255.690010039409,0.25798485531036325,0.031622327020071866,0.029876830423167525,14600.44164095339,2131.8136456360935,3295.121840594538,0.06936300857637849,0.1460102165441681,0.29830331,Europe,0.0,1.0,0.0,0.0
DNK,Denmark,1720.0609102195162,378.41340024829356,0.007965681755216381,0.011902054062133998,0.003088991252842594,15039.725600351878,1446.1166708180544,3394.2622778794394,0.07144993565656736,0.0961531286703941,0.22,Europe,0.0,1.0,0.0,0.0
ESP,Spain,12201.315493755455,3050.328873438864,0.06421006507332656,0.03039153888928211,0.01758790349499787,3162.3086214493273,381.82551405875006,713.690206192808,0.0150233291173528,0.1207426471499023,0.25,Europe,0.0,1.0,0.0,0.0
EST,Estonia,1084.4770351899688,216.89540703799378,0.004565693988371303,0.11843922216771274,0.033415449489239274,100.18132731411954,2.8205425806300846,22.609568105567917,0.00047593616936840156,0.0281543742356921,0.2,Europe,0.0,1.0,0.0,0.0
FIN,Finland,945.1471343543619,189.02942687087238,0.003979109238299516,0.008874319926549043,0.003499534211790945,2754.0516687365803,299.16722032785725,621.5521438971457,0.013083803505130888,0.1086280347329504,0.2,Europe,0.0,1.0,0.0,0.0
FRA,France,11856.611107695353,3796.8425750172833,0.07992433567997133,0.015447981167494861,0.005815921916763144,0.0,0.0,0.0,0.0,0.1946270795260329,0.32023,Europe,0.0,1.0,0.0,0.0
GRC,Greece,2896.71338341027,695.2112120184648,0.014634342398984127,0.07174059704924127,0.01453659724947647,0.0,0.0,0.0,0.0,0.202798217776106,0.24,Europe,0.0,1.0,0.0,0.0
HRV,Croatia,251.06371167746707,45.19146810194407,0.0009512899192124269,0.01244128853385265,0.003735071581533321,436.3806889868373,57.33988935823733,98.48520849266073,0.002073134376145039,0.1313987781892129,0.18,Europe,0.0,0.0,0.0,0.0
HUN,Hungary,1718.4069921372852,154.65662929235566,0.0032555546116206447,0.019152781803125556,0.004301992922936198,2434.2732331454913,316.18047508552263,549.3824840211212,0.011564616968455876,0.1298870113594291,0.09,Europe,0.0,1.0,0.0,0.0
IRL,Ireland,1743.2778969812648,217.9097371226581,0.004587045850234219,0.009223883925036366,0.0031383260801356996,68918.1344044908,7482.310033007259,15553.889085949497,0.32741264033808704,0.1085680873062011,0.125,Europe,0.0,1.0,0.0,0.0
