iso_partner,partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,oecd,oecd_oct,nld_oct
AUT,Austria,3753.616008517868,938.404002129467,0.009176181006792164,0.026875732767576675,0.008250409020304324,5289.814830511087,509.7231772537317,1432.939772817788,0.01401199770820412,0.0963593610713371,0.25,Europe,0.0,1.0,0.0,0.0
BEL,Belgium,112256.51865324318,33205.47821762934,0.3246996792965759,0.7630532076730173,0.2737727785556097,0.0,0.0,0.0,0.0,0.1516083879180703,0.2958,Europe,0.0,1.0,0.0,0.0
BGR,Bulgaria,1241.2231971359586,124.12231971359586,0.0012137297689377767,0.0429499118184623,0.008797529484084262,628.8235566221316,48.8449912965695,170.33985370741837,0.0016656678005877892,0.0776767835463281,0.1,Europe,0.0,0.0,0.0,0.0
CYP,Cyprus,1772.7505659154688,221.5938207394336,0.002166854579133777,0.2231567171559808,0.036654352306671065,796.9141544790905,18.836734887764425,215.87333849344165,0.002110916858902144,0.0236370941360393,0.125,Europe,0.0,0.0,0.0,0.0
CZE,Czechia,3437.7375010844526,653.170125206046,0.006387022309707574,0.04017445395803271,0.01751208079503431,0.0,0.0,0.0,0.0,0.1538124667312412,0.19,Europe,0.0,1.0,0.0,0.0
DEU,Germany,46244.34365997485,13844.530329810657,0.13537870253332482,0.039386937669398076,0.031197079417331984,20491.003485665187,2940.892344985958,5550.737562721201,0.05427787230355708,0.1435211480513049,0.29937781,Europe,0.0,1.0,0.0,0.0
DNK,Denmark,7156.1672965824455,1574.356805248138,0.015394843778851265,0.05346342925256866,0.013043604607499776,16431.729951395188,1626.4421326487025,4451.134895638785,0.04352541058578663,0.0989817954323552,0.22,Europe,0.0,1.0,0.0,0.0
ESP,Spain,20858.738013646605,5214.684503411651,0.05099177836841501,0.05796484750076575,0.02720232803423233,1469.2736113672588,171.21819362361484,398.00648271016223,0.0038919053189643915,0.1165325452651972,0.25,Europe,0.0,1.0,0.0,0.0
EST,Estonia,349.9509055567046,69.99018111134092,0.0006843987974459035,0.04441646997059526,0.010575322614967134,8.887994939171191,0.27776055973841046,2.407638425353181,2.3543085856213985e-05,0.0312512058838224,0.2,Europe,0.0,1.0,0.0,0.0
FIN,Finland,2401.184879099841,480.2369758199682,0.00469599597431227,0.02431731327456488,0.008653238290782433,1027.9315269626477,106.92904649511215,278.4528411509226,0.002722850357051112,0.1040235109930602,0.2,Europe,0.0,1.0,0.0,0.0
FRA,France,52411.176400571916,18046.91489922634,0.17647170872426438,0.07935063788434249,0.02697703160298764,0.0,0.0,0.0,0.0,0.1927773016375925,0.34433333,Europe,0.0,1.0,0.0,0.0
GBR,United Kingdom,24632.323550203244,4680.141474538616,0.04576475080062212,0.020558568589547674,0.006543891375669901,188001.38575836938,18033.65841308022,50927.049741739065,0.4979900187037273,0.0959230079094106,0.19,Europe,0.0,1.0,0.0,0.0
GRC,Greece,4766.35120653021,1143.9242895672503,0.011185860583837347,0.13941660856392046,0.02127858914508927,0.0,0.0,0.0,0.0,0.2255910955004476,0.24,Europe,0.0,1.0,0.0,0.0
HRV,Croatia,383.02722681003,68.9449008258054,0.0006741775269897466,0.019942761660652085,0.005104653663070374,328.5210416361331,40.62626502759102,88.99193674090498,0.0008702074136794643,0.1236641185150883,0.18,Europe,0.0,0.0,0.0,0.0
HUN,Hungary,2365.165049302337,212.86485443721034,0.002081498405663047,0.03023766200460399,0.005803037266599163,2027.2263607458583,248.3633757149435,549.1483868324251,0.005369846021252409,0.1225138842529482,0.09,Europe,0.0,1.0,0.0,0.0
IRL,Ireland,3761.7932215582236,470.22415269477796,0.004598085610356828,0.023639270014638527,0.006654431250542113,23006.178010342857,2452.9297294516623,6232.064551938419,0.060940226432144196,0.1066204794359542,0.125,Europe,0.0,1.0,0.0,0.0
ITA,Italy,19427.219445805058,5402.010347978337,0.05282354363486042,0.042073799056250256,0.010928345796779872,0.0,0.0,0.0,0.0,0.1706674268516208,0.278064,Europe,0.0,1.0,0.0,0.0
LTU,Lithuania,358.5323334098423,53.77985001147634,0.0005258861184559992,0.021584621681533654,0.004912579582353053,94.57047900213654,9.217844797360327,25.617872276920128,0.0002505042950461223,0.0974706366576834,0.15,Europe,0.0,1.0,0.0,0.0
LUX,Luxembourg,27213.49630127274,6787.045977537421,0.06636711080726156,2.069294936786262,0.366919455392461,29660.859574347975,946.2640419314945,8034.728386880048,0.07856756988580131,0.0319027855399668,0.2494,Europe,0.0,1.0,0.0,0.0
