iso_partner,negative_misalignment,positive_misalignment,theoretical_profit,reported_profit,partner_jurisdiction,etr_average_corrected,cit,tax_revenue_current_usd,gvt_health_expenditure,region_tjn,ukt,oecd,oecd_oct,nld_oct,tax_revenue_loss,tax_revenue_gain,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,tax_revenue_loss_caused_pct_of_total,tax_revenue_loss_caused_usd,tax_revenue_loss_suffered_pct_of_total
ABW,-0.0,26.643102797675066,20.73565272250931,195.16874071962079,Aruba,0.152084467209993,0.25,,,Caribbean/American isl.,0.0,0.0,1.0,1.0,-0.0,4.052002093805486,,,5.0211711239194375e-05,7.4018717376378875,-0.0
AFG,0.0036892365216163172,0.0,0.0,-0.012244569652760355,Afghanistan,0.0413022426444994,0.2,1721554970.885013,108140731.84,Asia,0.0,0.0,0.0,0.0,0.0007378473043232634,0.0,6.82302858292977e-06,4.285935196968776e-07,0.0,0.0,5.005298267316471e-09
AGO,1020.3137421750597,0.0,365.35911707642083,-616.7356151062675,Angola,0.4476869049163801,0.3,5135030983.273475,1210995260.76,Africa,0.0,0.0,0.0,0.0,306.0941226525179,0.0,0.25276244471875015,0.0596090118345088,0.0,0.0,0.002076435561628301
ALB,24.13250888047647,0.0,30.524595864869227,-2.732598532256868,Albania,0.0832404803517497,0.15,2086412308.4680169,341781415.51,Europe,0.0,0.0,0.0,0.0,3.61987633207147,0.0,0.01059120293790684,0.0017349765036276195,0.0,0.0,2.4555976049048738e-05
AND,0.05739120209594362,0.0,0.17705397242177617,-0.00237786445781013,Andorra,-0.0283953210675186,0.0,,143799721.59000003,Europe,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,,0.0,0.0,0.0
ARE,175.7089195701611,378.6274836679202,1965.231189487146,4678.63485955727,United Arab Emirates,0.3886867918141067,0.0,155295681.65058425,10972704170.910002,Asia,0.0,0.0,0.0,0.0,0.0,147.167501919532,0.0,0.0,0.0007135630568829762,105.18865207768091,0.0
ARG,135.16814725000475,175.15971428761344,5753.153950920311,8771.275758100717,Argentina,0.2599237005905737,0.35,67446266215.272,35932278811.96,Latin America,0.0,0.0,0.0,0.0,47.30885153750166,45.52816113202407,0.0013166115009036106,0.0007014302524398217,0.0003301067845340038,48.66211524249907,0.0003209267164655051
ARM,5.0481483207297515,0.0,6.3010422903245225,0.39014754365096577,Armenia,0.0971246744754968,0.2,2243940984.37206,172676456.98999998,Asia,0.0,0.0,0.0,0.0,1.0096296641459503,0.0,0.005846944521246575,0.00044993592575630196,0.0,0.0,6.848974820360682e-06
ASM,0.0006727430536412638,24.53722657907285,2.2583636376771397,26.791580283749994,American Samoa,0.0909676717745046,0.44,,,Oceania,0.0,0.0,1.0,0.0,0.00029600694360215607,2.2320943737017496,,,4.624296745597525e-05,6.816826302659659,2.008007663976503e-09
AUS,13500.382719869389,0.0,77967.52584255784,63600.00210835039,Australia,0.2581802837052981,0.3,268829234641.6977,93829308245.16002,Oceania,0.0,1.0,0.0,0.0,4050.1148159608165,0.0,0.043164709318527165,0.015065752879737618,0.0,0.0,0.027474563574308216
AUT,577.7688924018918,741.0952490490314,3099.5682762011015,2104.4085220947263,Austria,0.0919569459857132,0.25,100618566642.62927,29651637133.19,Europe,0.0,1.0,0.0,0.0,144.44222310047294,68.14885578707046,0.004871306850669445,0.0014355424443034833,0.0013966714360774818,205.88788102084015,0.0009798455653032897
AZE,133.3757155773057,70.58093219915064,31.40900676554323,-57.80641528548746,Azerbaijan,0.0895349904718129,0.2,5511737005.854178,441323699.57000005,Asia,0.0,0.0,0.0,0.0,26.67514311546114,6.319463091942625,0.06044348658694704,0.004839698100095974,0.0001330171419406213,19.608489717894926,0.0001809548491048501
BEL,15214.74077132168,287.57681219710304,39657.54697810346,26710.938773258815,Belgium,0.1678086003050051,0.3399,108743822138.85394,39449770139.27999,Europe,0.0,1.0,0.0,0.0,5171.490388172238,48.25786233497118,0.13109050749634163,0.04755663619739991,0.0005419685523410213,79.89334781185781,0.0350815835847002
BEN,1.5691504399815774,0.0,3.659732007293566,0.03599966963861203,Benin,-0.0177786872300447,0.3,,55641378.51000002,Africa,0.0,0.0,0.0,0.0,0.4707451319944732,-0.0,0.008460342726948608,,0.0,0.0,3.1933704707109703e-06
BFA,-0.0,53.0917879122566,53.53709954441196,106.62888745666854,Burkina Faso,0.1273850139569208,0.275,1814528874.5257049,306310739.14,Africa,0.0,0.0,0.0,0.0,-0.0,6.763098144200686,-0.0,-0.0,0.00010005702203931762,14.74973119432205,-0.0
BGD,17.596194781662867,65.82680170758567,215.99895770433426,505.79711028809766,Bangladesh,0.389694331925544,0.25,19406243936.44527,1258074342.65,Asia,0.0,0.0,0.0,0.0,4.399048695415717,25.652331514232856,0.003496652420515617,0.00022668212920658106,0.00012405748625604615,18.287717719611457,2.9841609075471215e-05
BGR,9.53569176973119,236.77687669538065,614.4066586125359,799.375761063996,Bulgaria,0.044504449014362,0.1,10972567773.253689,2217940161.7599993,Europe,0.0,0.0,0.0,0.0,0.9535691769731192,10.537624436669446,0.0004299345822821634,8.690483364317902e-05,0.0004462307656518235,65.7803291548552,6.468680066057217e-06
BHR,0.005302383368117481,157.24613609063107,90.05853042184464,247.2730612778599,Bahrain,0.0192371511921062,0.0,273963457.10088956,961441514.93,Asia,0.0,0.0,0.0,0.0,0.0,3.0249676943499773,0.0,0.0,0.00029634677457877825,43.68544232331563,0.0
BHS,0.5546467337132073,21912.31227556215,107.58613814941553,22018.33155855847,Bahamas,0.0045603658218451,0.0,1679252103.16411,326223012.3000001,Caribbean/American isl.,0.0,0.0,0.0,0.0,0.0,99.92815997907047,0.0,0.0,0.041296042165914384,6087.583948853453,0.0
BIH,14.106431435220678,74.69517359320912,171.83543862520594,112.44375676557425,Bosnia and Herzegovina,0.0299089164043789,0.1,3374387305.632278,1109106111.01,Europe,0.0,0.0,0.0,0.0,1.4106431435220679,2.234051702809862,0.0012718739257846802,0.00041804423018292135,0.00014077085975703235,20.751490491031557,9.569310127857374e-06
BLR,8.356753851879764,2.5598778300447096,83.62772813955489,124.76943084938327,Belarus,0.2038111494822799,0.18,6580234870.3403225,2001042570.72,Europe,0.0,0.0,0.0,0.0,1.5042156933383575,0.5217316430756166,0.0007517159881296888,0.00022859604907393848,4.824357259959856e-06,0.7111742016649493,1.0204073606316411e-05
BLZ,8.893321326199306e-05,0.0,0.0,-0.0004116271749882816,Belize,0.4386444782223862,0.25,462336344.5087375,75049784.00000001,Caribbean/American isl.,0.0,0.0,0.0,0.0,2.2233303315498266e-05,0.0,2.962473991330643e-07,4.8089023455689166e-08,0.0,0.0,1.508229601297418e-10
BMU,455.15454045187295,30597.353101626795,1913.791821857426,31886.127270878977,Bermuda,0.0111965795462508,0.0,,,Caribbean/American isl.,1.0,0.0,1.0,0.0,0.0,342.58569790708805,,,0.057663909128354895,8500.424477182938,0.0
BOL,92.0885439152003,263.8037636072933,501.0495941176914,508.58428460392963,Bolivia,-0.0283953210675186,0.25,,1503402986.11,Latin America,0.0,0.0,0.0,0.0,23.022135978800076,-7.490792566448873,0.015313349907844078,,0.0004971657581570411,73.2888221374022,0.00015617412525522603
BRA,13524.37701982967,0.0,53971.45802694867,56273.432110830625,Brazil,0.2161958625087746,0.34,246197315551.432,70901817239.64,Latin America,0.0,0.0,0.0,0.0,4598.288186742088,0.0,0.06485430650106473,0.01867724746081352,0.0,0.0,0.0311931801591815
