iso_partner,negative_misalignment,positive_misalignment,theoretical_profit,reported_profit,partner_jurisdiction,etr_average_corrected,cit,tax_revenue_current_usd,gvt_health_expenditure,region_tjn,ukt,oecd,oecd_oct,nld_oct,tax_revenue_loss,tax_revenue_gain,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,tax_revenue_loss_caused_pct_of_total,tax_revenue_loss_caused_usd,tax_revenue_loss_suffered_pct_of_total
ABW,68.56981176282079,0.0,66.3510527147167,-10.547449876002217,Aruba,0.2417390792175607,0.25,,,Caribbean/American isl.,0.0,0.0,1.0,1.0,17.142452940705198,0.0,,,0.0,0.0,4.506357680247417e-05
AFG,86.42875850511439,3.0670584565425463,101.6904382318729,-38.117574769747065,Afghanistan,0.071754197414477,0.2,,107697735.61,Asia,0.0,0.0,0.0,0.0,17.28575170102288,0.220074317972495,0.16050246184951222,,2.1596264994102356e-06,0.821534779582948,4.5440276374793926e-05
AGO,168.2778136421116,329.5765528151339,5191.898934676922,3353.053832910628,Angola,0.364139751479386,0.3,,1279772420.6799998,Africa,0.0,0.0,0.0,0.0,50.48334409263348,120.01192403553559,0.03944712612716677,,0.00023206673988411693,88.2795696622983,0.000132709132213055
AIA,1.8185740083003565,0.0,0.0,-3.1305872524554177,Anguilla,0.0,,,,Caribbean/American isl.,1.0,0.0,1.0,0.0,,0.0,,,0.0,0.0,
ALB,44.82451955823128,4.29830015739361,78.65840889214721,27.288394383048278,Albania,0.0846189826481392,0.15,3263109930.245463,526532522.88999987,Europe,0.0,0.0,0.0,0.0,6.723677933734692,0.3637177864349839,0.012769729582571984,0.0020605122344832904,3.026588196428025e-06,1.1513321713360456,1.767500707220782e-05
AND,6.493096905089799,0.0,13.702145452944698,0.8349194957213101,Andorra,-0.0283953210675186,0.0,,205063639.7,Europe,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,,0.0,0.0,0.0
ARE,2543.0216760193903,1039.1686333022024,51112.51223605673,57509.963456228295,United Arab Emirates,0.2022827987126435,0.0,2222218203.2623553,14119521288.48,Asia,0.0,0.0,0.0,0.0,0.0,210.20593947876225,0.0,0.0,0.0007317161213696685,278.34916947485164,0.0
ARG,2939.2589363465954,0.0,19749.247308021022,18735.3742996333,Argentina,0.26137837534356,0.35,55955195677.25844,29899372168.890003,Latin America,0.0,0.0,0.0,0.0,1028.7406277213083,0.0,0.034406763523673674,0.01838507783361061,0.0,0.0,0.0027043231471888516
ARM,78.43842780953915,0.0,223.7900289117823,9.951302277205068,Armenia,0.4476869049163801,0.2,3053499345.3128743,303765192.71,Asia,0.0,0.0,0.0,0.0,15.68768556190783,0.0,0.051644118346648844,0.005137608948889558,0.0,0.0,4.123932704481537e-05
ASM,0.08766236533684796,2.908949139998747,28.64852914622519,25.443693655515485,American Samoa,0.305905358443103,0.44,,,Oceania,0.0,0.0,1.0,0.0,0.0385714407482131,0.889863129364073,,,2.0482960260430764e-06,0.7791840046116595,1.013954705637173e-07
ATG,-0.0,0.0,0.0,0.0,Antigua and Barbuda,0.2601633924412352,,,57773473.28999999,Caribbean/American isl.,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,
AUS,73776.37464964618,0.0,240547.2266779939,164523.6529186733,Australia,0.2152110271870161,0.3,359003007084.2678,139063001840.8,Oceania,0.0,1.0,0.0,0.0,22132.912394893854,0.0,0.1591574473577934,0.061651050153177844,0.0,0.0,0.05818235004171472
AUT,5716.05178836234,5692.808290896095,20782.24214321142,18471.16002241013,Austria,0.0999728784392562,0.25,123901095428.70392,45466886382.31,Europe,0.0,1.0,0.0,0.0,1429.012947090585,569.1264312437452,0.031429751645509145,0.01153349727979506,0.004008511678300629,1524.8617105724945,0.0037565472640170143
AZE,967.2414917496386,659.2773066939782,7143.152593057959,5777.408742724199,Azerbaijan,0.1482655724569424,0.2,7358294118.735062,812163822.58,Asia,0.0,0.0,0.0,0.0,193.44829834992774,97.74812728485387,0.2381887655810631,0.02628982957576895,0.00046422093421758474,176.59240751786552,0.000508531204965425
BEL,21723.0393539633,5601.3745114717585,61367.628944383774,37588.05857194116,Belgium,0.138470093925523,0.3399,139006758988.0213,50928949854.00999,Europe,0.0,1.0,0.0,0.0,7383.661076412125,775.6228547155249,0.1449796451247808,0.05311728098810218,0.003944129855852868,1500.3704819604109,0.01940995137342632
BEN,41.27342132011142,0.0,114.14668979108941,49.7042038839311,Benin,0.3621428417758588,0.3,,56216918.779999994,Africa,0.0,0.0,0.0,0.0,12.382026396033424,0.0,0.2202544476777428,,0.0,0.0,3.2549507319514383e-05
BFA,35.141591377161404,4.136761911413001,94.03068767315351,131.75828821645268,Burkina Faso,0.2759987625344705,0.275,3139555735.359306,538923508.9700001,Africa,0.0,0.0,0.0,0.0,9.663937628719387,1.141741168449719,0.01793192812684915,0.0030781226527941854,2.912843290150223e-06,1.1080629317091304,2.5404275400519266e-05
