iso_partner,partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,oecd,oecd_oct
ABW,Aruba,2342.5990493129916,585.6497623282479,0.00102600522641059,,,19744.520636287303,1413.0492866450902,4888.769557511351,0.008564680529849333,0.0715666544999897,0.25,Caribbean/American isl.,0.0,0.0,1.0
AFG,Afghanistan,447.1052357975716,89.42104715951433,0.00015665755821710217,0.830296446374044,,156.00054078147454,8.411836081896254,38.625941281458594,6.76691431961904e-05,0.0539218392433623,0.2,Asia,0.0,0.0,0.0
AGO,Angola,5761.045758851715,1440.2614397129287,0.002523207315355945,1.125404342553072,,0.0,0.0,0.0,0.0,0.3289506417448939,0.25,Africa,0.0,0.0,0.0
AIA,Anguilla,6265.293329339006,0.0,0.0,,,0.43713866996918005,,0.10823611580768044,1.896198507168858e-07,,0.0,Caribbean/American isl.,1.0,0.0,1.0
ALB,Albania,437.1108485696528,65.56662728544791,0.00011486677977217375,0.12452531312893982,0.020093294031474983,131.24805570861326,19.20647541110107,32.49719307196484,5.693213261618654e-05,0.1463372185393877,0.15,Europe,0.0,0.0,0.0
AND,Andorra,87.4098331268782,0.0,0.0,0.0,,1318.8615490492673,23.764845492129844,326.55187281248226,0.0005720892413032107,0.0180192117279189,0.0,Europe,0.0,0.0,0.0
ARE,United Arab Emirates,12098.753372738473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2492701005038457,0.0,Asia,0.0,0.0,0.0
ARG,Argentina,6460.942063672056,1938.2826191016168,0.003395695218167673,0.06482686687041476,0.0346399042241109,0.0,0.0,0.0,0.0,0.2095254783585036,0.3,Latin America,0.0,0.0,0.0
ARM,Armenia,207.37141307517936,37.32685435353228,6.539326081161424e-05,0.12288061716527103,0.012224287655679067,0.0,0.0,0.0,0.0,1.1526247041023183,0.18,Asia,0.0,0.0,0.0
ASM,American Samoa,1097.945520890052,373.3014771026177,0.0006539903047367891,,,0.0,0.0,0.0,0.0,0.1657637529790511,0.34,Oceania,0.0,0.0,1.0
ATG,Antigua and Barbuda,197.22485569664383,49.30621392416096,8.638001145871495e-05,0.8534403614036369,,0.0,0.0,0.0,0.0,0.2601633924412352,0.25,Caribbean/American isl.,0.0,0.0,0.0
AUS,Australia,162436.34250105583,48730.902750316745,0.08537211850093428,0.3504232046285332,0.1357395391924343,0.0,0.0,0.0,0.0,0.2264160483588662,0.3,Oceania,0.0,1.0,0.0
AUT,Austria,5150.7463450180985,1287.6865862545246,0.0022559100207325882,0.02832141562162327,0.010392858770126813,9131.24645843451,915.5592290046292,2260.9087620028463,0.003960906936989855,0.1002666211203761,0.25,Europe,0.0,1.0,0.0
AZE,Azerbaijan,1306.3359047189365,261.2671809437873,0.00045771638679098893,0.3216927098695681,0.03550648787992465,1051.4054683563013,109.73701722450977,260.3293916821966,0.00045607346512422574,0.1043717390932591,0.2,Asia,0.0,0.0,0.0
BDI,,-0.0,,,,,0.0,,0.0,0.0,,,,,,
BEL,Belgium,21073.05837802564,5268.26459450641,0.009229521389351939,0.10344341694867291,0.03789934124685545,0.0,0.0,0.0,0.0,0.1532038551280006,0.25,Europe,0.0,1.0,0.0
