iso_partner,partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,oecd,oecd_oct
ABW,Aruba,5363.2348514160685,1340.8087128540171,0.005774903639999726,,,29190.73798298385,4338.014193229925,4574.229598589917,0.019701345095575504,0.1486092676299819,0.25,Caribbean/American isl.,0.0,0.0,1.0
AFG,Afghanistan,112.13776451535597,22.427552903071195,9.65961480221479e-05,0.1845451284862505,0.012081846991439946,0.0,0.0,0.0,0.0,0.1503432686517048,0.2,Asia,0.0,0.0,0.0
AGO,Angola,672.036999934351,201.61109998030528,0.0008683450994753321,0.1277895882783694,0.029661707702666698,0.0,0.0,0.0,0.0,0.414815547790461,0.3,Africa,0.0,0.0,0.0
AIA,Anguilla,9984.059775367292,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,Caribbean/American isl.,1.0,0.0,1.0
ALB,Albania,148.25947975541436,22.238921963312155,9.578370886495274e-05,0.06156447741693298,0.009043524561169296,0.0,0.0,0.0,0.0,0.1661789623585953,0.15,Europe,0.0,0.0,0.0
AND,Andorra,141.71300054585237,0.0,0.0,0.0,,0.2536965100266968,0.014500999100174966,0.03975459907521182,1.7122425943779368e-07,0.0571588434490053,0.0,Europe,0.0,0.0,0.0
ARE,United Arab Emirates,4537.5307985831505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5804024517938071,0.0,Asia,0.0,0.0,0.0
ARG,Argentina,5132.735576859619,1796.4574519008665,0.0077373965269097065,0.042317817432440764,0.02551404700828147,0.0,0.0,0.0,0.0,0.2437689571834182,0.35,Latin America,0.0,0.0,0.0
ARM,Armenia,134.74099366902502,26.948198733805004,0.00011606670621048557,0.17032639125654714,0.011249597088893934,0.0,0.0,0.0,0.0,0.2530673552993781,0.2,Asia,0.0,0.0,0.0
ASM,American Samoa,819.1312338816697,278.5046195197677,0.001199527811538435,,,21736.943310893475,1995.4625076122213,3406.209515275723,0.014670647303967166,0.0918005111883507,0.34,Oceania,0.0,0.0,1.0
ATG,Antigua and Barbuda,104.22545340195468,26.05636335048867,0.00011222554426693636,0.6482334458039997,,3474.2228701699282,31.734566262421872,544.4155983344154,0.0023448144320317725,0.0091342920268295,0.25,Caribbean/American isl.,0.0,0.0,0.0
AUS,Australia,55321.67026053822,16596.501078161466,0.0714816316218025,0.16292516845143568,0.056625720521188964,0.0,0.0,0.0,0.0,0.2610748729476487,0.3,Oceania,0.0,1.0,0.0
AUT,Austria,4529.444489908386,1132.3611224770964,0.004877113569815484,0.03540973991461674,0.010674890266961076,10046.706195292343,1053.4167859739512,1574.3329570369897,0.006780699615840212,0.1048519550086533,0.25,Europe,0.0,1.0,0.0
AZE,Azerbaijan,419.6693214477423,83.93386428954847,0.0003615056896320527,0.20447494532519148,0.015601955887447321,0.0,0.0,0.0,0.0,0.2711071297930509,0.2,Asia,0.0,0.0,0.0
BDI,Burundi,47.67976754793863,14.30393026438159,6.160745985476983e-05,0.2239255868011931,0.036551588782051996,3.410693528520193,,0.534460461361772,2.3019373562872076e-06,,0.3,Africa,0.0,0.0,0.0
BEL,Belgium,53710.45887033272,18256.18497002609,0.07862994029290035,0.4382470887665705,0.1548583509062025,0.0,0.0,0.0,0.0,0.1944803055207414,0.3399,Europe,0.0,1.0,0.0
BEN,Benin,349.7514695752139,104.92544087256417,0.0004519170442544095,1.8133094585795175,,0.0,0.0,0.0,0.0,0.2064669106077483,0.3,Africa,0.0,0.0,0.0
BFA,Burkina Faso,336.5719474386146,92.55728554561902,0.0003986470255463539,0.25018613113651966,0.042993445450621656,1879.9120896322725,126.48471803815775,294.58486209412257,0.0012687859021851288,0.0672822515136329,0.275,Africa,0.0,0.0,0.0
BGD,Bangladesh,1072.8946601028604,268.2236650257151,0.001155247429884292,0.18472344287309744,0.013050418605434502,0.0,0.0,0.0,0.0,0.388354319997277,0.25,Asia,0.0,0.0,0.0
BGR,Bulgaria,1087.6529929274086,108.76529929274086,0.0004684554304948757,0.04463788586794171,0.008935496314541092,364.3016142430414,33.894117673216414,57.086574092645414,0.00024587359953904576,0.093038615114684,0.1,Europe,0.0,0.0,0.0
BHR,Bahrain,105.40015679308253,0.0,0.0,0.0,0.0,6440.01620304436,49.50636607192293,1009.1595748122634,0.004346480781377818,0.0076873045829481,0.0,Asia,0.0,0.0,0.0
BHS,Bahamas,1165.86779871705,0.0,0.0,0.0,0.0,452.66234884770915,2.167299583597193,70.93282518151577,0.00030550982135570207,0.0047878945291435,0.0,Caribbean/American isl.,0.0,0.0,0.0
BIH,Bosnia and Herzegovina,179.7579474905668,17.975794749056682,7.742229113894319e-05,0.015862300820176072,0.004907381680894949,32.58878613705056,3.620890863970739,5.10670851203248,2.199474786510043e-05,0.1111084913915866,0.1,Europe,0.0,0.0,0.0
BLR,Belarus,342.9261021651258,61.72669838972265,0.00026585875509207356,0.028336228618500988,0.008663756624773747,0.0,0.0,0.0,0.0,0.1916221864152028,0.18,Europe,0.0,0.0,0.0
BLZ,Belize,53.43820284351684,13.35955071087921,5.753998858256011e-05,0.18328748108868276,0.027618234264108213,0.0,0.0,0.0,0.0,0.4362164329253492,0.25,Caribbean/American isl.,0.0,0.0,0.0
BMU,Bermuda,4191.068528665783,0.0,0.0,,,117068.60221082279,1711.799413746098,18344.81422191014,0.07901166915877728,0.0146221905909785,0.0,Caribbean/American isl.,1.0,0.0,1.0
BOL,Bolivia,450.27700177021455,112.56925044255364,0.00048483916303691403,0.06747828420053414,,0.0,0.0,0.0,0.0,0.1849321302342655,0.25,Latin America,0.0,0.0,0.0
BRA,Brazil,19236.2278092887,6540.317455158158,0.028169344900922363,0.08017672687156635,0.023296214826126472,0.0,0.0,0.0,0.0,0.23730264998119,0.34,Latin America,0.0,0.0,0.0
BRB,Barbados,147.49811347214035,36.87452836803509,0.00015881970787806472,0.24714612383015988,,3869.0012701449823,52.07125267022267,606.2779275123389,0.002611257353026833,0.013458577300563,0.25,Caribbean/American isl.,0.0,0.0,0.0
