iso_partner,partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,oecd,oecd_oct
ABW,Aruba,904.479854166577,226.11996354164424,0.0007303097876050546,,,26816.28531110186,3985.148520639488,4057.70135038612,0.01310534003699089,0.1486092676299819,0.25,Caribbean/American isl.,0.0,0.0,1.0
AFG,Afghanistan,97.41382171135335,19.48276434227067,6.292435778737682e-05,0.19148646476605014,,775.594605596096,103.57255532583504,117.35895713999457,0.00037903948735899795,0.1335395509181406,0.2,Asia,0.0,0.0,0.0
AGO,Angola,726.1947205394544,217.8584161618363,0.0007036270975066836,0.1947168510594228,0.028430494916292244,0.0,0.0,0.0,0.0,0.4067795756096148,0.3,Africa,0.0,0.0,0.0
AIA,Anguilla,906.3859084472997,0.0,0.0,,,5928.232399383469,0.0,897.0294107969665,0.0028971761193211463,0.0,0.0,Caribbean/American isl.,1.0,0.0,1.0
ALB,Albania,190.29291805111023,28.543937707666533,9.218963579418182e-05,0.06551610074479092,0.010154712792002581,0.0,0.0,0.0,0.0,0.154474002265593,0.15,Europe,0.0,0.0,0.0
AND,Andorra,153.22190203400208,0.0,0.0,0.0,,92.42964541870204,3.5290930687241002,13.9859750401711,4.517113085044273e-05,0.0381813978917421,0.0,Europe,0.0,0.0,0.0
ARE,United Arab Emirates,5308.6836678321315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5185928948000367,0.0,Asia,0.0,0.0,0.0
ARG,Argentina,7038.158956450517,2111.4476869351547,0.006819437291748927,0.06671151746077048,0.04026249262530832,0.0,0.0,0.0,0.0,0.2454466313381469,0.3,Latin America,0.0,0.0,0.0
ARM,Armenia,58.16591905774384,11.633183811548768,3.7572215497983104e-05,0.07563060204811946,0.004474326992372844,0.0,0.0,0.0,0.0,0.2707375064558568,0.2,Asia,0.0,0.0,0.0
ASM,American Samoa,110.39066307084829,37.532825444088424,0.00012122144966311933,,,338920.31870551564,31113.058509285074,51283.66658283282,0.16563315800649953,0.0918005111883507,0.34,Oceania,0.0,0.0,1.0
ATG,Antigua and Barbuda,29.456684567834582,7.3641711419586455,2.3784393816163905e-05,0.15742883170828978,,1793.2983665147142,25.009797526641425,271.3526172261995,0.000876399717869424,0.0139462556781603,0.25,Caribbean/American isl.,0.0,0.0,0.0
AUS,Australia,51906.28214801959,15571.884644405876,0.05029321422640352,0.14891142271155658,0.046992116709993065,0.0,0.0,0.0,0.0,0.246258374576379,0.3,Oceania,0.0,1.0,0.0
AUT,Austria,3785.0555469206065,946.2638867301516,0.0030561909143814172,0.026984848451224473,0.008182319340848636,5135.683970084456,539.8828862819753,777.1050888968851,0.002509851158341313,0.1051238529136163,0.25,Europe,0.0,1.0,0.0
AZE,Azerbaijan,245.06360202196706,49.01272040439341,0.00015829858128332068,0.11706841408639004,0.008020295589737568,0.0,0.0,0.0,0.0,0.3406300749452847,0.2,Asia,0.0,0.0,0.0
BDI,,6385.745895163083,,,,,515.3126817960343,,77.97444502610509,0.00025183756221130484,,,,,,
BEL,Belgium,57542.92552179747,17021.197369347694,0.05497412453501777,0.3765576600293873,0.1304923124168211,0.0,0.0,0.0,0.0,0.177501438852385,0.2958,Europe,0.0,1.0,0.0
BEN,Benin,158.3457048223392,47.50371144670176,0.00015342486737445144,0.7420392002830658,,0.0,0.0,0.0,0.0,0.2025477029299151,0.3,Africa,0.0,0.0,0.0
BFA,Burkina Faso,175.97898157219112,48.39421993235256,0.00015630098256936816,0.14313883272045433,0.019915526602256782,88.1849555519182,5.991911324086632,13.343690562488858,4.309671586677078e-05,0.0679470924103255,0.275,Africa,0.0,0.0,0.0
BGD,Bangladesh,979.1314075084381,244.78285187710952,0.0007905861550822691,0.15938867009099686,0.009851591730929215,0.0,0.0,0.0,0.0,0.3698279328257892,0.25,Asia,0.0,0.0,0.0
BGR,Bulgaria,1234.885906837767,123.48859068377669,0.00039883663972600645,0.04405024753134159,0.009343815118860975,706.3009644848462,68.39661923125628,106.8738023973321,0.0003451751128332622,0.0968377825749433,0.1,Europe,0.0,0.0,0.0
BHR,Bahrain,327.68020909346376,0.0,0.0,0.0,0.0,339.3052152233427,1.9586310635438973,51.341907129650814,0.00016582126011261374,0.0057724755637919,0.0,Asia,0.0,0.0,0.0
BHS,Bahamas,596.3376150043125,0.0,0.0,0.0,0.0,1928.48407414466,9.223144575925048,291.80821806871586,0.0009424660893328203,0.0047825878883733,0.0,Caribbean/American isl.,0.0,0.0,0.0
