iso_partner,partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,oecd,oecd_oct
ABW,Aruba,1905.617603878351,476.40440096958775,0.00057733792169302,,,34693.51450687018,5155.77778237613,7822.839170221958,0.009480226671044143,0.1486092676299819,0.25,Caribbean/American isl.,0.0,0.0,1.0
AFG,Afghanistan,679.4824232851025,135.89648465702052,0.00016468822256383847,1.3356594045870287,,31584.79975287292,4217.819974838048,7121.873128231576,0.008630750308028883,0.1335395509181406,0.2,Asia,0.0,0.0,0.0
AGO,Angola,1394.3568520866288,418.30705562598865,0.0005069317698012864,0.3738732433771347,0.05458901624250019,0.0,0.0,0.0,0.0,0.4067795756096148,0.3,Africa,0.0,0.0,0.0
AIA,Anguilla,409.3993735800941,0.0,0.0,,,39320.850512857374,0.0,8866.230301848209,0.010744676088849759,0.0,0.0,Caribbean/American isl.,1.0,0.0,1.0
ALB,Albania,1718.7546245734102,257.8131936860115,0.0003124348413339359,0.5917514024819477,0.09171891288030712,0.0,0.0,0.0,0.0,0.154474002265593,0.15,Europe,0.0,0.0,0.0
AND,Andorra,1093.172887123652,0.0,0.0,0.0,,15173.218756581256,579.3347026434733,3421.321008104419,0.004146179918245062,0.0381813978917421,0.0,Europe,0.0,0.0,0.0
ARE,United Arab Emirates,16087.38725885017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5185928948000367,0.0,Asia,0.0,0.0,0.0
ARG,Argentina,16433.16442828886,4929.949328486658,0.0059744341017162065,0.1557625143843556,0.0940075615936554,0.0,0.0,0.0,0.0,0.2454466313381469,0.3,Latin America,0.0,0.0,0.0
ARM,Armenia,2250.3783276146164,450.0756655229233,0.0005454310430566218,2.926068572639095,0.17310701279044652,0.0,0.0,0.0,0.0,0.2707375064558568,0.2,Asia,0.0,0.0,0.0
ASM,American Samoa,3204.627205278717,1089.573249794764,0.0013204159203579137,,,27152.02468039359,2492.5697454588462,6122.352411963183,0.007419465920552474,0.0918005111883507,0.34,Oceania,0.0,0.0,1.0
