iso_partner,partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,oecd,oecd_oct,nld_oct
ABW,Aruba,14155.012302259656,3538.753075564914,0.018727832662902157,,,0.0,0.0,0.0,0.0,0.1518484464085109,0.25,Caribbean/American isl.,0.0,0.0,1.0,1.0
AFG,Afghanistan,13.767358711898321,2.7534717423796646,1.4571957108107662e-05,0.02265694338909045,0.0014833104811059936,0.0,0.0,0.0,0.0,0.1632246056133859,0.2,Asia,0.0,0.0,0.0,0.0
AGO,Angola,135.75078354812197,40.72523506443659,0.00021552659119126864,0.025813365543526878,0.00599163448203851,0.0,0.0,0.0,0.0,0.4151783578975761,0.3,Africa,0.0,0.0,0.0,0.0
AIA,Anguilla,0.1685767876498559,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,Caribbean/American isl.,1.0,0.0,1.0,0.0
ALB,Albania,14188.438461401407,2128.265769210211,0.011263234347479533,5.891723083606668,0.8654656816684045,4.174999109831997,0.28472325170347795,0.689145689115185,3.6471053137973683e-06,0.0681972005773518,0.15,Europe,0.0,0.0,0.0,0.0
AND,Andorra,73.41154608327996,0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,-0.0283953210675186,0.0,Europe,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,2882.8552606368826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4091427688417129,0.0,Asia,0.0,0.0,0.0,0.0
ARG,Argentina,713.6322771241086,249.77129699343797,0.0013218427378808891,0.005883677420162756,0.003547357387210566,0.0,0.0,0.0,0.0,0.2594726820747657,0.35,Latin America,0.0,0.0,0.0,0.0
ARM,Armenia,8.111203171054877,1.6222406342109754,8.58524188823587e-06,0.010253390057876925,0.0006772086585962496,0.0,0.0,0.0,0.0,0.2432396860217108,0.2,Asia,0.0,0.0,0.0,0.0
ASM,American Samoa,14154.321938100715,4812.469458954243,0.02546861021328389,,,0.0,0.0,0.0,0.0,0.1544002408409665,0.34,Oceania,0.0,0.0,1.0,0.0
ATG,Antigua and Barbuda,-0.0,-0.0,-0.0,-0.0,,0.0,0.0,0.0,0.0,0.1554332616136257,0.25,Caribbean/American isl.,0.0,0.0,0.0,0.0
AUS,Australia,3277.750893129428,983.3252679388283,0.0052039661083790115,0.009653145212173503,0.003355014502243244,0.0,0.0,0.0,0.0,0.258792834755894,0.3,Oceania,0.0,1.0,0.0,0.0
AUT,Austria,747.3023271371301,186.82558178428252,0.0009887206476667893,0.005842169188842148,0.0017612248822581034,5258.505024838738,493.62393674446713,867.9944531063578,0.004593610947977247,0.093871534668659,0.25,Europe,0.0,1.0,0.0,0.0
AZE,Azerbaijan,14150.132447927092,2830.0264895854184,0.01497710108526726,6.894350887152928,0.5260564234061744,519.8679941534389,47.143504348748614,85.81194334535253,0.00045413502472015663,0.0906836059902434,0.2,Asia,0.0,0.0,0.0,0.0
BDI,Burundi,14154.173411822907,4246.252023546872,0.02247206731958847,66.47435065075769,10.850672155199549,0.0,0.0,0.0,0.0,0.234837038635873,0.3,Africa,0.0,0.0,0.0,0.0
BEL,Belgium,312.11449489490144,106.087716814777,0.0005614387230957984,0.0025466784612613357,0.0008998905797850874,0.0,0.0,0.0,0.0,0.1657823939071513,0.3399,Europe,0.0,1.0,0.0,0.0
BEN,Benin,22.827142627080303,6.848142788124091,3.624182570782356e-05,0.11834881977279851,,1.142752131656602,-0.014888594420839434,0.18862823309440793,9.982606611587454e-07,-0.0130287172593203,0.3,Africa,0.0,0.0,0.0,0.0
BFA,Burkina Faso,-0.0,-0.0,-0.0,-0.0,-0.0,155.82316418757642,20.13590084385482,25.720930481462343,0.00013612062545903113,0.129222769598079,0.275,Africa,0.0,0.0,0.0,0.0
BGD,Bangladesh,64.57427396151263,16.143568490378158,8.543519223127445e-05,0.011117943495084248,0.0007854650952023155,0.0,0.0,0.0,0.0,0.376106203392882,0.25,Asia,0.0,0.0,0.0,0.0
BGR,Bulgaria,276.4545853762684,27.645458537626844,0.0001463056365692385,0.011345850477992137,0.0022711829460598013,145.20733721798678,8.77607287466133,23.968630373120572,0.00012684708121803566,0.0604382191892039,0.1,Europe,0.0,0.0,0.0,0.0
BHR,Bahrain,14226.742805356043,0.0,0.0,0.0,0.0,146.24039232779748,1.865864793650425,24.139151481464737,0.00012774951513031205,0.0127588880469364,0.0,Asia,0.0,0.0,0.0,0.0
BHS,Bahamas,14717.96536735236,0.0,0.0,0.0,0.0,898.7356401237538,2.231673728345536,148.34968241954533,0.0007850980186020495,0.0024831258811971,0.0,Caribbean/American isl.,0.0,0.0,0.0,0.0
BIH,Bosnia and Herzegovina,14204.112282476686,1420.4112282476688,0.007517117817236552,1.2534071792293167,0.38777145256433765,0.0,0.0,0.0,0.0,0.0610550247464794,0.1,Europe,0.0,0.0,0.0,0.0
BLR,Belarus,42.905294277399314,7.722952969931876,4.087150693927932e-05,0.003545295093935513,0.0010839683103349602,0.0,0.0,0.0,0.0,0.2022096693087341,0.18,Europe,0.0,0.0,0.0,0.0
BLZ,Belize,0.06057012946150312,0.01514253236537578,8.013749650675098e-08,0.0002077492480561814,3.130419692020211e-05,0.0,0.0,0.0,0.0,0.4210436954613511,0.25,Caribbean/American isl.,0.0,0.0,0.0,0.0
BMU,Bermuda,20510.24708738382,0.0,0.0,,,31243.08825980257,460.3299380073152,5157.136330444536,0.027292660480675256,0.0147338167782721,0.0,Caribbean/American isl.,1.0,0.0,1.0,0.0
BOL,Bolivia,92.49955973980201,23.124889934950502,0.00012238182766698073,0.013861937331926887,,485.21416097121227,-13.777811887284225,80.09181284457999,0.0004238628795489851,-0.0283953210675186,0.25,Latin America,0.0,0.0,0.0,0.0
BRA,Brazil,8421.786107137628,2863.407276426794,0.015153759297007985,0.03510206113054417,0.010199283368687676,0.0,0.0,0.0,0.0,0.1843847700248519,0.34,Latin America,0.0,0.0,0.0,0.0
BRB,Barbados,14185.27901823603,3546.3197545590074,0.01876787713477949,23.768688576945888,,5274.689769157074,82.91781364694805,870.6659858379807,0.004607749266442237,0.0157199413189752,0.25,Caribbean/American isl.,0.0,0.0,0.0,0.0
BRN,Brunei Darussalam,13.490656002449443,2.495771360453147,1.3208151969170307e-05,0.009582812997292514,,10.624236162864051,0.7907912729026151,1.7536881707440746,9.280890161957149e-06,0.0744327649329508,0.185,Asia,0.0,0.0,0.0,0.0
BTN,Bhutan,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.1837106713569214,0.3,Asia,0.0,0.0,0.0,0.0
BWA,Botswana,1.5732044122779048,0.34610497070113905,1.831660993768223e-06,0.000428423464047023,8.979181654032264e-05,0.0,0.0,0.0,0.0,0.1767265241737242,0.22,Africa,0.0,0.0,0.0,0.0
CAF,Central African Republic,0.08931078260218525,0.026793234780655574,1.4179548749381597e-07,0.0017739516948159083,0.00018257969425649793,0.0,0.0,0.0,0.0,0.3115804831835181,0.3,Africa,0.0,0.0,0.0,0.0
CAN,Canada,3755.1324833709737,1000.7428068183641,0.005296143422413127,0.007991843054220609,0.004811132618799933,147303.71671426538,14724.477078082418,24314.66898405287,0.12867839102181694,0.0999599834038434,0.2664999999999999,Northern America,0.0,1.0,0.0,0.0
CHE,Switzerland,2108.520886839839,445.9222476552417,0.0023599152177125075,0.01715849361727159,0.006375001413491088,89008.47014744369,7159.475609642647,14692.17163481426,0.07775409189507089,0.0804358910762412,0.21148581,Europe,0.0,1.0,0.0,0.0
CHL,Chile,1570.355736106142,400.44071270706627,0.0021192172776265377,0.03162573172739944,0.008283323983125836,0.0,0.0,0.0,0.0,0.1802343313143409,0.255,Latin America,0.0,1.0,0.0,0.0
CHN,China (People’s Republic of),910.0929097491147,227.52322743727868,0.0012041012298346276,0.0006461146516746867,0.00019621441492797826,0.0,0.0,0.0,0.0,0.1716362229536316,0.25,Asia,0.0,0.0,0.0,0.0
CIV,Côte d’Ivoire,240.92977646928327,60.23244411732082,0.00031876288348452116,0.1229818457909404,0.009756539578790803,0.0,0.0,0.0,0.0,0.2472331488553145,0.25,Africa,0.0,0.0,0.0,0.0
CMR,Cameroon,374.5908542356181,123.61498189775398,0.0006541967314968001,2.4250564754519583,0.028834561354607942,0.0,0.0,0.0,0.0,0.3680050932543548,0.33,Africa,0.0,0.0,0.0,0.0
COD,Democratic Republic of the Congo,703.9246564265384,197.09890379943076,0.0010430892491157873,1.2536505952583994,0.07865903215474752,0.0,0.0,0.0,0.0,0.2754865064566445,0.28,Africa,0.0,0.0,0.0,0.0
