iso_partner,partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,oecd,oecd_oct
ABW,Aruba,2340.220308373659,585.0550770934148,0.0010330145620186832,,,19744.17863147676,1413.0248105049766,4893.816844862299,0.008640868633617375,0.0715666544999897,0.25,Caribbean/American isl.,0.0,0.0,1.0
AFG,Afghanistan,440.8733252887489,88.17466505774979,0.0001556874157186948,0.8187234815878762,,155.9958548305105,8.41158340680167,38.665327960576036,6.827023367942802e-05,0.0539218392433623,0.2,Asia,0.0,0.0,0.0
AGO,Angola,5758.742802351439,1439.6857005878599,0.0025420107467931056,1.1249544663752724,,0.0,0.0,0.0,0.0,0.3289506417448939,0.25,Africa,0.0,0.0,0.0
AIA,Anguilla,6263.915509409063,0.0,0.0,,,0.43708073029664973,,0.10833537724787463,1.9128459295631964e-07,,0.0,Caribbean/American isl.,1.0,0.0,1.0
ALB,Albania,433.7907340150841,65.06861010226261,0.00011488973328783006,0.1235794699729429,0.01994067361909806,130.9419387045116,19.161679100173224,32.45543292996113,5.730560445665076e-05,0.1463372185393877,0.15,Europe,0.0,0.0,0.0
AND,Andorra,85.9431064984771,0.0,0.0,0.0,,1318.806384647206,23.763851473089257,326.881002282328,0.0005771641826996599,0.0180192117279189,0.0,Europe,0.0,0.0,0.0
ARE,United Arab Emirates,11094.210099118785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2492701005038457,0.0,Asia,0.0,0.0,0.0
ARG,Argentina,6439.894639989613,1931.9683919968838,0.0034112198328533475,0.06461568427202888,0.034527059884486885,0.0,0.0,0.0,0.0,0.2095254783585036,0.3,Latin America,0.0,0.0,0.0
ARM,Armenia,189.00802545238764,34.021444581429776,6.007066522374115e-05,0.11199915394490091,0.011141788726319112,0.0,0.0,0.0,0.0,1.1526247041023183,0.18,Asia,0.0,0.0,0.0
ASM,American Samoa,1094.3028594261912,372.062972204905,0.0006569406596470772,,,0.0,0.0,0.0,0.0,0.1657637529790511,0.34,Oceania,0.0,0.0,1.0
ATG,Antigua and Barbuda,195.36682179354784,48.84170544838696,8.623836445052344e-05,0.8454001926320218,,0.0,0.0,0.0,0.0,0.2601633924412352,0.25,Caribbean/American isl.,0.0,0.0,0.0
AUS,Australia,161920.01315510608,48576.00394653182,0.08576922311441165,0.3493093296097683,0.13530806981549798,0.0,0.0,0.0,0.0,0.2264160483588662,0.3,Oceania,0.0,1.0,0.0
AUT,Austria,5056.230712633238,1264.0576781583095,0.0022319095071463954,0.027801720740880158,0.010202150947774977,9113.487245744624,913.778572754456,2258.8803632256718,0.0039884386965119735,0.1002666211203761,0.25,Europe,0.0,1.0,0.0
AZE,Azerbaijan,1296.9630994495626,259.3926198899125,0.00045800192856658623,0.31938460280821207,0.03525173303816018,871.2754752943176,90.93653658577384,215.95543056489373,0.00038130615946253935,0.1043717390932591,0.2,Asia,0.0,0.0,0.0
BDI,,-0.0,,,,,0.0,,0.0,0.0,,,,,,
BEL,Belgium,20918.795272861305,5229.698818215326,0.009233925566508238,0.1026861703060142,0.03762190310951706,0.0,0.0,0.0,0.0,0.1532038551280006,0.25,Europe,0.0,1.0,0.0
BEN,Benin,3635.388046330526,1090.6164138991578,0.001925669362159111,19.40014567797979,,1015.7628820093518,149.28012921049057,251.76826016142263,0.00044453982058056957,0.1469635599552418,0.3,Africa,0.0,0.0,0.0
BFA,Burkina Faso,3717.283388818992,1022.2529319252229,0.0018049619704034103,1.896842343877279,0.3256043268836033,0.0,0.0,0.0,0.0,0.3029753708306352,0.275,Africa,0.0,0.0,0.0
BGD,Bangladesh,867.3573501365561,281.8911387943807,0.0004977269024402125,0.17015970905279307,0.008860881529884327,0.0,0.0,0.0,0.0,0.2861135861162923,0.325,Asia,0.0,0.0,0.0
BGR,Bulgaria,1022.8460506941727,102.28460506941728,0.00018060092227892467,0.022632125230975776,0.0058868744236951695,3687.7354155083613,361.4136400458947,914.0467189168792,0.001613905438950275,0.0980042219205884,0.1,Europe,0.0,0.0,0.0
BHR,Bahrain,676.2445523240174,0.0,0.0,0.0,,833.2084164903612,7.069589413122858,206.52008169136948,0.0003646464411459323,0.0084847791659395,0.0,Asia,0.0,0.0,0.0
BHS,Bahamas,2163.425369337659,0.0,0.0,0.0,0.0,182.73221535313908,0.47170009310248007,45.29223576657398,7.997117010879964e-05,0.002581373471508,0.0,Caribbean/American isl.,0.0,0.0,0.0
BIH,Bosnia and Herzegovina,115.045012785506,11.5045012785506,2.0313159931108128e-05,0.007446461697617391,0.00254465257486386,1968.6735047757584,192.03414149733914,487.9578806254505,0.0008615728947129213,0.0975449413178407,0.1,Europe,0.0,0.0,0.0
BLR,Belarus,211.10190330507817,37.99834259491407,6.709255721381186e-05,0.011431734262094219,0.004252437548866547,0.0,0.0,0.0,0.0,0.1944919961333555,0.18,Europe,0.0,0.0,0.0
BLZ,Belize,375.0357973349265,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.3768811983783796,0.0,Caribbean/American isl.,0.0,0.0,0.0
BMU,Bermuda,24428.73732084348,0.0,0.0,,,151650.87000515018,1489.1967488348514,37588.37457973899,0.06636868873335744,0.0098199024429222,0.0,Caribbean/American isl.,1.0,0.0,1.0
BOL,Bolivia,472.6918424707738,118.17296061769345,0.00020865452490628723,0.049717233443970096,,0.0,0.0,0.0,0.0,0.1542792921134422,0.25,Latin America,0.0,0.0,0.0
