iso_partner,partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,oecd,oecd_oct
ABW,Aruba,4103.095137438948,1025.773784359737,0.002677298574072253,,,28800.92631256063,4280.08456637471,7812.853484155654,0.02039176844982587,0.1486092676299819,0.25,Caribbean/American isl.,0.0,0.0,1.0
AFG,Afghanistan,73.16900711831354,14.63380142366271,3.8194635388623525e-05,0.12041424116325658,0.007883309894214884,0.0,0.0,0.0,0.0,0.1503432686517048,0.2,Asia,0.0,0.0,0.0
AGO,Angola,533.368587766235,160.0105763298705,0.0004176321274498511,0.10142142804327846,0.02354129780004919,0.0,0.0,0.0,0.0,0.414815547790461,0.3,Africa,0.0,0.0,0.0
AIA,Anguilla,3398.8827417761304,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,Caribbean/American isl.,1.0,0.0,1.0
ALB,Albania,172.04473570986212,25.806710356479318,6.735624354255011e-05,0.0714412613870325,0.010494376451197536,0.0,0.0,0.0,0.0,0.1661789623585953,0.15,Europe,0.0,0.0,0.0
AND,Andorra,176.54903691275734,0.0,0.0,0.0,,0.21685938134139027,0.012395431428540667,0.05882764167713621,1.5354180773545248e-07,0.0571588434490053,0.0,Europe,0.0,0.0,0.0
ARE,United Arab Emirates,5088.355830712694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5804024517938071,0.0,Asia,0.0,0.0,0.0
ARG,Argentina,5255.057144922817,1839.270000722986,0.004800546694945158,0.043326320930786845,0.026122088897632144,0.0,0.0,0.0,0.0,0.2437689571834182,0.35,Latin America,0.0,0.0,0.0
ARM,Armenia,157.79097664148722,31.558195328297444,8.236778190376686e-05,0.1994639262510429,0.013174052403384283,0.0,0.0,0.0,0.0,0.2530673552993781,0.2,Asia,0.0,0.0,0.0
ASM,American Samoa,373.5753498114573,127.01561893589547,0.00033151435593982746,,,25373.974418597147,2329.343822507352,6883.221126007866,0.01796540171592263,0.0918005111883507,0.34,Oceania,0.0,0.0,1.0
ATG,Antigua and Barbuda,95.68511971300556,23.92127992825139,6.24352168269397e-05,0.5951165750703902,,3445.9669446734597,31.476468387448794,934.7905882539511,0.0024398298602947813,0.0091342920268295,0.25,Caribbean/American isl.,0.0,0.0,0.0
AUS,Australia,71028.59758777246,21308.579276331737,0.0556159942687923,0.20918287846980993,0.07270289376794514,0.0,0.0,0.0,0.0,0.2610748729476487,0.3,Oceania,0.0,1.0,0.0
AUT,Austria,8524.667482256626,2131.1668705641564,0.005562405776662391,0.06664310801861782,0.020090739634444982,7764.617470989694,814.1353217276147,2106.314845675677,0.005497541289178667,0.1048519550086533,0.25,Europe,0.0,1.0,0.0
AZE,Azerbaijan,137.0877935814002,27.41755871628004,7.156060329759397e-05,0.0667931098718599,0.00509648334737954,0.0,0.0,0.0,0.0,0.2711071297930509,0.2,Asia,0.0,0.0,0.0
BDI,Burundi,546.4299588828002,163.92898766484004,0.0004278592918009956,2.566280321428976,0.41889640370407366,6.61233980872659,,1.7937354358807627,4.681700193521671e-06,,0.3,Africa,0.0,0.0,0.0
BEL,Belgium,71748.33936440943,24387.260549962764,0.06365143942209196,0.5854260326875808,0.20686528746765465,0.0,0.0,0.0,0.0,0.1944803055207414,0.3399,Europe,0.0,1.0,0.0
BEN,Benin,237.2542038509391,71.17626115528172,0.00018577205364803999,1.2300599978984312,,0.0,0.0,0.0,0.0,0.2064669106077483,0.3,Africa,0.0,0.0,0.0
BFA,Burkina Faso,365.43505451470594,100.49463999154415,0.00026229385119176413,0.2716411250743713,0.046680396870830886,1976.872363460094,133.00842356867196,536.2679646124559,0.0013996745470286295,0.0672822515136329,0.275,Africa,0.0,0.0,0.0
BGD,Bangladesh,1449.293134476581,362.32328361914523,0.0009456740125135818,0.2495290800563686,0.01762883420921151,0.0,0.0,0.0,0.0,0.388354319997277,0.25,Asia,0.0,0.0,0.0
BGR,Bulgaria,1726.7813005194885,172.67813005194887,0.00045069480075483605,0.07086806832023244,0.014186186262662322,203.06932244439787,18.893288532503995,55.08679985382681,0.00014377810482933128,0.093038615114684,0.1,Europe,0.0,0.0,0.0
BHR,Bahrain,156.90831676017254,0.0,0.0,0.0,0.0,110.87416946410868,0.8523235110520069,30.076936824866653,7.850165533713502e-05,0.0076873045829481,0.0,Asia,0.0,0.0,0.0
BHS,Bahamas,619.501047732018,0.0,0.0,0.0,0.0,783.3649314924164,3.750668669815413,212.50411767855863,0.00055464175427373,0.0047878945291435,0.0,Caribbean/American isl.,0.0,0.0,0.0
BIH,Bosnia and Herzegovina,296.22221066087616,29.62222106608762,7.731483435267481e-05,0.026139405131820184,0.008086849401457884,28.572372827549405,3.1746332403469757,7.750853572336598,2.0229946927345284e-05,0.1111084913915866,0.1,Europe,0.0,0.0,0.0
BLR,Belarus,409.17646643680644,73.65176395862515,0.00019223318594305185,0.033810543510860394,0.010337519656308934,0.0,0.0,0.0,0.0,0.1916221864152028,0.18,Europe,0.0,0.0,0.0
BLZ,Belize,35.110244699372785,8.777561174843196,2.2909682793178307e-05,0.12042448976436797,0.018145875264873056,0.0,0.0,0.0,0.0,0.4362164329253492,0.25,Caribbean/American isl.,0.0,0.0,0.0
BMU,Bermuda,532.5186130143503,0.0,0.0,,,125148.72616282423,1829.9485261709933,33949.20880765004,0.08860839467479206,0.0146221905909785,0.0,Caribbean/American isl.,1.0,0.0,1.0
BOL,Bolivia,657.9407246437474,164.48518116093686,0.00042931097254845954,0.09859866488866936,,0.0,0.0,0.0,0.0,0.1849321302342655,0.25,Latin America,0.0,0.0,0.0
BRA,Brazil,26610.196516123306,9047.466815481925,0.023614144145022237,0.11091147803113983,0.03222652906541834,0.0,0.0,0.0,0.0,0.23730264998119,0.34,Latin America,0.0,0.0,0.0
BRB,Barbados,3794.52639323442,948.631598308605,0.002475955287799418,6.358064301861443,,5423.418295431294,72.99149436234968,1471.215615277433,0.003839914344656078,0.013458577300563,0.25,Caribbean/American isl.,0.0,0.0,0.0
BRN,Brunei Darussalam,262.3750154411868,48.53937785661956,0.00012668914833205278,0.18637275368063047,,29.422081004860217,2.4124929225089797,7.981354682668007,2.0831561341187557e-05,0.081995998927148,0.185,Asia,0.0,0.0,0.0
BTN,Bhutan,58.55754721612764,17.567264164838292,4.585105606713169e-05,0.3015549850888219,0.05716385687336289,0.0,0.0,0.0,0.0,0.1912868880717252,0.3,Asia,0.0,0.0,0.0
