iso_partner,partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,oecd,oecd_oct
ABW,Aruba,1117.102236202478,279.2755590506195,0.0009280387231636252,,,26983.734306946208,4010.032993277293,3937.883378984419,0.013085671640666456,0.1486092676299819,0.25,Caribbean/American isl.,0.0,0.0,1.0
AFG,Afghanistan,33.498123672214724,6.699624734442946,2.2262997898433822e-05,0.06584730139522643,,730.1926110656387,97.5095933654499,106.5609864766723,0.00035410446286473173,0.1335395509181406,0.2,Asia,0.0,0.0,0.0
AGO,Angola,378.33783515650697,113.50135054695208,0.0003771674427830915,0.1014449015046393,0.014811911454090073,0.0,0.0,0.0,0.0,0.4067795756096148,0.3,Africa,0.0,0.0,0.0
AIA,Anguilla,1220.5300465477208,0.0,0.0,,,5776.62284936943,0.0,843.0140486277224,0.002801353917102594,0.0,0.0,Caribbean/American isl.,1.0,0.0,1.0
ALB,Albania,184.2419974732437,27.636299620986556,9.1836021384811e-05,0.06343282446610274,0.0098318139620054,0.0,0.0,0.0,0.0,0.154474002265593,0.15,Europe,0.0,0.0,0.0
AND,Andorra,143.83228071496728,0.0,0.0,0.0,,71.01123261045191,2.7113081270827166,10.363056107690438,3.443665958792647e-05,0.0381813978917421,0.0,Europe,0.0,0.0,0.0
ARE,United Arab Emirates,4413.226130197473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5185928948000367,0.0,Asia,0.0,0.0,0.0
ARG,Argentina,7383.562331047795,2215.0686993143386,0.00736072119744211,0.06998543943355244,0.0422384071945202,0.0,0.0,0.0,0.0,0.2454466313381469,0.3,Latin America,0.0,0.0,0.0
ARM,Armenia,51.14600803948739,10.22920160789748,3.3991858189981556e-05,0.06650291859988072,0.00393433075640073,0.0,0.0,0.0,0.0,0.2707375064558568,0.2,Asia,0.0,0.0,0.0
ASM,American Samoa,331.42763526680915,112.68539599071512,0.000374456008144472,,,341819.00700900337,31379.15957732094,49883.51022916839,0.16576398341970974,0.0918005111883507,0.34,Oceania,0.0,0.0,1.0
ATG,Antigua and Barbuda,29.158551121246344,7.289637780311586,2.4223624011220756e-05,0.155835481985531,,1730.8811151414593,24.13931058026201,252.5969125244084,0.0008393850037257883,0.0139462556781603,0.25,Caribbean/American isl.,0.0,0.0,0.0
AUS,Australia,44544.32053264285,13363.296159792855,0.04440652217311899,0.12779104705129662,0.04032714004189486,0.0,0.0,0.0,0.0,0.246258374576379,0.3,Oceania,0.0,1.0,0.0
AUT,Austria,4346.700257958156,1086.675064489539,0.0036110447429444853,0.030988989796814595,0.00939645116133055,6201.389415824959,651.9139488092399,905.0025481795774,0.0030073430418598567,0.1051238529136163,0.25,Europe,0.0,1.0,0.0
AZE,Azerbaijan,62.63976997961429,12.527953995922859,4.1630662095001166e-05,0.02992340955468524,0.002050037079209514,0.0,0.0,0.0,0.0,0.3406300749452847,0.2,Asia,0.0,0.0,0.0
BDI,,5975.100247605977,,,,,1013.2820923727712,,147.8737770090676,0.0004913877593563564,,,,,,
BEL,Belgium,44348.057205466,13118.155321376844,0.04359191386492249,0.29021118576624705,0.10056980043085498,0.0,0.0,0.0,0.0,0.177501438852385,0.2958,Europe,0.0,1.0,0.0
BEN,Benin,75.25783705376631,22.577351116129893,7.502502608340426e-05,0.3526730660933696,,0.0,0.0,0.0,0.0,0.2025477029299151,0.3,Africa,0.0,0.0,0.0
BFA,Burkina Faso,212.7499318508418,58.506231258981494,0.00019441747190222127,0.17304780738257192,0.024076891964882857,76.20136000705162,5.177660850191618,11.120479679142536,3.695359449814191e-05,0.0679470924103255,0.275,Africa,0.0,0.0,0.0
BGD,Bangladesh,938.6098844772687,234.65247111931717,0.0007797552368171599,0.15279234234941724,0.009443881899381312,0.0,0.0,0.0,0.0,0.3698279328257892,0.25,Asia,0.0,0.0,0.0
BGR,Bulgaria,1481.1188802061488,148.11188802061488,0.0004921790073978203,0.052833750012984564,0.011206947062129513,623.4824374444585,60.37665671654216,90.98818938745637,0.00030235572131394437,0.0968377825749433,0.1,Europe,0.0,0.0,0.0
BHR,Bahrain,206.7904651995623,0.0,0.0,0.0,0.0,277.7450627556593,1.6032765877208912,40.532850411995994,0.00013469153860224827,0.0057724755637919,0.0,Asia,0.0,0.0,0.0
BHS,Bahamas,763.9701316086412,0.0,0.0,0.0,0.0,2056.0828440198225,9.833396907301331,300.0553728101461,0.0009970904937321825,0.0047825878883733,0.0,Caribbean/American isl.,0.0,0.0,0.0
BIH,Bosnia and Herzegovina,240.8831833311877,24.08831833311877,8.004600282609979e-05,0.019211531897129812,0.0058386044923814185,169.6055344368941,20.859112958343424,24.751459803355903,8.22496362747546e-05,0.1229860395039442,0.1,Europe,0.0,0.0,0.0
BLR,Belarus,163.08232561459056,29.3548186106263,9.754669715715326e-05,0.012538230618533968,0.0033327095918545867,0.0,0.0,0.0,0.0,0.1718661864183185,0.18,Europe,0.0,0.0,0.0
BLZ,Belize,69.46743641121809,17.366859102804522,5.77104484256283e-05,0.23109095919566794,,0.0,0.0,0.0,0.0,0.4362164329253492,0.25,Caribbean/American isl.,0.0,0.0,0.0
BMU,Bermuda,103.55934370966298,0.0,0.0,,,277405.6614235944,3693.5786222390307,40483.319726245085,0.13452694706220103,0.0133147196898732,0.0,Caribbean/American isl.,1.0,0.0,1.0
BOL,Bolivia,422.3514082246269,105.58785205615672,0.00035087071613747813,0.05462374178903427,,0.0,0.0,0.0,0.0,0.1803012214154798,0.25,Latin America,0.0,0.0,0.0
BRA,Brazil,34025.06405824425,11568.521779803046,0.038442448089319084,0.15516945285653433,0.043291695305074616,0.0,0.0,0.0,0.0,0.2309993167112489,0.34,Latin America,0.0,0.0,0.0
BRB,Barbados,2952.564491868459,738.1411229671147,0.0024528589168406356,4.943388221365275,,4797.564792686502,63.83543100407894,700.1347716300974,0.0023265629893100756,0.0133057986212903,0.25,Caribbean/American isl.,0.0,0.0,0.0
BRN,Brunei Darussalam,1698.647718860489,314.24982798919046,0.0010442589753033751,1.0089672850176348,,438.29752683603624,31.591000694432317,63.96314632898321,0.00021255091870720584,0.0720766117994781,0.185,Asia,0.0,0.0,0.0
BTN,Bhutan,125.28693470829607,37.58608041248882,0.00012489935815833108,0.60962316472022,0.09206160002271435,0.0,0.0,0.0,0.0,0.1912868880717252,0.3,Asia,0.0,0.0,0.0
BWA,Botswana,640.5339837613192,140.91747642749021,0.0004682718220662646,0.1997264517450389,0.03805670974021253,0.0,0.0,0.0,0.0,0.1846859153047687,0.22,Africa,0.0,0.0,0.0
CAF,Central African Republic,50.31371963517438,15.094115890552313,5.015807357425422e-05,0.9620474764204534,0.0786607288082105,0.0,0.0,0.0,0.0,0.2494484767077273,0.3,Africa,0.0,0.0,0.0
CAN,Canada,20014.777372228957,5359.9573802829145,0.017811254304955518,0.04088040105725308,0.023791574772981553,56722.01380239188,6302.741013985211,8277.752546557827,0.027507150751346535,0.1111163125474123,0.2678,Northern America,0.0,1.0,0.0
CHE,Switzerland,6343.043463426142,1341.463684727883,0.004457712838808029,0.05019221358667803,0.019077905951193498,66948.91517121122,5119.870234573991,9770.21998863532,0.032466652341880745,0.0764742822416276,0.21148581,Europe,0.0,1.0,0.0
CHL,Chile,7625.231307960192,2058.8124531492517,0.006841478311776256,0.1486452535515141,0.03782874520401412,0.0,0.0,0.0,0.0,0.1927717359064351,0.27,Latin America,0.0,1.0,0.0
CHN,China (People’s Republic of),15908.438694787268,3977.109673696817,0.013216021466419507,0.00985488974511168,0.0031618004162046027,0.0,0.0,0.0,0.0,0.1769036715986376,0.25,Asia,0.0,0.0,0.0
CIV,Côte d’Ivoire,883.1088882795049,220.77722206987622,0.0007336474841187344,0.41980983636753794,0.03233775429232371,0.0,0.0,0.0,0.0,0.2615446314520239,0.25,Africa,0.0,0.0,0.0
CMR,Cameroon,266.84167729414764,88.05775350706872,0.0002926178195011513,0.6269990971992232,0.017849700198373862,0.0,0.0,0.0,0.0,0.3949722858481935,0.33,Africa,0.0,0.0,0.0
COD,Democratic Republic of the Congo,935.8192819279502,262.0293989398261,0.0008707293600990427,1.1161143173192516,0.07550905820334948,0.0,0.0,0.0,0.0,0.1781356584615177,0.28,Africa,0.0,0.0,0.0
COG,Congo,576.277060343593,172.8831181030779,0.0005744943407376583,1.886635787173391,0.17137013641267193,0.0,0.0,0.0,0.0,0.2424599052642704,0.3,Africa,0.0,0.0,0.0
COK,Cook Islands,934.5637625705839,0.0,0.0,0.0,,2508.1261306762563,2.65977353274643,366.02451276894055,0.0012163073726587966,0.0010604624305833,0.0,Oceania,0.0,0.0,0.0
COL,Colombia,7390.51573447368,2734.4908217552615,0.009086772144870855,0.14983324807702939,0.056005000758555794,0.0,0.0,0.0,0.0,0.4329481075155686,0.37,Latin America,0.0,1.0,0.0
COM,Comoros,49.15355220530687,24.576776102653437,8.166915855909445e-05,2.7240628561659492,,38.13451270408749,,5.565177229915113,1.8493204303974143e-05,,0.5,Africa,0.0,0.0,0.0
CPV,Cabo Verde,246.52392877142182,62.86360183671257,0.0002088971085773925,0.9961167671092681,0.1505856553494182,390.24493961513576,36.61094134318571,56.950570442269395,0.00018924797736096963,0.0938152878530388,0.255,Africa,0.0,0.0,0.0
CRI,Costa Rica,1010.2094137660371,303.06282412981113,0.0010070843195154578,0.09204995910211702,0.03683168160342849,658.8803200384543,92.41309493053421,96.15399527379198,0.0003195218060052191,0.1402577860045064,0.3,Latin America,0.0,0.0,0.0
CUB,Cuba,1769.3924103554261,619.2873436243991,0.002057905237401782,0.06330607335945197,,6.63901278833716,,0.9688673114946863,3.2195670316840367e-06,,0.35,Latin America,0.0,0.0,0.0
CYM,Cayman Islands,7949.817183678935,0.0,0.0,,,52030.18753030744,386.8734222122162,7593.04877339743,0.02523186530370764,0.0074355569444539,0.0,Caribbean/American isl.,1.0,0.0,1.0
CYP,Cyprus,967.401854504785,120.92523181309812,0.00040183716080128645,0.1647602216463135,0.019700859206510445,649.9513578951263,25.06606089597981,94.85094317522676,0.00031519173569803205,0.0385660566617731,0.125,Europe,0.0,0.0,0.0
CZE,Czechia,5552.792624983465,1055.0305987468585,0.003505889498844842,0.06709036527224922,0.02856432467752496,0.0,0.0,0.0,0.0,0.1690602050722,0.19,Europe,0.0,1.0,0.0
DEU,Germany,34436.62621172946,10295.538456130222,0.03421229697145564,0.02920343385158707,0.022610102097814812,0.0,0.0,0.0,0.0,0.1520670975341086,0.29897059,Europe,0.0,1.0,0.0
DJI,Djibouti,28.09076074119286,7.022690185298215,2.3336551379193884e-05,0.20851829632249486,,41.487539055194794,,6.054502635625296,2.0119243210746117e-05,,0.25,Africa,0.0,0.0,0.0
DMA,Dominica,65.5803436111245,16.395085902781126,5.448122506351203e-05,0.719572066014187,,0.0,0.0,0.0,0.0,0.244656904681424,0.25,Caribbean/American isl.,0.0,0.0,0.0
DNK,Denmark,3273.1221062553323,720.0868633761731,0.002392864221725174,0.0238619661704606,0.006260065966686672,24538.350177809018,2871.381000899396,3581.0151483747386,0.011899790791663693,0.1170160577256778,0.22,Europe,0.0,1.0,0.0
