iso_partner,partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,oecd,oecd_oct
ABW,Aruba,404.4526881177746,101.11317202944365,0.00029060318203660325,,,1273.2420623113367,89.10071825413218,192.05803230614896,0.0005519822413206784,0.0699794021039379,0.25,Caribbean/American isl.,0.0,0.0,1.0
AFG,Afghanistan,134.03699135352295,26.807398270704592,7.704550340207693e-05,0.11219112717228102,,833.1806479164821,50.23099222519563,125.6784083176743,0.00036120462485121597,0.060288236831721,0.2,Asia,0.0,0.0,0.0
AGO,Angola,2085.598808100126,625.6796424300378,0.0017982275837686778,0.6439881035896805,,0.0,0.0,0.0,0.0,0.3104050510657583,0.3,Africa,0.0,0.0,0.0
AIA,Anguilla,589.7319420773699,0.0,0.0,,,26332.213480650677,0.0,3971.996572418129,0.011415672358167843,0.0,0.0,Caribbean/American isl.,1.0,0.0,1.0
ALB,Albania,3988.273682778218,598.2410524167326,0.0017193680107929399,1.3195539356656043,0.23231517146682898,0.0,0.0,0.0,0.0,0.1575415118224432,0.15,Europe,0.0,0.0,0.0
AND,Andorra,6097.643809559129,0.0,0.0,0.0,,2213.1839905510537,49.00620018089853,333.8404965863979,0.0009594705482331886,0.022142849573341,0.0,Europe,0.0,0.0,0.0
ARE,United Arab Emirates,714.7935556921162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3079401086680354,0.0,Asia,0.0,0.0,0.0
ARG,Argentina,7345.690304093426,2203.707091228028,0.006333539737048399,0.0854387261567521,0.05257666821778999,0.0,0.0,0.0,0.0,0.193110428010937,0.3,Latin America,0.0,0.0,0.0
ARM,Armenia,79.18990029815525,14.254182053667945,4.096707262747854e-05,0.04784380859255421,0.005157964902827014,0.0,0.0,0.0,0.0,0.7520839832976276,0.18,Asia,0.0,0.0,0.0
ASM,,260909.95978392044,,,,,30673.202347678565,,4626.798832524748,0.013297599475797306,,,,,,
ATG,Antigua and Barbuda,624.1412572628777,156.03531431571943,0.000448451551267975,3.0873275530892683,,81.5316106158773,1.1370606875012335,12.298368997652222,3.53459899718835e-05,0.0139462556781603,0.25,Caribbean/American isl.,0.0,0.0,0.0
AUS,Australia,66664.96020797829,19999.488062393488,0.057479305152668025,0.17745219213525143,0.06664251894599516,0.0,0.0,0.0,0.0,0.2441466585383579,0.3,Oceania,0.0,1.0,0.0
AUT,Austria,1294.6483612292739,323.66209030731846,0.0009302174134200458,0.008511563977938983,0.0030452056387586836,8887.812500412549,907.6259223727004,1340.652991966451,0.003853088748505431,0.1021202823901349,0.25,Europe,0.0,1.0,0.0
AZE,Azerbaijan,129.8168938052272,25.963378761045444,7.461975856305141e-05,0.026120952511120107,0.004004731149059749,328.01410054790466,34.329763415591835,49.47821359713884,0.00014220230682337136,0.1046594135991363,0.2,Asia,0.0,0.0,0.0
BDI,,8281.858906204196,,,,,3947.386622353635,,595.4306175407165,0.001711290711846774,,,,,,
BEL,Belgium,3699.0153432332586,924.7538358083146,0.002657778426812642,0.020184061447562792,0.007985819138085486,0.0,0.0,0.0,0.0,0.1677587380527067,0.25,Europe,0.0,1.0,0.0
BEN,Benin,6878.469891080247,2063.5409673240742,0.005930696855130259,47.66444047029294,,0.0,0.0,0.0,0.0,0.1641918856038742,0.3,Africa,0.0,0.0,0.0
BFA,Burkina Faso,89.21674305077818,24.534604338964,7.05134054031637e-05,0.048416117607755695,0.010305409432400868,0.0,0.0,0.0,0.0,0.2714608102913643,0.275,Africa,0.0,0.0,0.0
BGD,Bangladesh,560.492163498101,140.12304087452526,0.0004027190596189045,0.09153800274771434,0.005351412776696659,0.0,0.0,0.0,0.0,0.3120137264447936,0.25,Asia,0.0,0.0,0.0
BGR,Bulgaria,895.6382076332844,89.56382076332845,0.0002574098981050674,0.025132346173008354,0.006276579529519667,3305.5710059611497,308.0890163408613,498.61804117646074,0.00143304760871851,0.0932029642640453,0.1,Europe,0.0,0.0,0.0
BHR,Bahrain,202.35006330123292,0.0,0.0,0.0,0.0,1227.3184584715434,9.729721948316909,185.13083656627,0.0005320732118223948,0.0079276261846774,0.0,Asia,0.0,0.0,0.0
BHS,Bahamas,421.17444066346195,0.0,0.0,0.0,0.0,6320.496880010374,47.79894216569505,953.3946685427044,0.002740093292044722,0.0075625291924227,0.0,Caribbean/American isl.,0.0,0.0,0.0
BIH,Bosnia and Herzegovina,96.5461218216373,9.654612182163731,2.7747730242793094e-05,0.007068067367731698,0.002545703618719493,1009.5275732860517,99.44397932694012,152.278883193784,0.00043765542238362066,0.098505461325089,0.1,Europe,0.0,0.0,0.0
BLR,Belarus,130.16895223131607,23.430411401636892,6.733991203203137e-05,0.008407662695746268,0.003175425106977086,0.0,0.0,0.0,0.0,0.1964008207653353,0.18,Europe,0.0,0.0,0.0
BLZ,Belize,106.49245393690403,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.51386199559679,0.0,Caribbean/American isl.,0.0,0.0,0.0
BMU,Bermuda,4090.9974378517054,0.0,0.0,,,120095.67391625418,1261.877159927758,18115.438928372976,0.052064474795054126,0.0105072657388783,0.0,Caribbean/American isl.,1.0,0.0,1.0
BOL,Bolivia,400.10121002264617,100.02530250566154,0.0002874766027897405,0.047061802380763955,,0.0,0.0,0.0,0.0,0.158939625395599,0.25,Latin America,0.0,0.0,0.0
BRA,Brazil,13766.629971184464,4680.654190202718,0.013452381864647499,0.07001353801103385,0.024930009146932774,0.0,0.0,0.0,0.0,0.1874220425894946,0.34,Latin America,0.0,0.0,0.0
BRB,Barbados,472.1823717942594,25.970030448684266,7.463887577157092e-05,0.1512511234008037,,9405.914070664996,128.00646689718934,1418.8043278850719,0.004077698722087799,0.0136091469617412,0.055,Caribbean/American isl.,0.0,0.0,0.0
BRN,Brunei Darussalam,177.59584995887596,32.85523224239205,9.442721303818312e-05,0.12152942529009102,,123.52229378688033,5.839361323979815,18.63231618941706,5.355000011056926e-05,0.0472737442364435,0.185,Asia,0.0,0.0,0.0
BTN,,13455.231177358508,,,,,13671.723341161933,,2062.2663677722185,0.005927033606533095,,,,,,
BWA,Botswana,120.13071867687394,26.428758108912266,7.595727687673696e-05,0.03942528361680896,0.007930962504734705,0.0,0.0,0.0,0.0,0.2020331399392894,0.22,Africa,0.0,0.0,0.0
CAF,Central African Republic,9422.12743246438,2826.638229739314,0.0081238680138465,97.02370231758854,13.948435298087968,0.0,0.0,0.0,0.0,0.1819828044970885,0.3,Africa,0.0,0.0,0.0
CAN,Canada,29406.71877787047,7719.263679190998,0.022185463507160674,0.04877108586257112,0.03452687593104525,35219.29220020005,2981.319750799454,5312.538879611514,0.015268442994338249,0.0846501892727566,0.2625,Northern America,0.0,1.0,0.0
CHE,Switzerland,3088.366169760763,653.1456209884525,0.001877165872486395,0.020955594319388766,0.009419614819683857,167269.3683633983,12902.755971335895,25231.20049509587,0.0725154498005785,0.0771375900894432,0.21148581,Europe,0.0,1.0,0.0
CHL,Chile,5057.8108739064155,1365.6089359547323,0.003924813100418849,0.09815569296627626,0.03319007591829419,0.0,0.0,0.0,0.0,0.1903745423252771,0.27,Latin America,0.0,1.0,0.0
CHN,China (People’s Republic of),3721.8795446079257,930.4698861519814,0.002674206577420629,0.0020452258192590524,0.0007830059920103041,0.0,0.0,0.0,0.0,0.1782703891475472,0.25,Asia,0.0,0.0,0.0
CIV,Côte d’Ivoire,490.7295057303114,122.68237643257785,0.00035259391289532347,0.14615061106166194,0.016514212615094354,0.0,0.0,0.0,0.0,0.2225937493073973,0.25,Africa,0.0,0.0,0.0
CMR,Cameroon,838.4697320062071,276.69501156204836,0.0007952322056533985,1.1175855902548175,0.06242711495203239,0.0,0.0,0.0,0.0,0.3461413482219994,0.33,Africa,0.0,0.0,0.0
COD,Democratic Republic of the Congo,5857.51132019081,1640.103169653427,0.004713720185049834,5.174159519221713,0.5235859232072264,0.0,0.0,0.0,0.0,0.2575556560742608,0.28,Africa,0.0,0.0,0.0
COG,Congo,2679.6501647940486,803.8950494382145,0.002310425582556052,4.041326200672922,0.8420313609657508,0.0,0.0,0.0,0.0,0.1788312927346224,0.3,Africa,0.0,0.0,0.0
COK,Cook Islands,1066.142432811647,213.2284865623294,0.0006128269487759534,22.53157100555718,,1585.5635236379853,1.6814305481213596,239.16914109286898,0.0006873813970182841,0.0010604624305833,0.2,Oceania,0.0,0.0,0.0
COL,Colombia,5962.309582890707,1907.9390665250264,0.0054834909511360715,0.11368773255859613,0.05024717723158899,0.0,0.0,0.0,0.0,0.3083951918241752,0.32,Latin America,0.0,1.0,0.0
COM,Comoros,1979.4601177757288,989.7300588878644,0.002844522614584132,62.815225266268016,,791.0529205457399,,119.323789142066,0.00034294120262839375,,0.5,Africa,0.0,0.0,0.0
CPV,Cabo Verde,85.77185743776981,19.247204809035544,5.53172138758262e-05,0.257356541203876,0.05747018579156736,0.0,0.0,0.0,0.0,0.1568982785948836,0.2244,Africa,0.0,0.0,0.0
CRI,Costa Rica,912.8919587764549,273.8675876329365,0.0007871060795090511,0.07811127005800428,0.03575233289197798,1172.2916502547057,147.38713676399652,176.8304977516468,0.0005082177158163053,0.1257256560105785,0.3,Latin America,0.0,0.0,0.0
CUB,Cuba,546.6558883712686,191.329560929944,0.000549888586303248,0.015681125616647997,,2058.4810400079486,,310.50483626480303,0.0008924029544838198,,0.35,Latin America,0.0,0.0,0.0
CYM,Cayman Islands,30379.22382188491,0.0,0.0,,,62978.37910488725,565.6127375374149,9499.767504348836,0.027302700627053835,0.0089810621609587,0.0,Caribbean/American isl.,1.0,0.0,1.0
CYP,Cyprus,2420.6606549014587,302.58258186268233,0.000869634087758035,0.19205829621272644,0.053958160750898716,1697.9039333169803,33.732548308266054,256.11476256585695,0.0007360837710294971,0.0198671713083125,0.125,Europe,0.0,0.0,0.0
CZE,Czechia,2664.486224500911,506.25238265517305,0.0014549890025244703,0.025546431503698834,0.014325618022975984,0.0,0.0,0.0,0.0,0.1720232287891291,0.19,Europe,0.0,1.0,0.0
DEU,Germany,32101.97017624178,9576.123961094205,0.027522152048207776,0.024708467922606437,0.023344604135913754,0.0,0.0,0.0,0.0,0.1616035665442901,0.29830331,Europe,0.0,1.0,0.0
DJI,Djibouti,27.086255064544556,6.771563766136139,1.9461737163481555e-05,0.19768400880641313,,187.12449137999235,,28.226181552225864,8.112314163609806e-05,,0.25,Africa,0.0,0.0,0.0
