iso_partner,partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,oecd,oecd_oct
ABW,Aruba,2198.5725866311946,549.6431466577986,0.0012606632213776293,,,3617.7978164926835,397.0315578314328,698.8657694900822,0.0016029206906939648,0.1097439873564686,0.25,Caribbean/American isl.,0.0,0.0,1.0
AFG,Afghanistan,115.27568070816001,23.055136141632005,5.2879331570570804e-05,0.24535641569269617,,29.102798150504004,1.8350615214291968,5.621914340001553,1.2894440120414967e-05,0.0630544702931741,0.2,Asia,0.0,0.0,0.0
AGO,Angola,969.0614903807783,290.71844711423347,0.0006667927295764299,0.3061514907239432,0.04063788180021011,0.0,0.0,0.0,0.0,0.3606524057008044,0.3,Africa,0.0,0.0,0.0
AIA,Anguilla,8238.029607853878,0.0,0.0,,,407.4088105171842,0.0,78.70093529305078,0.00018050870863262135,0.0,0.0,Caribbean/American isl.,1.0,0.0,1.0
ALB,Albania,197.29707587962352,29.594561381943528,6.787817753006009e-05,0.06560745424781503,0.010590040619351364,0.0,0.0,0.0,0.0,0.1556556596133954,0.15,Europe,0.0,0.0,0.0
AND,Andorra,29.357187917506643,0.0,0.0,0.0,,277.2169530617704,10.345901162259144,53.551206851308024,0.00012282521368334407,0.0373205933042408,0.0,Europe,0.0,0.0,0.0
ARE,United Arab Emirates,3334.255172712153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3200448157696003,0.0,Asia,0.0,0.0,0.0
ARG,Argentina,8108.746515961714,2432.6239547885143,0.005579473827503903,0.0883255329998233,0.05128124704684304,0.0,0.0,0.0,0.0,0.2192394775039004,0.3,Latin America,0.0,0.0,0.0
ARM,Armenia,96.91487310920813,19.382974621841626,4.445685054973476e-05,0.10081649772288322,0.006386309643337521,0.0,0.0,0.0,0.0,0.2740124588819755,0.2,Asia,0.0,0.0,0.0
ASM,American Samoa,2989.60783440375,1016.4666636972751,0.002331371084077896,,,19893.76459472077,2606.2256533116456,3842.9651978237366,0.00881423686511793,0.1310071626163337,0.34,Oceania,0.0,0.0,1.0
ATG,Antigua and Barbuda,27.03659835053453,6.759149587633632,1.5502806402177467e-05,0.1566458610973926,,1131.3397572557176,15.777953513556048,218.54583094854905,0.0005012573938882924,0.0139462556781603,0.25,Caribbean/American isl.,0.0,0.0,0.0
AUS,Australia,107189.1894054364,32156.756821630916,0.07375483691612968,0.3101004725407028,0.0986358430834401,0.0,0.0,0.0,0.0,0.2352799147437294,0.3,Oceania,0.0,1.0,0.0
AUT,Austria,3151.8230888777784,787.9557722194446,0.0018072577965348644,0.022566920770567683,0.006927674430168575,6983.967370213435,722.5895560420347,1349.123410939985,0.003094353628556145,0.1034640509810904,0.25,Europe,0.0,1.0,0.0
AZE,Azerbaijan,311.27879752222935,62.25575950444588,0.00014279000257424955,0.12086100405918997,0.009088666184759094,792.329484399575,89.19833383289652,153.05773923580148,0.00035105370416255497,0.1125773249502267,0.2,Asia,0.0,0.0,0.0
BDI,,13029.546556654052,,,,,533.1386973516893,,102.98872542602243,0.00023621525921067976,,,,,,
BEL,Belgium,81531.00050743553,24116.86995009943,0.055314527517917725,0.5541993659554104,0.19883895220631428,0.0,0.0,0.0,0.0,0.1757175677122987,0.2958,Europe,0.0,1.0,0.0
BEN,Benin,279.27728734908413,83.78318620472524,0.00019216537504449213,1.8692222299494379,,0.0,0.0,0.0,0.0,0.1700432177819298,0.3,Africa,0.0,0.0,0.0
BFA,Burkina Faso,863.3063021845658,237.4092331007556,0.0005445225514144861,0.6598264388761766,0.09467476515843357,0.0,0.0,0.0,0.0,0.1714533287691917,0.275,Africa,0.0,0.0,0.0
BGD,Bangladesh,793.8449254979929,198.46123137449823,0.00045519129417784417,0.1271013386270321,0.007397177637278631,0.0,0.0,0.0,0.0,0.3184675926448489,0.25,Asia,0.0,0.0,0.0
BGR,Bulgaria,1614.6124530667119,161.4612453066712,0.00037032801168114716,0.05587025978907026,0.011444034154373044,611.8111877808809,57.92727645883898,118.18623323335495,0.0002710723101278117,0.0946816233762393,0.1,Europe,0.0,0.0,0.0
BHR,Bahrain,218.1302850442247,0.0,0.0,0.0,0.0,479.6681491674768,4.160176598335008,92.65958662466073,0.00021252431450489894,0.0086730307308407,0.0,Asia,0.0,0.0,0.0
BHS,Bahamas,1447.5391891839986,0.0,0.0,0.0,0.0,1582.5380402743044,6.642019223944172,305.70576946608793,0.0007011676984827136,0.0041970676564545,0.0,Caribbean/American isl.,0.0,0.0,0.0
BIH,Bosnia and Herzegovina,149.2928409628471,14.92928409628471,3.424185218378007e-05,0.011882797613929668,0.003676254166707509,235.76483713259483,23.799676743091226,45.5437209813762,0.00010445921932262665,0.1009466764957245,0.1,Europe,0.0,0.0,0.0
BLR,Belarus,230.80488988059116,41.54488017850641,9.528746568760733e-05,0.015635601563983116,0.004849112297185099,0.0,0.0,0.0,0.0,0.1954107358334425,0.18,Europe,0.0,0.0,0.0
BLZ,Belize,1015.9520705827154,253.98801764567884,0.0005825477029296396,3.1937274854230595,,0.0,0.0,0.0,0.0,0.4528789421911832,0.25,Caribbean/American isl.,0.0,0.0,0.0
BMU,Bermuda,1279.9673158014805,0.0,0.0,,,296503.33495642466,3666.032044586027,57276.841286168215,0.13137034034759124,0.0123642185850112,0.0,Caribbean/American isl.,1.0,0.0,1.0
BOL,Bolivia,737.9306832552957,184.48267081382392,0.0004231300244361996,0.09212663820298246,,0.0,0.0,0.0,0.0,0.1610299900034445,0.25,Latin America,0.0,0.0,0.0
BRA,Brazil,32419.674273570443,11022.689253013952,0.025281674167040177,0.15021984460498555,0.042832073633341496,0.0,0.0,0.0,0.0,0.1942691916882188,0.34,Latin America,0.0,0.0,0.0
BRB,Barbados,366.6251315067826,20.164382232873045,4.624908946351344e-05,0.1367791547343228,,34043.71670480417,462.94294295983934,6576.373108177381,0.015083589703516734,0.0135984841776841,0.055,Caribbean/American isl.,0.0,0.0,0.0
BRN,Brunei Darussalam,109.68374229351164,20.291492324299654,4.6540629562397336e-05,0.07272878096912426,,111.22074914239234,5.331098943597029,21.484996778514315,4.927805507043438e-05,0.0479325933758259,0.185,Asia,0.0,0.0,0.0
BTN,,13333.669024051384,,,,,54.82324899811523,,10.590445912247862,2.4290279503606914e-05,,,,,,
BWA,Botswana,581.4057551733846,127.90926613814462,0.0002933730884743562,0.17519263416732972,0.03624596525182152,0.0,0.0,0.0,0.0,0.1900995947693891,0.22,Africa,0.0,0.0,0.0
CAF,Central African Republic,102.67462686447733,30.802388059343198,7.0648452533497e-05,1.6508736750197677,0.1666994153159035,0.0,0.0,0.0,0.0,0.2225797152971148,0.3,Africa,0.0,0.0,0.0
CAN,Canada,25733.903246095557,6850.365044110637,0.015712018455308594,0.05133827914461064,0.03083249557608852,48208.676509801306,4175.461739568844,9312.680120356548,0.021359591930830306,0.0866122458001918,0.2662,Northern America,0.0,1.0,0.0
CHE,Switzerland,3684.042110653404,779.1226298456447,0.0017869980738628838,0.029000015760225744,0.010901812195233508,97733.27095279744,7454.563763226246,18879.561842244155,0.043302221441250434,0.0762745755928562,0.21148581,Europe,0.0,1.0,0.0
CHL,Chile,14742.071862719242,3980.3594029341957,0.009129364638958814,0.29980969625696685,0.08072290807059575,0.0,0.0,0.0,0.0,0.1866265140448579,0.27,Latin America,0.0,1.0,0.0
CHN,China (People’s Republic of),26948.916026538947,6737.229006634737,0.01545252928979178,0.01568592688836335,0.0055552025990235785,0.0,0.0,0.0,0.0,0.1784010293553301,0.25,Asia,0.0,0.0,0.0
CIV,Côte d’Ivoire,2944.339701744617,736.0849254361542,0.0016882866619013595,1.2654848100047784,0.10449867995923794,0.0,0.0,0.0,0.0,0.2498658023639186,0.25,Africa,0.0,0.0,0.0
CMR,Cameroon,314.5330394757195,103.79590302698743,0.00023806660425308406,0.6430566881603696,0.02175400849876493,0.0,0.0,0.0,0.0,0.3505881317879595,0.33,Africa,0.0,0.0,0.0
COD,Democratic Republic of the Congo,3261.8469003760474,913.3171321052934,0.0020947869993475526,3.2340493144193996,0.2766039500388753,0.0,0.0,0.0,0.0,0.2553230398618047,0.28,Africa,0.0,0.0,0.0
COG,Congo,1190.7258487793372,357.2177546338011,0.0008193157470046692,2.4831813283055046,0.3598961617642498,0.0,0.0,0.0,0.0,0.2241412133837366,0.3,Africa,0.0,0.0,0.0
COK,Cook Islands,3714.3858232576094,742.877164651522,0.0017038653627760635,81.74107542662446,,131.79934705674162,0.13976825592908412,25.46025421298897,5.839571781875255e-05,0.0010604624305833,0.2,Oceania,0.0,0.0,0.0
COL,Colombia,8851.034050727512,2920.8412367400792,0.006699250495583563,0.16633292086518442,0.06068219021195957,0.0,0.0,0.0,0.0,0.3770958861308095,0.33,Latin America,0.0,1.0,0.0
COM,,11361.56405932479,,,,,30.761137898886854,,5.942263055744085,1.362919292577215e-05,,,,,,
CPV,Cabo Verde,153.8987266679117,34.53487426427938,7.920929443878495e-05,0.5487860077902972,0.08414161379332932,126.28100145943137,14.929745515799459,24.394251346660955,5.595073034709115e-05,0.1182263788159436,0.2244,Africa,0.0,0.0,0.0
CRI,Costa Rica,1398.1373261719084,419.4411978515725,0.0009620316288438387,0.12430850521242565,0.04868531773346496,4710.273579263851,590.2400959730126,909.9040732664151,0.0020869587970371354,0.1253090900221678,0.3,Latin America,0.0,0.0,0.0
CUB,Cuba,525.5217934699444,183.93262771448053,0.00042186844388210517,0.018022309318503158,,569.9246355084548,,110.09482540185408,0.0002525138320964449,,0.35,Latin America,0.0,0.0,0.0
CYM,Cayman Islands,12828.932042546234,0.0,0.0,,,79044.49904855959,527.6491825476198,15269.370333437866,0.035021875029298453,0.0066753434951048,0.0,Caribbean/American isl.,1.0,0.0,1.0
CYP,Cyprus,1725.3310235684858,215.66637794606072,0.0004946530715748143,0.21718746823701227,0.035673880126982416,1116.9653654678234,23.243029202171805,215.7690670475919,0.0004948885996157329,0.0208090867637931,0.125,Europe,0.0,0.0,0.0
CZE,Czechia,4134.925823615574,785.635906486959,0.0018019369453148278,0.04832201035370543,0.02106360799269497,0.0,0.0,0.0,0.0,0.1720865001738323,0.19,Europe,0.0,1.0,0.0
DEU,Germany,37510.84793020919,11229.91550458906,0.02575696893866285,0.03194850034453322,0.025305341351466712,0.0,0.0,0.0,0.0,0.1549487191890227,0.29937781,Europe,0.0,1.0,0.0
DJI,Djibouti,54.09141725275872,13.52285431318968,3.101606048278413e-05,0.41875129689707097,,88.53126346028084,,17.101969955325032,3.9225131190813114e-05,,0.25,Africa,0.0,0.0,0.0
DMA,,11737.694371773603,,,,,381.1524504847717,,73.62887980824485,0.00016887542648335362,,,,,,
DNK,Denmark,8170.2131605982,1797.446895331604,0.0041226297591494,0.06103932387084529,0.014891914290031751,27325.69318206404,3043.8819479602125,5278.623229157366,0.012107066566685245,0.1113926709079112,0.22,Europe,0.0,1.0,0.0
DOM,Dominican Republic,804.5874932345622,217.2386231733318,0.0004982591780914869,0.09422451387814332,0.018360768346416492,0.0,0.0,0.0,0.0,0.1725526594268044,0.27,Latin America,0.0,0.0,0.0
DZA,Algeria,4198.170804626503,1091.5244092028909,0.00250352376134463,0.17222719921331317,,0.0,0.0,0.0,0.0,0.3707255160894564,0.26,Africa,0.0,0.0,0.0
ECU,Ecuador,1226.12210023588,306.53052505897,0.0007030593604617526,0.05820696812512094,0.02125908949188954,0.0,0.0,0.0,0.0,0.3158846892697216,0.25,Latin America,0.0,0.0,0.0
EGY,Egypt,2807.332003943189,631.6497008872176,0.0014487537078279285,0.14592526692960583,,0.0,0.0,0.0,0.0,0.2598453806484679,0.225,Africa,0.0,0.0,0.0
ESP,Spain,17481.523344826262,4370.380836206566,0.010023919004760054,0.04857982463277409,0.022798029883348583,2297.8222680090375,297.0649115082037,443.88034073181313,0.0010180853225512105,0.1292810656611825,0.25,Europe,0.0,1.0,0.0
EST,Estonia,507.6001154385854,101.52002308771709,0.00023284663898442666,0.06442562349876642,0.015339394454825284,299.06913868481956,12.943484985292006,57.77248877338562,0.00013250715895745237,0.0432792398514003,0.2,Europe,0.0,1.0,0.0
ETH,Ethiopia,1131.4299233310007,339.42897699930023,0.000778515351596406,0.501727154082484,0.05312334965828752,0.0,0.0,0.0,0.0,0.3281255112495136,0.3,Africa,0.0,0.0,0.0
FIN,Finland,3147.9127132312155,629.5825426462432,0.0014440124672921186,0.03187958589732819,0.0113442488594984,1914.4927902648662,232.5809193439447,369.83091508103803,0.000848245330822561,0.121484353728889,0.2,Europe,0.0,1.0,0.0
FJI,Fiji,5194.952963865817,1038.9905927731634,0.002383032037479302,7.2220508854172705,0.8336066557768852,0.0,0.0,0.0,0.0,0.1823310179982591,0.2,Oceania,0.0,0.0,0.0
FLK,,12553.697198653246,,,,,1184.872944848976,,228.88707007751992,0.0005249760919429074,,,,,,
FRA,France,49001.477734176915,16872.84200312999,0.038699602610900344,0.07418834650389405,0.025221994700610477,0.0,0.0,0.0,0.0,0.1795888352332315,0.34433333,Europe,0.0,1.0,0.0
FRO,Faroe Islands,15.10351042728149,2.7186318769106683,6.2354624823875e-06,,,170.00373417211202,9.918170918250437,32.84036215532962,7.532275622408764e-05,0.0583409003722781,0.18,Europe,0.0,0.0,1.0
FSM,Micronesia,10072.814223427413,2115.2909869197565,0.0048516379507985785,159.14445679955972,26.96009764464076,0.0,0.0,0.0,0.0,0.1888241381770185,0.21,Oceania,0.0,0.0,0.0
GAB,Gabon,334.7086909114139,100.41260727342417,0.0002303066666472109,0.35640147719332665,0.05183650629099691,0.0,0.0,0.0,0.0,0.3437590685901979,0.3,Africa,0.0,0.0,0.0
GBR,United Kingdom,101032.81945076938,19196.235695646184,0.04402854557097604,0.08432376037285734,0.02684065896244079,208810.9025317821,18914.119894106414,40336.91197737158,0.09251686608489368,0.0905801357341846,0.19,Europe,0.0,1.0,0.0
GEO,Georgia,119.25030739885051,17.887546109827575,4.1026931088791655e-05,0.037665237302964436,0.004429036790177247,17.421915539083475,1.4628187999146074,3.3654673441692085,7.719046310938608e-06,0.0839642917928853,0.15,Asia,0.0,0.0,0.0
