iso_partner,partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,oecd,oecd_oct,nld_oct
ABW,Aruba,60.295250713567974,15.073812678391993,6.578167801944492e-05,,,0.0,0.0,0.0,0.0,0.2417390792175607,0.25,Caribbean/American isl.,0.0,0.0,1.0,1.0
AFG,Afghanistan,70.47915522513574,14.095831045027149,6.15137947514541e-05,0.13088326291345273,,0.669152062569836,0.048014469197940474,0.16142813355859886,7.044676573600946e-07,0.071754197414477,0.2,Asia,0.0,0.0,0.0,0.0
AGO,Angola,205.40412264762847,51.35103066190712,0.0002240943971534455,0.04012512680545345,,0.0,0.0,0.0,0.0,0.364139751479386,0.25,Africa,0.0,0.0,0.0,0.0
AIA,Anguilla,1.8992719384768517,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,Caribbean/American isl.,1.0,0.0,1.0,0.0
ALB,Albania,13.825767876735899,2.0738651815103846,9.05028704658195e-06,0.003938721904826465,0.0006355486716178088,3.7583961824765355,0.3180316613498146,0.9066861104498665,3.956751689492169e-06,0.0846189826481392,0.15,Europe,0.0,0.0,0.0,0.0
AND,Andorra,2.8583118256804374,0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,-0.0283953210675186,0.0,Europe,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,2782.469065054891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2022827987126435,0.0,Asia,0.0,0.0,0.0,0.0
ARG,Argentina,2286.6352601508197,685.9905780452459,0.0029936428355668717,0.022943310453823248,0.012259640409479423,0.0,0.0,0.0,0.0,0.26137837534356,0.3,Latin America,0.0,0.0,0.0,0.0
ARM,Armenia,29.51234775426876,5.312222595768376,2.3182384166374865e-05,0.01748792397304017,0.001739716304155311,0.0,0.0,0.0,0.0,0.4476869049163801,0.18,Asia,0.0,0.0,0.0,0.0
ASM,American Samoa,0.3090620816495231,0.10508110776083786,4.585708834340786e-07,,,0.0,0.0,0.0,0.0,0.305905358443103,0.34,Oceania,0.0,0.0,1.0,0.0
ATG,Antigua and Barbuda,-0.0,-0.0,-0.0,-0.0,,0.0,0.0,0.0,0.0,0.2601633924412352,0.25,Caribbean/American isl.,0.0,0.0,0.0,0.0
AUS,Australia,35336.52497011633,10600.957491034898,0.04626226869415166,0.07623132933065063,0.02952888215932566,0.0,0.0,0.0,0.0,0.2152110271870161,0.3,Oceania,0.0,1.0,0.0,0.0
AUT,Austria,2267.2240262064915,566.8060065516229,0.0024735248485550166,0.012466347525661062,0.0045746650147881745,5932.388552156688,593.0779595791956,1431.1461700368102,0.006245480062988682,0.0999728784392562,0.25,Europe,0.0,1.0,0.0,0.0
AZE,Azerbaijan,26.04774975351741,5.209549950703483,2.273432374376226e-05,0.006414407790480387,0.0007079833812893359,236.4579846340956,35.058578453789075,57.043792076074176,0.0002489374416026489,0.1482655724569424,0.2,Asia,0.0,0.0,0.0,0.0
