iso_partner,partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,oecd,oecd_oct,nld_oct
ABW,Aruba,0.08310561064653686,0.020776402661634216,8.86610588359543e-08,,,0.0,0.0,0.0,0.0,0.1976465173688915,0.25,Caribbean/American isl.,0.0,0.0,1.0,1.0
AFG,Afghanistan,12.972257720357554,2.594451544071511,1.1071542304131654e-05,0.027610564849030923,,4.867348689450562,0.3185323188769495,1.2695093931772023,5.417494492880955e-06,0.0654426750989369,0.2,Asia,0.0,0.0,0.0,0.0
AGO,Angola,31.89181724127636,9.567545172382907,4.082846772173451e-05,0.010075446694797251,0.0013373928407119358,0.0,0.0,0.0,0.0,0.3622905390853133,0.3,Africa,0.0,0.0,0.0,0.0
AIA,Anguilla,3.1246411848883544,0.0,0.0,,,4.414291474832881,0.0,1.1513423116096864,4.913229209715402e-06,0.0,0.0,Caribbean/American isl.,1.0,0.0,1.0,0.0
ALB,Albania,44.44886379848986,6.667329569773479,2.8452110256602403e-05,0.014780638714615447,0.002385819815176686,25.94446512918492,1.9702425442729765,6.766875414914358,2.8876911420530945e-05,0.075940765572255,0.15,Europe,0.0,0.0,0.0,0.0
AND,Andorra,-0.0,-0.0,-0.0,-0.0,,4.751957953673461,-0.1349333717939066,1.2394130034790163,5.289061393983227e-06,-0.0283953210675186,0.0,Europe,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,4058.95169805337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2585233927555475,0.0,Asia,0.0,0.0,0.0,0.0
ARG,Argentina,2650.377034330368,795.1131102991104,0.003393059491653261,0.028869562483783782,0.016761485785408727,0.0,0.0,0.0,0.0,0.2573171205494065,0.3,Latin America,0.0,0.0,0.0,0.0
ARM,Armenia,14.082604403304193,2.816520880660839,1.2019199260808055e-05,0.014649545618845653,0.0009279883408894851,0.0,0.0,0.0,0.0,0.2371221374734076,0.2,Asia,0.0,0.0,0.0,0.0
ASM,American Samoa,-0.0,-0.0,-0.0,,,0.0,0.0,0.0,0.0,0.199663478301059,0.34,Oceania,0.0,0.0,1.0,0.0
ATG,Antigua and Barbuda,0.5303730987846578,0.13259327469616444,5.658275073190077e-07,0.003072899544715566,,0.0,0.0,0.0,0.0,0.1574408279950119,0.25,Caribbean/American isl.,0.0,0.0,0.0,0.0
AUS,Australia,14254.759567112225,4276.427870133667,0.018249194972610946,0.04123930502912648,0.013117276431073908,0.0,0.0,0.0,0.0,0.2281105531244122,0.3,Oceania,0.0,1.0,0.0,0.0
AUT,Austria,3147.798363059802,786.9495907649505,0.0033582225520004134,0.02253810390296555,0.006918828124601481,3746.5077754409867,361.01109549028996,977.1699370629333,0.004169967375663476,0.0963593610713371,0.25,Europe,0.0,1.0,0.0,0.0
AZE,Azerbaijan,7.558786500688683,1.5117573001377367,6.451261323535234e-06,0.002934869105169442,0.000220700182002331,461.2724748588847,67.36042881137006,120.30979841585003,0.0005134090963488508,0.1460317545112081,0.2,Asia,0.0,0.0,0.0,0.0
BEL,Belgium,84433.38316754458,24975.394740959688,0.10657980491822236,0.5739280411830096,0.2059173239108934,0.0,0.0,0.0,0.0,0.1516083879180703,0.2958,Europe,0.0,1.0,0.0,0.0
BEN,Benin,40.63922643208893,12.19176792962668,5.2027055468990825e-05,0.27200115761600807,,27.587960253068946,3.235749340427014,7.1955343482539424,3.0706167212707094e-05,0.1172884588329455,0.3,Africa,0.0,0.0,0.0,0.0
BFA,Burkina Faso,60.77266671095892,16.712483345513704,7.13187212109484e-05,0.04644864998139207,0.006664654172397924,0.0,0.0,0.0,0.0,0.1937601414423219,0.275,Africa,0.0,0.0,0.0,0.0
BGD,Bangladesh,424.35449938091296,106.08862484522824,0.0004527217710598809,0.06794277218549086,0.003954205049720374,0.0,0.0,0.0,0.0,0.3162536721641029,0.25,Asia,0.0,0.0,0.0,0.0
BGR,Bulgaria,957.9740869055298,95.79740869055298,0.00040880511542689763,0.03314867354389091,0.0067899192457784455,349.44669018640707,27.143894914590316,91.1432247637892,0.0003889438872015635,0.0776767835463281,0.1,Europe,0.0,0.0,0.0,0.0
BHR,Bahrain,72.20746784436443,0.0,0.0,0.0,0.0,457.7810940330401,14.347744160269912,119.39917108331989,0.0005095230923652943,0.0313419325247066,0.0,Asia,0.0,0.0,0.0,0.0
BHS,Bahamas,1180.48172508129,0.0,0.0,0.0,0.0,295.8577446376967,0.6769374512316294,77.1660733236221,0.00032929790005076264,0.0022880504685135,0.0,Caribbean/American isl.,0.0,0.0,0.0,0.0
BIH,Bosnia and Herzegovina,156.48514627765084,15.648514627765085,6.67783493948919e-05,0.012455261155263658,0.0038533607326436464,32.958411038876974,1.7434947008963293,8.596263606249385,3.6683628334295124e-05,0.0528998409189006,0.1,Europe,0.0,0.0,0.0,0.0
BLR,Belarus,133.00373990636615,23.940673183145908,0.00010216424220458838,0.00901017948437521,0.0027943518488071843,0.0,0.0,0.0,0.0,0.207705468951284,0.18,Europe,0.0,0.0,0.0,0.0
BLZ,Belize,12.919761755995198,3.2299404389987996,1.3783422662842036e-05,0.040614315793040284,,0.0,0.0,0.0,0.0,0.421043474640737,0.25,Caribbean/American isl.,0.0,0.0,0.0,0.0
BMU,Bermuda,356.34418957199995,0.0,0.0,,,25769.51888322701,321.5631315411885,6721.245665185102,0.028682191382067016,0.0124784297680656,0.0,Caribbean/American isl.,1.0,0.0,1.0,0.0
BOL,Bolivia,407.0117996051855,101.75294990129638,0.0004342197455861755,0.05081321275483449,,361.5781292411362,-10.267127070794798,94.30736541106096,0.000402446516345878,-0.0283953210675186,0.25,Latin America,0.0,0.0,0.0,0.0
BRA,Brazil,14573.261554562676,4954.90892855131,0.021144539754820495,0.06752668357001093,0.01925383354304221,0.0,0.0,0.0,0.0,0.1558694766530318,0.34,Latin America,0.0,0.0,0.0,0.0
BRB,Barbados,3232.350549646345,177.77928023054898,0.0007586539152632358,1.2059134467094532,,5843.9246737270905,96.60942542853846,1524.2214477866023,0.00650445073009582,0.0165316000500266,0.055,Caribbean/American isl.,0.0,0.0,0.0,0.0
BRN,Brunei Darussalam,152.17160745832794,28.15174737979067,0.00012013454742016524,0.10090151263202271,,23.322898345672737,1.1162793275541596,6.083114322613049,2.5959034662866378e-05,0.047861947130652,0.185,Asia,0.0,0.0,0.0,0.0
BWA,Botswana,70.51044149503976,15.512297128908747,6.619705590163043e-05,0.0212466248775497,0.004395758021964623,0.0,0.0,0.0,0.0,0.1968228149532117,0.22,Africa,0.0,0.0,0.0,0.0
CAF,Central African Republic,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.290245487934627,0.3,Africa,0.0,0.0,0.0,0.0
CAN,Canada,14509.398256618355,3862.401815911806,0.01648238341476761,0.02894576585585077,0.017384108165820786,27390.73042117842,2280.73796503728,7144.092559268809,0.030486644923207965,0.0832667814975033,0.2662,Northern America,0.0,1.0,0.0,0.0
CHE,Switzerland,1345.9424705899917,284.64773360612554,0.00121470352051738,0.010594980102587408,0.003982911052381602,81864.7273779187,6163.041939825731,21352.08447288996,0.09111771891180016,0.0752832402577338,0.21148581,Europe,0.0,1.0,0.0,0.0
CHL,Chile,5090.7617434582,1374.505670733714,0.005865554789632146,0.10353088400569392,0.02787539608090623,0.0,0.0,0.0,0.0,0.188275425200499,0.27,Latin America,0.0,1.0,0.0,0.0
CHN,China (People’s Republic of),15465.804515243559,3866.4511288108897,0.016499663421082358,0.009002049605888612,0.003188093998083743,0.0,0.0,0.0,0.0,0.1747691216282629,0.25,Asia,0.0,0.0,0.0,0.0
CIV,Côte d’Ivoire,319.67666616793025,79.91916654198256,0.00034104642859967573,0.13739785694863185,0.011345766118129872,0.0,0.0,0.0,0.0,0.2437481788346822,0.25,Africa,0.0,0.0,0.0,0.0
CMR,Cameroon,35.78992497341564,11.81067524122716,5.040078349985273e-05,0.07317180624736695,0.0024753340168638957,0.0,0.0,0.0,0.0,0.3384181280467933,0.33,Africa,0.0,0.0,0.0,0.0
COD,Democratic Republic of the Congo,1701.249692154628,476.3499138032959,0.0020327719106159156,1.6867515762111922,0.14426562595508083,0.0,0.0,0.0,0.0,0.4273487082078888,0.28,Africa,0.0,0.0,0.0,0.0
COG,Congo,296.31838743265695,88.89551622979708,0.00037935203331694703,0.6179527282965112,0.08956205192531112,0.0,0.0,0.0,0.0,0.3735665808247518,0.3,Africa,0.0,0.0,0.0,0.0
COK,Cook Islands,838.5057524441297,167.70115048882596,0.0007156465829285918,18.45267702860294,,0.0,0.0,0.0,0.0,0.0011598168605636,0.2,Oceania,0.0,0.0,0.0,0.0
COL,Colombia,3230.372791610886,1066.0230212315923,0.004549138334733339,0.060706730855689506,0.022147253651109637,0.0,0.0,0.0,0.0,0.2467668138722024,0.33,Latin America,0.0,1.0,0.0,0.0
CPV,Cabo Verde,-0.0,-0.0,-0.0,-0.0,-0.0,0.5378234323520884,0.0638898012751886,0.1402759372307992,5.986124415587476e-07,0.1187932645399557,0.2244,Africa,0.0,0.0,0.0,0.0
CRI,Costa Rica,1168.1048317402235,350.43144952206706,0.001495428437253867,0.10385629712255132,0.0406752282588556,19.297154553402738,2.247241154768992,5.033113616912943,2.147826983259195e-05,0.1164545347113224,0.3,Latin America,0.0,0.0,0.0,0.0
CUB,Cuba,0.6726217868125905,0.23541762538440666,1.004619340275424e-06,2.3066974665807243e-05,,0.0,0.0,0.0,0.0,0.35,0.35,Latin America,0.0,0.0,0.0,0.0
CUW,Curaçao,13.66909125291543,3.0072000756413946,1.2832902171763944e-05,,,1539.1660370015811,20.515210255703884,401.44765996894444,0.001713134616214794,0.013328783095857,0.22,Caribbean/American isl.,0.0,0.0,1.0,1.0
CYM,Cayman Islands,5659.350691606544,0.0,0.0,,,46658.461487345034,233.8772517396107,12169.531896854434,0.051932165595993764,0.0050125367250492,0.0,Caribbean/American isl.,1.0,0.0,1.0,0.0
CYP,Cyprus,2002.9236813225211,250.36546016531514,0.001068407613951287,0.25213128233135684,0.04141353649528097,780.8474911371438,18.45696565389878,203.66184711318797,0.0008691049795104994,0.0236370941360393,0.125,Europe,0.0,0.0,0.0,0.0
CZE,Czechia,3616.9247594332646,687.2157042923203,0.0029326189419579076,0.04226849117237196,0.018424873509619178,0.0,0.0,0.0,0.0,0.1538124667312412,0.19,Europe,0.0,1.0,0.0,0.0
DEU,Germany,30064.665449432752,9000.693700633843,0.03840949016789661,0.025606485256120456,0.0202820427634972,23960.0746899873,3438.7774269019906,6249.303639596,0.026668229659271663,0.1435211480513049,0.29937781,Europe,0.0,1.0,0.0,0.0
DJI,Djibouti,1.1571586391350506,0.28928965978376264,1.234512440119599e-06,0.008958199016845672,,0.0,0.0,0.0,0.0,0.25,0.25,Africa,0.0,0.0,0.0,0.0
DNK,Denmark,6917.9457064339385,1521.9480554154666,0.006494749273204696,0.051683685626756355,0.012609396168528414,29503.108620652205,2920.270662107952,7695.046299646392,0.03283778062206064,0.0989817954323552,0.22,Europe,0.0,1.0,0.0,0.0
DOM,Dominican Republic,987.6476372359554,266.66486205370796,0.0011379635545707009,0.11566252183132643,0.022538219432511556,0.0,0.0,0.0,0.0,0.1618763903859026,0.27,Latin America,0.0,0.0,0.0,0.0
DZA,Algeria,1973.1245525346656,513.012383659013,0.002189225048817342,0.08094613849621594,,0.0,0.0,0.0,0.0,0.2910218085266657,0.26,Africa,0.0,0.0,0.0,0.0
ECU,Ecuador,100.77582102501943,25.193955256254856,0.00010751248835824756,0.004784070853186426,0.0017472992268693132,0.0,0.0,0.0,0.0,0.3233717619943997,0.25,Latin America,0.0,0.0,0.0,0.0
EGY,Egypt,658.1333597375893,148.0800059409576,0.0006319154635659635,0.03420980705527179,,0.0,0.0,0.0,0.0,0.2783432604663789,0.225,Africa,0.0,0.0,0.0,0.0
ESP,Spain,25308.247199700658,6327.061799925164,0.02700005422679655,0.07032969532876672,0.03300502848481497,37.20078022091265,4.335101604994156,9.702764880257705,4.140550324953579e-05,0.1165325452651972,0.25,Europe,0.0,1.0,0.0,0.0
EST,Estonia,300.43656960830856,60.08731392166172,0.0002564161352504258,0.0381320112626879,0.009079026796308922,0.0,0.0,0.0,0.0,0.0312512058838224,0.2,Europe,0.0,1.0,0.0,0.0
ETH,Ethiopia,376.46660710183846,112.93998213055154,0.0004819591997559424,0.16694230503662935,0.017676010499051775,0.0,0.0,0.0,0.0,0.2337768518809663,0.3,Africa,0.0,0.0,0.0,0.0
FIN,Finland,2089.875224364995,417.97504487299904,0.0017836634497788808,0.02116461376130549,0.0075313602346238845,624.164312604068,64.92776323364512,162.7954988008681,0.0006947122431384849,0.1040235109930602,0.2,Europe,0.0,1.0,0.0,0.0
FJI,Fiji,21.05061898933933,4.210123797867866,1.79662494912415e-05,0.029264681041001734,0.0033778816131336603,0.0,0.0,0.0,0.0,0.1823151854175517,0.2,Oceania,0.0,0.0,0.0,0.0
FRA,France,56710.72663806172,19527.3933500035,0.08333104623133551,0.08586016652672707,0.02919009207216898,0.0,0.0,0.0,0.0,0.1927773016375925,0.34433333,Europe,0.0,1.0,0.0,0.0
FRO,Faroe Islands,78.12704608087304,14.062868294557147,6.0011774587349826e-05,,,0.0,0.0,0.0,0.0,0.0188352868141973,0.18,Europe,0.0,0.0,1.0,0.0
FSM,Micronesia,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.1580808851946886,0.21,Oceania,0.0,0.0,0.0,0.0
GAB,Gabon,7.540439941532765,2.262131982459829,9.653404396225208e-06,0.008029142973646625,0.0011677917935199286,388.5899952940873,13.463305575234733,101.35264198140192,0.00043251147468787414,0.0346465573953998,0.3,Africa,0.0,0.0,0.0,0.0
GBR,United Kingdom,32616.12830151781,6197.064377288384,0.026445304238329803,0.027221991845211384,0.008664891083662479,207294.67808893032,19884.329045903185,54066.91769585298,0.23072474330518514,0.0959230079094106,0.19,Europe,0.0,1.0,0.0,0.0
GEO,Georgia,56.61280095389539,8.491920143084307,3.6238353852591435e-05,0.017881166336804893,0.0021026375838273203,0.0,-0.0,0.0,0.0,-0.0165978390395262,0.15,Asia,0.0,0.0,0.0,0.0
GGY,Bailiwick of Guernsey,1805.6725624721366,0.0,0.0,,,164.5087003700814,3.190148830195428,42.90741298889091,0.00018310275986956723,0.0193919763697532,0.0,Europe,1.0,0.0,1.0,0.0
GHA,Ghana,127.24459445475964,31.81114861368991,0.0001357506477329604,0.020191709844185134,0.003880116547645751,0.0,0.0,0.0,0.0,0.2195659407988739,0.25,Africa,0.0,0.0,0.0,0.0
GIB,Gibraltar,2395.5147515582016,0.0,0.0,,,4801.707489537641,116.1808371944757,1252.3887541628885,0.005344434011349172,0.0241957340066258,0.0,Europe,1.0,0.0,1.0,0.0
GIN,Guinea,4.3899238412024735,1.5364733444208656,6.556734378330475e-06,0.012410697061320985,,195.44133701547662,18.173773855869797,50.97531099302987,0.00021753164495025225,0.0929883827720164,0.35,Africa,0.0,0.0,0.0,0.0
