iso_partner,negative_misalignment,positive_misalignment,theoretical_profit,reported_profit,partner_jurisdiction,etr_average_corrected,cit,tax_revenue_current_usd,gvt_health_expenditure,region_tjn,ukt,oecd,oecd_oct,nld_oct,tax_revenue_loss,tax_revenue_gain,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,tax_revenue_loss_caused_pct_of_total,tax_revenue_loss_caused_usd,tax_revenue_loss_suffered_pct_of_total
ABW,59.17941253128591,0.0,58.34483335918403,-9.16327,Aruba,0.2417390792175607,0.25,,,Caribbean/American isl.,0.0,0.0,1.0,1.0,14.794853132821478,0.0,,,0.0,0.0,5.36206249086568e-05
AFG,66.17144930092546,3.0670584565425463,86.43543579743104,-33.115268,Afghanistan,0.071754197414477,0.2,,107697735.61,Asia,0.0,0.0,0.0,0.0,13.234289860185093,0.220074317972495,0.12288364082332905,,2.7056339195224744e-06,0.7465309577929324,4.7964713549683855e-05
AGO,168.2778136421116,0.0,5081.442143581428,2913.020489,Angola,0.364139751479386,0.25,,1279772420.6799998,Africa,0.0,0.0,0.0,0.0,42.0694534105279,0.0,0.032872605105972307,,0.0,0.0,0.00015247129263039428
AIA,1.407735755844939,0.0,0.0,-2.719749,Anguilla,0.0,0.0,,,Caribbean/American isl.,1.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0
ALB,33.07231801579771,4.29830015739361,63.32505296666538,23.70724,Albania,0.0846189826481392,0.15,3263109930.245463,526532522.88999987,Europe,0.0,0.0,0.0,0.0,4.960847702369657,0.3637177864349839,0.009421730827073807,0.0015202821260748896,3.7917851475328137e-06,1.0462187724318164,1.7979479180338887e-05
AND,4.161245770816973,0.0,11.26072482295056,0.72535,Andorra,-0.0283953210675186,0.0,,205063639.7,Europe,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,,0.0,0.0,0.0
ARE,2543.0216760193903,0.0,44604.44101313064,49962.7236,United Arab Emirates,0.2022827987126435,0.0,2222218203.2623553,14119521288.48,Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,2533.769677031323,0.0,16885.04732907245,16276.66358,Argentina,0.26137837534356,0.3,55955195677.25844,29899372168.890003,Latin America,0.0,0.0,0.0,0.0,760.130903109397,0.0,0.02542297205492179,0.013584634883482908,0.0,0.0,0.0027549238692127906
ARM,64.62078056343438,0.0,208.66643638847245,8.645357,Armenia,0.4476869049163801,0.18,3053499345.3128743,303765192.71,Asia,0.0,0.0,0.0,0.0,11.631740501418188,0.0,0.03829188063861825,0.0038093148830285243,0.0,0.0,4.2156633044077554e-05
ASM,0.08766236533684796,0.0,28.218410630708455,22.104626,American Samoa,0.305905358443103,0.34,,,Oceania,0.0,0.0,1.0,0.0,0.029805204214528307,0.0,,,0.0,0.0,1.0802227377084863e-07
ATG,-0.0,0.0,0.0,0.0,Antigua and Barbuda,0.2601633924412352,0.25,,57773473.28999999,Caribbean/American isl.,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,,0.0,0.0,-0.0
AUS,66030.73347872923,0.0,211210.55334540366,142932.620757,Australia,0.2152110271870161,0.3,359003007084.2678,139063001840.8,Oceania,0.0,1.0,0.0,0.0,19809.22004361877,0.0,0.14244780985165603,0.0551784237254843,0.0,0.0,0.07179407244912359
AUT,4270.407956706717,5692.808290896095,16912.56138414567,16047.123095,Austria,0.0999728784392562,0.25,123901095428.70392,45466886382.31,Europe,0.0,1.0,0.0,0.0,1067.6019891766794,569.1264312437452,0.02348086869638947,0.008616566185171516,0.00502196336569028,1385.6461121138905,0.00386928381778816
AZE,967.2414917496386,229.21649354768834,6815.023226480049,5019.218563,Azerbaijan,0.1482655724569424,0.2,7358294118.735062,812163822.58,Asia,0.0,0.0,0.0,0.0,193.44829834992774,33.98491463242106,0.2381887655810631,0.02628982957576895,0.000202205444938192,55.79196187313347,0.0007011099435673304
BEL,15025.226549772691,5601.3745114717585,49736.999690252,32655.242122,Belgium,0.138470093925523,0.25,139006758988.0213,50928949854.00999,Europe,0.0,1.0,0.0,0.0,3756.306637443173,775.6228547155249,0.0737558235190552,0.027022474768776294,0.004941304213442006,1363.3908640006136,0.013613890414458409
BEN,25.32175331260459,0.0,91.67215989965148,43.181342,Benin,0.3621428417758588,0.3,,56216918.779999994,Africa,0.0,0.0,0.0,0.0,7.596525993781376,0.0,0.13512882168995632,,0.0,0.0,2.753190364680098e-05
BFA,35.141591377161404,0.0,80.87633436811382,114.467173,Burkina Faso,0.2759987625344705,0.275,3139555735.359306,538923508.9700001,Africa,0.0,0.0,0.0,0.0,9.663937628719387,0.0,0.01793192812684915,0.0030781226527941854,0.0,0.0,3.502477314767334e-05
BGD,839.80886471453,0.0,1725.4335320735202,1053.424071,Bangladesh,0.2833190058659392,0.325,31812990371.631863,1656626826.4299998,Asia,0.0,0.0,0.0,0.0,272.93788103222226,0.0,0.1647551981398239,0.008579447510083969,0.0,0.0,0.0009892020968917433
BGR,1606.6835399556007,629.9305010429846,5209.239619715066,3533.702302,Bulgaria,0.0843708006121163,0.1,17375027511.664433,4519443226.1900015,Europe,0.0,0.0,0.0,0.0,160.6683539955601,53.14774070298817,0.035550475125894515,0.009247084868654054,0.0005556990043433962,153.32691794101694,0.0005823063917528902
BHR,276.8129854963489,828.6895334791492,2546.9974361819477,2662.091508,Bahrain,0.0350393590673214,0.0,,1105964584.3100002,Asia,0.0,0.0,0.0,0.0,0.0,29.036750118906966,0.0,,0.0007310361189078753,201.70544510539094,0.0
BHS,626.0806464072456,215.35878301374245,496.27961831084485,27.42722,Bahamas,-0.003290905645247,0.0,1611698646.58551,446201895.5,Caribbean/American isl.,0.0,0.0,0.0,0.0,0.0,-0.7087254347734488,0.0,0.0,0.00018998073771502605,52.41895478366773,0.0
BIH,284.2094707991503,129.7559406927195,1184.8401241075148,355.710562,Bosnia and Herzegovina,0.0625670745796095,0.1,4521049903.704868,1544962123.72,Europe,0.0,0.0,0.0,0.0,28.420947079915035,8.118449618468768,0.018395885985529752,0.006286359957368508,0.00011446540043893626,31.582973737597257,0.00010300534444239405
BLR,129.18658542692944,0.0,411.1416888263727,391.359482,Belarus,0.2102804317151451,0.18,8935661525.480185,3323935084.8900003,Europe,0.0,0.0,0.0,0.0,23.253585376847298,0.0,0.006995800093255081,0.002602335071727965,0.0,0.0,8.427740161254099e-05
BLZ,175.3048866071754,0.0,814.3209846666666,9e-06,Belize,0.0869804655754959,0.0,,85384192.75,Caribbean/American isl.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
BMU,22147.7678034111,28836.32578182586,5877.3898445550185,3513.737518,Bermuda,0.0141714040538857,0.0,,,Caribbean/American isl.,1.0,0.0,1.0,0.0,0.0,408.6512240837357,,,0.025438230883170057,7018.845649718339,0.0
BOL,411.48833685376206,238.16532616037028,776.7257035994489,543.062354,Bolivia,-0.0283953210675186,0.25,,2376901376.68,Latin America,0.0,0.0,0.0,0.0,102.87208421344052,-6.762780903474001,0.04327991275646861,,0.00021009974020516105,57.97013378479797,0.0003728367826067563
BRA,19332.010664867274,35065.85736851698,102759.27298890323,110574.297358,Brazil,0.1387602504725475,0.34,236173995369.32605,74306913856.19,Latin America,0.0,0.0,0.0,0.0,6572.883626054873,4865.747151490042,0.08845588229886271,0.02783068311892796,0.030933669657000402,8535.131774651327,0.023821941611510092
BRB,599.388690950463,5856.121263457339,1864.5108509349186,5978.652402,Barbados,0.0179842185463378,0.055,,213177879.35999995,Caribbean/American isl.,0.0,0.0,0.0,0.0,32.96637800227546,105.31776463587263,0.15464258346713422,,0.005166031411448317,1425.3969651066284,0.00011947923873171286
BRN,65.2213598521981,13.47235608592181,358.99098882566045,280.760241,Brunei Darussalam,0.0386350822315263,0.185,,287987788.25,Asia,0.0,0.0,0.0,0.0,12.06595157265665,0.5205055852319929,0.04189744171437675,,1.1884763240882637e-05,3.279210694891147,4.373033362583003e-05
BTN,-0.0,0.0,1.9989956536505562,4.174112,Bhutan,0.2700652444507476,0.25,,53773669.88999999,Asia,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,,0.0,0.0,-0.0
BWA,111.48589386470236,0.0,476.75137561245526,336.839245,Botswana,0.1863780148284791,0.22,4168244303.361346,905314655.81,Africa,0.0,0.0,0.0,0.0,24.52689665023452,0.0,0.027092123708402686,0.005884227234583059,0.0,0.0,8.889223256552927e-05
CAF,3.3542273944661822,0.0,1.2856862855127784,-1.415362,Central African Republic,0.26929527463635,0.3,206511215.37614736,32657095.409999996,Africa,0.0,0.0,0.0,0.0,1.0062682183398546,0.0,0.03081315731562958,0.004872704935211385,0.0,0.0,3.6469933299576997e-06
CAN,33934.43547452123,92500.26278436014,299650.15844954865,348042.866797,Canada,0.0712514012101655,0.2617,265385700491.46484,180012553340.75,Northern America,0.0,1.0,0.0,0.0,8880.641763682206,6590.773335694184,0.04933345813317714,0.03346315098076589,0.08159996038557259,22514.833268078728,0.032185893072650205
CHE,16594.327518758233,71528.49732882976,75854.66025984575,126558.274683,Switzerland,0.0690681294561447,0.19698516,82102857786.71918,34216018142.750008,Europe,0.0,1.0,0.0,0.0,3268.8362613749932,4940.339513311114,0.09553526210260159,0.039813915733195766,0.06309952396652987,17410.244498755204,0.01184716343484094
CHL,23128.453041645702,0.0,58821.428183998054,37404.122267,Chile,0.2023474872974232,0.27,62044149501.76987,16460101109.63,Latin America,0.0,1.0,0.0,0.0,6244.68232124434,0.0,0.37938298675400495,0.10064901157306064,0.0,0.0,0.02263244963738995
CHN,87363.36608258903,0.0,1680053.0972225987,1619527.407166,China (People’s Republic of),0.1733499799777347,0.25,1419422418265.6604,516936934734.95,Asia,0.0,0.0,0.0,0.0,21840.841520647256,0.0,0.042250495279169305,0.015387132991272444,0.0,0.0,0.07915722855470507
CIV,92.83100827266826,0.0,1054.449018122091,1120.349925,Côte d’Ivoire,0.2413558739819136,0.25,9018827973.061111,739174897.9599999,Africa,0.0,0.0,0.0,0.0,23.207752068167064,0.0,0.03139683467636226,0.0025732558750968214,0.0,0.0,8.411128907117257e-05
CMR,39.688279486670226,0.0,424.45935199149807,446.362799,Cameroon,0.3098248596681862,0.33,5105035953.266775,219844710.2,Africa,0.0,0.0,0.0,0.0,13.097132230601176,0.0,0.05957447062831888,0.002565531829843463,0.0,0.0,4.74676165022678e-05
