iso_partner,partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,oecd,oecd_oct,nld_oct
ABW,Aruba,648.9921468094037,162.24803670235093,0.000778509543310319,,,0.0,0.0,0.0,0.0,0.1518484464085109,0.25,Caribbean/American isl.,0.0,0.0,1.0,1.0
AFG,Afghanistan,15.725641764718313,3.145128352943663,1.5091168358446018e-05,0.025879689973677695,0.0016942980668881332,0.0,0.0,0.0,0.0,0.1632246056133859,0.2,Asia,0.0,0.0,0.0,0.0
AGO,Angola,237.0820868471145,71.12462605413435,0.000341275008763906,0.0450817771481763,0.010464095819552063,0.0,0.0,0.0,0.0,0.4151783578975761,0.3,Africa,0.0,0.0,0.0,0.0
AIA,Anguilla,0.04057516684138263,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,Caribbean/American isl.,1.0,0.0,1.0,0.0
ALB,Albania,76.8378831765351,11.525682476480265,5.530331203677599e-05,0.03190679025307975,0.004686953474284502,1.5243178460635058,0.10395420989162978,0.41642582115911647,1.9981226426052086e-06,0.0681972005773518,0.15,Europe,0.0,0.0,0.0,0.0
AND,Andorra,56.72126924464164,0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,-0.0283953210675186,0.0,Europe,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,3108.5084062311994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4091427688417129,0.0,Asia,0.0,0.0,0.0,0.0
ARG,Argentina,1591.702450519407,557.0958576817924,0.0026730951607110472,0.013123094439449062,0.00791211051838287,0.0,0.0,0.0,0.0,0.2594726820747657,0.35,Latin America,0.0,0.0,0.0,0.0
ARM,Armenia,19.492055548595747,3.8984111097191496,1.8705620815807095e-05,0.024639950985664225,0.0016274020651404052,0.0,0.0,0.0,0.0,0.2432396860217108,0.2,Asia,0.0,0.0,0.0,0.0
ASM,American Samoa,12.655893379335666,4.303003748974127,2.0646964681748276e-05,,,0.0,0.0,0.0,0.0,0.1544002408409665,0.34,Oceania,0.0,0.0,1.0,0.0
ATG,Antigua and Barbuda,-0.0,-0.0,-0.0,-0.0,,0.0,0.0,0.0,0.0,0.1554332616136257,0.25,Caribbean/American isl.,0.0,0.0,0.0,0.0
AUS,Australia,10448.978421751559,3134.6935265254674,0.015041099265996815,0.030772779662866356,0.01069528322365373,0.0,0.0,0.0,0.0,0.258792834755894,0.3,Oceania,0.0,1.0,0.0,0.0
AUT,Austria,3123.220176263389,780.8050440658473,0.00374651176448589,0.024416330608305333,0.007360733250060176,4746.851014759753,445.59418959897926,1296.7842217724465,0.006222318080286925,0.093871534668659,0.25,Europe,0.0,1.0,0.0,0.0
AZE,Azerbaijan,2.0665113677671303,0.4133022735534261,1.9831350244531623e-06,0.0010068636837222017,7.682624760272345e-05,371.25660813628366,33.66688797350494,101.42296654411753,0.0004866545627932064,0.0906836059902434,0.2,Asia,0.0,0.0,0.0,0.0
BDI,Burundi,0.03115712389889046,0.009347137169667138,4.485006806317202e-08,0.0001463278369610709,2.388523348480387e-05,0.0,0.0,0.0,0.0,0.234837038635873,0.3,Africa,0.0,0.0,0.0,0.0
BEL,Belgium,52974.81102382606,18006.138266998478,0.08639827491250208,0.43224461673654624,0.152737326160673,0.0,0.0,0.0,0.0,0.1657823939071513,0.3399,Europe,0.0,1.0,0.0,0.0
BEN,Benin,47.21180948624479,14.163542845873437,6.796047272254787e-05,0.2447727261933679,,0.0,-0.0,0.0,0.0,-0.0130287172593203,0.3,Africa,0.0,0.0,0.0,0.0
BFA,Burkina Faso,0.5034387778498577,0.13844566390871088,6.642993824362418e-07,0.000374224296032056,6.430888788544421e-05,88.41193648991256,11.424835298755964,24.153107797142216,0.00011589308137622374,0.129222769598079,0.275,Africa,0.0,0.0,0.0,0.0
BGD,Bangladesh,77.74355177508228,19.43588794377057,9.325859686483415e-05,0.01338533695721748,0.0009456528513627089,0.0,0.0,0.0,0.0,0.376106203392882,0.25,Asia,0.0,0.0,0.0,0.0
BGR,Bulgaria,843.9295450790972,84.39295450790974,0.0004049400030219863,0.03463533954191853,0.006933212512467114,34.88259417409517,2.1082418725820107,9.529517062744283,4.572517564631614e-05,0.0604382191892039,0.1,Europe,0.0,0.0,0.0,0.0
BHR,Bahrain,48.61761779807722,0.0,0.0,0.0,0.0,126.95968070824182,1.6198643526312484,34.68390101812546,0.00016642264825291356,0.0127588880469364,0.0,Asia,0.0,0.0,0.0,0.0
BHS,Bahamas,1074.827673102951,0.0,0.0,0.0,0.0,473.27967473594873,1.1752130093813797,129.29447601679922,0.0006203895314988848,0.0024831258811971,0.0,Caribbean/American isl.,0.0,0.0,0.0,0.0
BIH,Bosnia and Herzegovina,147.2068027353518,14.72068027353518,7.063376734715854e-05,0.012989904593158555,0.004018737291626515,0.027343353233537704,0.001669449108325372,0.0074698845473238264,3.584250710032547e-08,0.0610550247464794,0.1,Europe,0.0,0.0,0.0,0.0
BLR,Belarus,128.2829363796261,23.0909285483327,0.00011079646080249439,0.010600110607373219,0.0032409668814572983,0.0,0.0,0.0,0.0,0.2022096693087341,0.18,Europe,0.0,0.0,0.0,0.0
BLZ,Belize,0.01519633766590822,0.003799084416477055,1.8229024733869377e-08,5.212185860204886e-05,7.853857189818696e-06,0.0,0.0,0.0,0.0,0.4210436954613511,0.25,Caribbean/American isl.,0.0,0.0,0.0,0.0
BMU,Bermuda,342.79392145300625,0.0,0.0,,,30556.09353483413,450.2078836019907,8347.567651010728,0.04005386574669221,0.0147338167782721,0.0,Caribbean/American isl.,1.0,0.0,1.0,0.0
BOL,Bolivia,160.8678645790108,40.2169661447527,0.00019297177693506306,0.024107576985100167,,446.5556630031153,-12.680091425492096,121.99378832935257,0.0005853588762569221,-0.0283953210675186,0.25,Latin America,0.0,0.0,0.0,0.0
