iso_partner,partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,oecd,oecd_oct,nld_oct
ABW,Aruba,62.69767853788612,15.67441963447153,7.036043842754363e-05,,,0.0,0.0,0.0,0.0,0.2417390792175607,0.25,Caribbean/American isl.,0.0,0.0,1.0,1.0
AFG,Afghanistan,82.9968638817353,16.59937277634706,7.45124332129946e-05,0.1541292644857221,,0.3744051940318022,0.026865144205563504,0.08973590883693819,4.028128655287167e-07,0.071754197414477,0.2,Asia,0.0,0.0,0.0,0.0
AGO,Angola,238.85493807592403,59.713734518981006,0.0002680472157107145,0.04665965100830384,,0.0,0.0,0.0,0.0,0.364139751479386,0.25,Africa,0.0,0.0,0.0,0.0
AIA,Anguilla,2.2116261073378993,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,Caribbean/American isl.,1.0,0.0,1.0,0.0
ALB,Albania,18.379475066351937,2.7569212599527906,1.2375462255322883e-05,0.005235994245561068,0.0008448753854104465,3.313701202076885,0.28040202451966195,0.7942143798281978,3.5651254255868157e-06,0.0846189826481392,0.15,Europe,0.0,0.0,0.0,0.0
AND,Andorra,2.6875556938756464,0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,-0.0283953210675186,0.0,Europe,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,2467.6534830605133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2022827987126435,0.0,Asia,0.0,0.0,0.0,0.0
ARG,Argentina,3485.07341949474,1045.522025848422,0.00469321288059472,0.034968026082376306,0.018684985606677945,0.0,0.0,0.0,0.0,0.26137837534356,0.3,Latin America,0.0,0.0,0.0,0.0
ARM,Armenia,38.78517007976214,6.9813306143571845,3.133828838890629e-05,0.022982654964758112,0.0022863376817399803,0.0,0.0,0.0,0.0,0.4476869049163801,0.18,Asia,0.0,0.0,0.0,0.0
ASM,American Samoa,0.29325774567213403,0.09970763352852557,4.475746453930151e-07,,,0.0,0.0,0.0,0.0,0.305905358443103,0.34,Oceania,0.0,0.0,1.0,0.0
ATG,Antigua and Barbuda,-0.0,-0.0,-0.0,-0.0,,0.0,0.0,0.0,0.0,0.2601633924412352,0.25,Caribbean/American isl.,0.0,0.0,0.0,0.0
AUS,Australia,24985.413055804413,7495.623916741323,0.03364688437395422,0.053900921291216985,0.020879000367208335,0.0,0.0,0.0,0.0,0.2152110271870161,0.3,Oceania,0.0,1.0,0.0,0.0
AUT,Austria,1624.4261892753416,406.1065473188354,0.0018229596619200523,0.008931919021330677,0.003277667125651203,6258.829103796572,625.7131611659336,1500.0906152935434,0.006733712369227121,0.0999728784392562,0.25,Europe,0.0,1.0,0.0,0.0
AZE,Azerbaijan,47.190832499020296,9.43816649980406,4.236670628735263e-05,0.011621013196354705,0.0012826568695825035,894.5262685483966,132.62744928410063,214.39640519486792,0.0009623976784202509,0.1482655724569424,0.2,Asia,0.0,0.0,0.0,0.0
BEL,Belgium,8523.544255566818,2130.8860638917045,0.009565271390644252,0.04184036918098607,0.015329370164477617,5695.141766329862,788.6068153028649,1364.9883348397298,0.006127255740722305,0.138470093925523,0.25,Europe,0.0,1.0,0.0,0.0
BEN,Benin,32.25695250372395,9.677085751117184,4.343918384398267e-05,0.1721383163845677,,0.0,0.0,0.0,0.0,0.3621428417758588,0.3,Africa,0.0,0.0,0.0,0.0
BFA,Burkina Faso,22.021403828958146,6.055886052963491,2.7184087684923324e-05,0.011237004792271178,0.001928899042867422,0.0,0.0,0.0,0.0,0.2759987625344705,0.275,Africa,0.0,0.0,0.0,0.0
BGD,Bangladesh,560.36955949514,182.12010683592052,0.0008175135579033185,0.1099342977732565,0.005724708828325672,0.0,0.0,0.0,0.0,0.2833190058659392,0.325,Asia,0.0,0.0,0.0,0.0
BGR,Bulgaria,924.2081356316104,92.42081356316105,0.0004148650548970406,0.020449601629595866,0.005319175092017315,753.1144804449434,63.54087166771788,180.50340496944364,0.0008102563927396541,0.0843708006121163,0.1,Europe,0.0,0.0,0.0,0.0
BHR,Bahrain,308.53624270999273,0.0,0.0,0.0,,921.528187899791,32.2897570664788,220.86811502145022,0.0009914483451366602,0.0350393590673214,0.0,Asia,0.0,0.0,0.0,0.0
BHS,Bahamas,330.3493816382966,0.0,0.0,0.0,0.0,192.24268806316576,-0.6326525474045303,46.07594287043697,0.00020682893637712034,-0.003290905645247,0.0,Caribbean/American isl.,0.0,0.0,0.0,0.0
BIH,Bosnia and Herzegovina,64.76407848471008,6.476407848471009,2.907175552783191e-05,0.004191952507467915,0.0014325008540966959,131.93596041030915,8.25484707472422,31.621872517846914,0.0001419464877259308,0.0625670745796095,0.1,Europe,0.0,0.0,0.0,0.0
BLR,Belarus,47.226440020551685,8.500759203699303,3.8158806417551e-05,0.0025574383935300653,0.000951329588689013,0.0,0.0,0.0,0.0,0.2102804317151451,0.18,Europe,0.0,0.0,0.0,0.0
BLZ,Belize,436.743384165628,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0869804655754959,0.0,Caribbean/American isl.,0.0,0.0,0.0,0.0
BMU,Bermuda,25877.25705734636,0.0,0.0,,,25406.244878925572,360.04216167121865,6089.265081484261,0.02733392181822941,0.0141714040538857,0.0,Caribbean/American isl.,1.0,0.0,1.0,0.0
BOL,Bolivia,233.19203240543413,58.29800810135853,0.00026169220329173436,0.02452689399456187,,238.81190867206735,-6.781140821490282,57.23746360193808,0.0002569315564740981,-0.0283953210675186,0.25,Latin America,0.0,0.0,0.0,0.0
BRA,Brazil,19673.93673553438,6689.138490081689,0.0300266758093958,0.09002040514059732,0.0283229255601206,24679.193713737466,3424.491101178731,5915.008425542764,0.026551706272334667,0.1387602504725475,0.34,Latin America,0.0,0.0,0.0,0.0
BRB,Barbados,179.37824284110445,9.865803356260745,4.4286312716792425e-05,0.046279676793294595,,5765.255593601044,103.68361657081765,1381.7929308028968,0.0062026893942252305,0.0179842185463378,0.055,Caribbean/American isl.,0.0,0.0,0.0,0.0
BRN,Brunei Darussalam,279.35134240945575,51.67999834574931,0.00023198481515352437,0.17945204781004914,,23.660949561511387,0.9141427319849885,5.670959822920698,2.5456203722412226e-05,0.0386350822315263,0.185,Asia,0.0,0.0,0.0,0.0
BTN,Bhutan,-0.0,-0.0,-0.0,-0.0,,0.0,0.0,0.0,0.0,0.2700652444507476,0.25,Asia,0.0,0.0,0.0,0.0
BWA,Botswana,132.70648368798493,29.195426411356685,0.00013105448560688616,0.03224892718127385,0.007004250299775611,0.0,0.0,0.0,0.0,0.1863780148284791,0.22,Africa,0.0,0.0,0.0,0.0
CAF,Central African Republic,4.760652051812068,1.4281956155436204,6.410985032514263e-06,0.04373308763725171,0.006915825917455624,0.0,0.0,0.0,0.0,0.26929527463635,0.3,Africa,0.0,0.0,0.0,0.0
CAN,Canada,22660.082722912644,5930.143648586239,0.0266196463271419,0.03294294502540015,0.02234537745479229,76408.61501621421,5444.220884433355,18313.304998833166,0.08220605284430815,0.0712514012101655,0.2617,Northern America,0.0,1.0,0.0,0.0
CHE,Switzerland,11359.003170489117,2237.555056979306,0.010044094676947146,0.0653949576377992,0.027253071540967105,52399.095123656036,3619.1074853855152,12558.801261595352,0.05637483131732101,0.0690681294561447,0.19698516,Europe,0.0,1.0,0.0,0.0
CHL,Chile,23987.84016234819,6476.716843834012,0.029073142567972467,0.39347977273631707,0.10438884078263105,0.0,0.0,0.0,0.0,0.2023474872974232,0.27,Latin America,0.0,1.0,0.0,0.0
CHN,China (People’s Republic of),92604.36448837278,23151.091122093196,0.10392224780330184,0.044785136380250126,0.016310219441496954,0.0,0.0,0.0,0.0,0.1733499799777347,0.25,Asia,0.0,0.0,0.0,0.0
CIV,Côte d’Ivoire,114.74459101575461,28.686147753938652,0.0001287683997132229,0.03880833593390098,0.0031806957444607056,0.0,0.0,0.0,0.0,0.2413558739819136,0.25,Africa,0.0,0.0,0.0,0.0
CMR,Cameroon,44.49745311216251,14.684159527013628,6.591528913698787e-05,0.06679332658791273,0.0028764066818407134,0.0,0.0,0.0,0.0,0.3098248596681862,0.33,Africa,0.0,0.0,0.0,0.0
COD,Democratic Republic of the Congo,14.392449508789259,4.029885862460993,1.8089635387337582e-05,0.011230643211008614,0.0008671907271951064,0.0,0.0,0.0,0.0,0.4476869049163801,0.28,Africa,0.0,0.0,0.0,0.0
COG,Congo,19.309142203273435,5.4065598169165625,2.4269346360128564e-05,0.023489683388223638,0.005602552449056677,0.0,0.0,0.0,0.0,0.4382550095291732,0.28,Africa,0.0,0.0,0.0,0.0
COK,Cook Islands,0.041250052689108994,0.0082500105378218,3.703322815196326e-08,0.0006890571619861638,,0.0,0.0,0.0,0.0,0.0054333042010864,0.2,Oceania,0.0,0.0,0.0,0.0
COL,Colombia,10289.617846845787,3189.781532522194,0.014318515922768995,0.15298731120201903,0.06932032515673378,0.0,0.0,0.0,0.0,0.2286612481643971,0.31,Latin America,0.0,1.0,0.0,0.0
CPV,Cabo Verde,17.633301954594153,3.9569129586109275,1.776206947880915e-05,0.039760686626150274,,11.311421054688072,1.4313011417993715,2.7110752328224748,1.2169665380907453e-05,0.1265359263773637,0.2244,Africa,0.0,0.0,0.0,0.0
CRI,Costa Rica,1566.3050999584211,469.8915299875263,0.0021092821829652585,0.137225669210108,0.051670631567524855,0.0,0.0,0.0,0.0,0.1315692123692484,0.3,Latin America,0.0,0.0,0.0,0.0
CUB,Cuba,0.9157696653983238,0.32051938288941334,1.4387699723840649e-06,,,0.0,0.0,0.0,0.0,0.35,0.35,Latin America,0.0,0.0,0.0,0.0
