iso_partner,partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,oecd,oecd_oct,nld_oct
ABW,Aruba,-0.0,-0.0,-0.0,,,0.0,0.0,0.0,0.0,0.152084467209993,0.25,Caribbean/American isl.,0.0,0.0,1.0,1.0
AFG,Afghanistan,0.006592590336583725,0.0013185180673167451,1.2859443354716085e-08,1.2192612763778621e-05,7.658878685929641e-07,0.0,0.0,0.0,0.0,0.0413022426444994,0.2,Asia,0.0,0.0,0.0,0.0
AGO,Angola,1481.3789330337834,444.413679910135,0.004334345265738724,0.3669821792954239,0.08654547194705153,0.0,0.0,0.0,0.0,0.4476869049163801,0.3,Africa,0.0,0.0,0.0,0.0
ALB,Albania,14.732595192633115,2.209889278894967,2.1552943950154773e-05,0.0064657970814399335,0.0010591814810168635,0.0,0.0,0.0,0.0,0.0832404803517497,0.15,Europe,0.0,0.0,0.0,0.0
AND,Andorra,0.001216878136118883,0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,-0.0283953210675186,0.0,Europe,0.0,0.0,0.0,0.0
ARE,United Arab Emirates,105.27675076407871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3886867918141067,0.0,Asia,0.0,0.0,0.0,0.0
ARG,Argentina,42.14751635730745,14.751630725057607,0.0001438719456340957,0.00041053980467688987,0.00021871678823515606,0.0,0.0,0.0,0.0,0.2599237005905737,0.35,Latin America,0.0,0.0,0.0,0.0
ARM,Armenia,2.4348395625424297,0.486967912508486,4.7493746515062905e-06,0.0028201175828890626,0.00021701458099833142,0.0,0.0,0.0,0.0,0.0971246744754968,0.2,Asia,0.0,0.0,0.0,0.0
ASM,American Samoa,0.2027183958702501,0.08919609418291004,8.699252206238505e-07,,,20.652913402419887,1.8787474475785992,5.668330410760097,5.528295412843472e-05,0.0909676717745046,0.44,Oceania,0.0,0.0,1.0,0.0
AUS,Australia,9752.1541433779,2925.64624301337,0.028533687228519757,0.031180515957435755,0.010882916982272202,0.0,0.0,0.0,0.0,0.2581802837052981,0.3,Oceania,0.0,1.0,0.0,0.0
AUT,Austria,209.23855094483503,52.30963773620876,0.000510173383322248,0.001764139952922092,0.0005198805695771721,794.0808126347015,73.02124639574049,217.94079755987244,0.0021255661263756974,0.0919569459857132,0.25,Europe,0.0,1.0,0.0,0.0
AZE,Azerbaijan,205.72935488934561,41.14587097786912,0.00040129370255588364,0.09323286063712248,0.007465136840558046,65.44033248121306,5.85919954517768,17.960537550602872,0.00017516825971315654,0.0895349904718129,0.2,Asia,0.0,0.0,0.0,0.0
BEL,Belgium,19097.723059828706,6491.316068035777,0.06330949369874007,0.16454635971560191,0.05969365376680505,0.0,0.0,0.0,0.0,0.1678086003050051,0.3399,Europe,0.0,1.0,0.0,0.0
BEN,Benin,0.5619090479712098,0.16857271439136293,1.6440815834082231e-06,0.003029628648777395,,0.0,-0.0,0.0,0.0,-0.0177786872300447,0.3,Africa,0.0,0.0,0.0,0.0
BFA,Burkina Faso,-0.0,-0.0,-0.0,-0.0,-0.0,21.758032920487565,2.771647327251451,5.971637864276732,5.8241097148422153e-05,0.1273850139569208,0.275,Africa,0.0,0.0,0.0,0.0
BGD,Bangladesh,2.858597557607806,0.7146493894019516,6.969941155375263e-06,0.0005680502059175759,3.682574493768098e-05,0.0,0.0,0.0,0.0,0.389694331925544,0.25,Asia,0.0,0.0,0.0,0.0
BGR,Bulgaria,7.087788232685287,0.7087788232685287,6.912685805961283e-06,0.0003195662513753717,6.459552931595654e-05,271.7810613876646,12.095466389596506,74.59213261175303,0.0007274934851521291,0.044504449014362,0.1,Europe,0.0,0.0,0.0,0.0
BHR,Bahrain,-0.0,-0.0,-0.0,-0.0,-0.0,154.087626435258,2.964206966567838,42.290381111193554,0.00041245605489159,0.0192371511921062,0.0,Asia,0.0,0.0,0.0,0.0
BHS,Bahamas,137.9136900301564,0.0,0.0,0.0,0.0,18321.069189474787,83.55077775134012,5028.340148473762,0.04904115985238863,0.0045603658218451,0.0,Caribbean/American isl.,0.0,0.0,0.0,0.0
BIH,Bosnia and Herzegovina,3.1836506515824285,0.31836506515824287,3.1049991827980208e-06,0.00028704653413939434,9.434751743726969e-05,92.85886407403,2.777308002995746,25.485737187945105,0.0002485611701844285,0.0299089164043789,0.1,Europe,0.0,0.0,0.0,0.0
BLR,Belarus,9.37367746309711,1.6872619433574798,1.645578465930979e-05,0.0008431914283314732,0.00025641363516713144,0.0,0.0,0.0,0.0,0.2038111494822799,0.18,Europe,0.0,0.0,0.0,0.0
BLZ,Belize,8.78836907628744e-05,2.19709226907186e-05,2.1428135328256338e-10,2.927513114590522e-07,4.7521513183360346e-08,0.0,0.0,0.0,0.0,0.4386444782223862,0.25,Caribbean/American isl.,0.0,0.0,0.0,0.0
BMU,Bermuda,275.0689177058648,0.0,0.0,,,24603.83192928907,275.47876133887036,6752.686462612038,0.06585862659799051,0.0111965795462508,0.0,Caribbean/American isl.,1.0,0.0,1.0,0.0
BOL,Bolivia,465.7148486872942,116.42871217182355,0.0011355236353211356,0.07744344879417765,,0.0,-0.0,0.0,0.0,-0.0283953210675186,0.25,Latin America,0.0,0.0,0.0,0.0
BRA,Brazil,13621.800334574433,4631.4121137553075,0.04516993980248198,0.06532148672722543,0.018811789654902957,0.0,0.0,0.0,0.0,0.2161958625087746,0.34,Latin America,0.0,0.0,0.0,0.0
BRB,Barbados,-0.0,-0.0,-0.0,-0.0,-0.0,905.832541175478,9.750737034315007,248.61180793986415,0.002424699016845725,0.0107643925240991,0.25,Caribbean/American isl.,0.0,0.0,0.0,0.0
BRN,Brunei Darussalam,15.891171981340205,2.939866816547938,2.867237979889272e-05,0.010649784113760278,,0.0,0.0,0.0,0.0,0.0957844430240283,0.185,Asia,0.0,0.0,0.0,0.0
BWA,Botswana,4.469359833173843,0.9832591632982454,9.589679373276146e-06,0.0016989060981685749,0.00030139294915277557,0.0,0.0,0.0,0.0,0.186843735564463,0.22,Africa,0.0,0.0,0.0,0.0
CAF,Central African Republic,7.8799643115187195,2.363989293455616,2.3055873987538586e-05,0.21605498162239023,0.01902764301243274,0.0,0.0,0.0,0.0,0.3596602863227537,0.3,Africa,0.0,0.0,0.0,0.0
CAN,Canada,5123.094292648773,1367.8661761372225,0.013340733088826984,0.011618787818732504,0.0071635975755641795,8125.5435632337085,869.1415931938462,2230.109853558819,0.021750154243236897,0.1069641170993803,0.267,Northern America,0.0,1.0,0.0,0.0
CHE,Switzerland,10604.496244175218,2242.700477841354,0.021872949996875116,0.08831465382755832,0.03466636920787552,9610.843154022445,845.0862457887625,2637.760274374066,0.025725949209526523,0.0879305001908253,0.21148581,Europe,0.0,1.0,0.0,0.0
CHL,Chile,1154.1084921437373,276.9860381144969,0.002701431520334972,0.02614797111702785,0.006359021471478223,0.0,0.0,0.0,0.0,0.1567827891839702,0.24,Latin America,0.0,1.0,0.0,0.0
CHN,China (People’s Republic of),12666.48084234944,3166.62021058736,0.03088389475528131,0.009748816469083706,0.0030899712299154378,0.0,0.0,0.0,0.0,0.1752069595428447,0.25,Asia,0.0,0.0,0.0,0.0
CIV,Côte d’Ivoire,62.53370243829616,15.63342560957404,0.00015247204877185075,0.03785990653628147,0.0028179967101538616,0.0,0.0,0.0,0.0,0.2777989527513236,0.25,Africa,0.0,0.0,0.0,0.0
CMR,Cameroon,142.46977162852025,47.015024637411685,0.00045853527617997964,0.3799591735485079,0.011932574237600637,0.0,0.0,0.0,0.0,0.3926815595888604,0.33,Africa,0.0,0.0,0.0,0.0
COD,Democratic Republic of the Congo,154.99746940787185,43.39929143420412,0.00042327120398790395,0.21201805545460087,0.014696239108641115,0.0,0.0,0.0,0.0,0.2885254831814473,0.28,Africa,0.0,0.0,0.0,0.0
COG,Congo,597.6585534451838,179.2975660335551,0.001748680546137016,1.4650292906432882,0.12530822890323465,0.0,0.0,0.0,0.0,0.2154724035317379,0.3,Africa,0.0,0.0,0.0,0.0
COL,Colombia,2247.1687774433394,898.8675109773358,0.008766611643275198,0.06002594898983914,0.022101548488371495,0.0,0.0,0.0,0.0,0.3457262067227979,0.4,Latin America,0.0,1.0,0.0,0.0
CRI,Costa Rica,61.51853332411265,18.455559997233795,0.00017999618984893229,0.005845339247428175,0.002321239452503133,124.2817785386381,14.343565261121354,34.109966524692425,0.0003326728645047619,0.1154116510865836,0.3,Latin America,0.0,0.0,0.0,0.0
CUW,Curaçao,-0.0,-0.0,-0.0,,,141.7130887471346,1.7887204137941082,38.89410636147867,0.00037933235045127815,0.0126221256597251,0.22,Caribbean/American isl.,0.0,0.0,1.0,1.0
CYM,Cayman Islands,184.4178442914231,0.0,0.0,,,20212.882431081034,71.86038882574103,5547.560963471169,0.05410509551209219,0.0035551776977262,0.0,Caribbean/American isl.,1.0,0.0,1.0,0.0
CYP,Cyprus,26.546948316782146,3.3183685395977682,3.2363888916493956e-05,0.005642995571418089,0.0006704728539569924,1892.3841826747002,64.72947329187475,519.3775135976485,0.005065463933622219,0.0342052495917536,0.125,Europe,0.0,0.0,0.0,0.0
CZE,Czechia,272.1576027840544,51.70994452897034,0.0005043246042877792,0.00421700797258317,0.0017666765016111656,1576.2917274307513,219.50012858932953,432.62382215665474,0.004219359349580915,0.139250955117997,0.19,Europe,0.0,1.0,0.0,0.0
DEU,Germany,5659.10338704628,1687.4792107820463,0.01645790365806172,0.0055956193973643285,0.004305246177909799,6415.950855166783,895.7086718108036,1760.9006844536975,0.017173979762822113,0.1396065356531662,0.29818844,Europe,0.0,1.0,0.0,0.0
DNK,Denmark,228.90225960356014,50.35849711278323,0.0004911440025758115,0.0018636211204761798,0.0004830452360320207,8269.626278655734,914.9499154290573,2269.6543198323216,0.02213582952265984,0.1106398142550387,0.22,Europe,0.0,1.0,0.0,0.0
DOM,Dominican Republic,68.99847427388865,18.629588053949934,0.00018169347712390058,0.009235022203060569,0.0019060103230114649,0.0,0.0,0.0,0.0,0.1663562981006439,0.27,Latin America,0.0,0.0,0.0,0.0
DZA,Algeria,253.43206335363115,65.8923364719441,0.0006426447914325798,0.009244269994925981,,0.0,0.0,0.0,0.0,0.2862677390554765,0.26,Africa,0.0,0.0,0.0,0.0
ECU,Ecuador,170.9339250092424,37.605463502033324,0.0003667642785634047,0.008359219847335992,0.002647683662091192,0.0,0.0,0.0,0.0,0.4273883260838671,0.22,Latin America,0.0,0.0,0.0,0.0
EGY,Egypt,1296.8128347107504,291.78288780991886,0.002845744484414224,0.06520953024399748,,0.0,0.0,0.0,0.0,0.3306372805195423,0.225,Africa,0.0,0.0,0.0,0.0
ESP,Spain,2300.363241756228,575.090810439057,0.005608833040648998,0.007282152821358122,0.0033810520680263457,5654.524668659667,623.7565260979002,1551.9221677461387,0.015135822330954427,0.1103110451626615,0.25,Europe,0.0,1.0,0.0,0.0
EST,Estonia,19.21376049488984,3.842752098977968,3.7478176574088985e-05,0.0032007560091907,0.0007331000521638506,18.50518484035749,1.1072875962894806,5.078871922013907,4.9533993811634435e-05,0.0598366136756778,0.2,Europe,0.0,1.0,0.0,0.0
ETH,Ethiopia,18.42317560904012,5.526952682712035,5.390410394009235e-05,0.008510335715480339,0.0009198669080448322,0.0,0.0,0.0,0.0,0.260222246005237,0.3,Africa,0.0,0.0,0.0,0.0
FIN,Finland,203.5226837208743,40.70453674417487,0.0003969893909811186,0.0023161340858345583,0.0008122578810783142,1537.4250174478436,132.2183860634543,421.9565932834394,0.0041153223789491345,0.0859998923934121,0.2,Europe,0.0,1.0,0.0,0.0
FJI,Fiji,19.516793108687814,3.903358621737563,3.80692690783725e-05,0.037776519346772536,0.0033640733689864577,0.0,0.0,0.0,0.0,0.1686266504316739,0.2,Oceania,0.0,0.0,0.0,0.0
FRA,France,6977.778183036169,2402.6815977661936,0.02343323817228417,0.011280586230690217,0.004212385959227031,0.0,0.0,0.0,0.0,0.1909206948918544,0.34433333,Europe,0.0,1.0,0.0,0.0
FRO,Faroe Islands,-0.0,-0.0,-0.0,,,2.3694306362288264,0.028324501849396253,0.6503061078999554,6.3424042226312825e-06,0.0119541384399745,0.18,Europe,0.0,0.0,1.0,0.0
GAB,Gabon,369.2067773567014,110.76203320701042,0.0010802567876656683,0.3928333142627259,0.0688703543479496,13.354486603779625,1.084624022210623,3.665228293041839,3.5746795424951606e-05,0.0812179497715509,0.3,Africa,0.0,0.0,0.0,0.0
GBR,United Kingdom,2713.3096913201607,542.6619382640322,0.005292555808558645,0.0025419770014673696,0.0007932682799542143,19645.245585012643,1786.8455279860086,5391.769229194086,0.052585666213602444,0.0909556218197238,0.2,Europe,0.0,1.0,0.0,0.0
GEO,Georgia,16.23126749180764,2.4346901237711456,2.3745415788375766e-05,0.005487791538965676,0.0006841324020354364,21.60465314943884,-0.06290275004721,5.92954175881739,5.783053585462798e-05,-0.0029115371402685,0.15,Asia,0.0,0.0,0.0,0.0
