iso_partner,year,median_positive_misalignment,median_negative_misalignment,avg_positive_misalignment,avg_negative_misalignment,sd_positive_misalignment,sd_negative_misalignment,percentile_2_5_positive_misalignment,percentile_2_5_negative_misalignment,percentile_97_5_positive_misalignment,percentile_97_5_negative_misalignment,gdp_current_usd,gvt_health_expenditure,population,cit,etr_average_corrected,total_avg_positive_misalignment,total_avg_negative_misalignment,loss_incurred_cit_usd,loss_incurred_etr_usd,total_loss_cit,total_loss_etr,loss_inflicted_share,loss_inflicted_cit_usd,loss_inflicted_etr_usd
A,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,241480.65761403742,-197399.0220908607,,,-41860.78933717287,-46025.447648869376,0.0,-0.0,-0.0
A,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,729772.2581859297,-628457.57180211,,,-114705.62143170962,-135171.86524955707,0.0,-0.0,-0.0
A,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1341207.2304346426,-1041710.8417332105,,,-199301.9901608886,-197938.54993975692,0.0,-0.0,-0.0
A,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1473329.4303707627,-1240089.2811487105,,,-243511.33071857743,-213760.43436562293,0.0,-0.0,-0.0
A,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1585807.459474308,-1247494.7933691046,,,-210669.83012816196,-189973.37100691992,0.0,-0.0,-0.0
A,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1040528.4419489814,-1130695.7387311675,,,-170621.33062327662,-170286.03921121365,0.0,-0.0,-0.0
ABW,2016.0,0.13935770792698632,0.0,0.14187059595108922,0.0,0.005745868775965544,0.0,0.13935449439383274,0.0,0.15854947311971523,0.0,2983635195.53073,0.0,104874.0,0.25,0.1491936696069537,241480.65761403742,-197399.0220908607,0.0,0.0,-41860.78933717287,-46025.447648869376,5.875029385494029e-07,-0.024593336745586572,-0.027040085741762466
ABW,2017.0,0.01798491114225492,-578.9699781452975,0.01830501888532769,-578.9893205712332,0.0007445493479614307,0.046648618857184715,0.017966180322456206,-579.0792176163751,0.020463426274597192,-578.9308398125035,3092429050.27933,0.0,105439.0,0.25,0.1486092676299819,729772.2581859297,-628457.57180211,-144.7473301428083,-86.04317889567177,-114705.62143170962,-135171.86524955707,2.5083193667611268e-08,-0.002877183317135274,-0.0033905420744668935
ABW,2017.0,0.01798491114225492,-578.9699781452975,0.01830501888532769,-578.9893205712332,0.0007445493479614307,0.046648618857184715,0.017966180322456206,-579.0792176163751,0.020463426274597192,-578.9308398125035,3092429050.27933,0.0,105439.0,0.25,0.1486092676299819,729772.2581859297,-628457.57180211,-144.7473301428083,-86.04317889567177,-114705.62143170962,-135171.86524955707,2.5083193667611268e-08,-0.002877183317135274,-0.0033905420744668935
ABW,2017.0,0.01798491114225492,-578.9699781452975,0.01830501888532769,-578.9893205712332,0.0007445493479614307,0.046648618857184715,0.017966180322456206,-579.0792176163751,0.020463426274597192,-578.9308398125035,3092429050.27933,0.0,105439.0,0.25,0.1486092676299819,729772.2581859297,-628457.57180211,-144.7473301428083,-86.04317889567177,-114705.62143170962,-135171.86524955707,2.5083193667611268e-08,-0.002877183317135274,-0.0033905420744668935
ABW,2017.0,0.01798491114225492,-578.9699781452975,0.01830501888532769,-578.9893205712332,0.0007445493479614307,0.046648618857184715,0.017966180322456206,-579.0792176163751,0.020463426274597192,-578.9308398125035,3092429050.27933,0.0,105439.0,0.25,0.1486092676299819,729772.2581859297,-628457.57180211,-144.7473301428083,-86.04317889567177,-114705.62143170962,-135171.86524955707,2.5083193667611268e-08,-0.002877183317135274,-0.0033905420744668935
ABW,2018.0,0.1585956366188369,-0.0010698353437318152,0.16143599338125636,-0.0010889657269957916,0.0065348585180556975,4.402911060272155e-05,0.15856241780573482,-0.0012167370169051896,0.18040600507714522,-0.0010694466040572833,3276184357.5419,0.0,105962.0,0.25,0.1486092676299819,1341207.2304346426,-1041710.8417332105,-0.0002722414317489479,-0.0001618303991629954,-199301.9901608886,-197938.54993975692,1.2036618183823844e-07,-0.02398921958842833,-0.023825107494846023
ABW,2018.0,0.1585956366188369,-0.0010698353437318152,0.16143599338125636,-0.0010889657269957916,0.0065348585180556975,4.402911060272155e-05,0.15856241780573482,-0.0012167370169051896,0.18040600507714522,-0.0010694466040572833,3276184357.5419,0.0,105962.0,0.25,0.1486092676299819,1341207.2304346426,-1041710.8417332105,-0.0002722414317489479,-0.0001618303991629954,-199301.9901608886,-197938.54993975692,1.2036618183823844e-07,-0.02398921958842833,-0.023825107494846023
ABW,2018.0,0.1585956366188369,-0.0010698353437318152,0.16143599338125636,-0.0010889657269957916,0.0065348585180556975,4.402911060272155e-05,0.15856241780573482,-0.0012167370169051896,0.18040600507714522,-0.0010694466040572833,3276184357.5419,0.0,105962.0,0.25,0.1486092676299819,1341207.2304346426,-1041710.8417332105,-0.0002722414317489479,-0.0001618303991629954,-199301.9901608886,-197938.54993975692,1.2036618183823844e-07,-0.02398921958842833,-0.023825107494846023
ABW,2018.0,0.1585956366188369,-0.0010698353437318152,0.16143599338125636,-0.0010889657269957916,0.0065348585180556975,4.402911060272155e-05,0.15856241780573482,-0.0012167370169051896,0.18040600507714522,-0.0010694466040572833,3276184357.5419,0.0,105962.0,0.25,0.1486092676299819,1341207.2304346426,-1041710.8417332105,-0.0002722414317489479,-0.0001618303991629954,-199301.9901608886,-197938.54993975692,1.2036618183823844e-07,-0.02398921958842833,-0.023825107494846023
ABW,2019.0,0.1529977762328904,-0.0005071506688549888,0.15573800991035341,-0.0005162353532396276,0.00630131746041715,2.0887518357818334e-05,0.1529656062906936,-0.0005768557895093157,0.17402911858326522,-0.0005070035587942667,3395798882.68156,0.0,106442.0,0.25,0.1097439873564686,1473329.4303707627,-1240089.2811487105,-0.0001290588383099069,-5.66537260788918e-05,-243511.33071857743,-213760.43436562293,1.0570481163276702e-07,-0.025740319344051663,-0.02259550644915663
ABW,2019.0,0.1529977762328904,-0.0005071506688549888,0.15573800991035341,-0.0005162353532396276,0.00630131746041715,2.0887518357818334e-05,0.1529656062906936,-0.0005768557895093157,0.17402911858326522,-0.0005070035587942667,3395798882.68156,0.0,106442.0,0.25,0.1097439873564686,1473329.4303707627,-1240089.2811487105,-0.0001290588383099069,-5.66537260788918e-05,-243511.33071857743,-213760.43436562293,1.0570481163276702e-07,-0.025740319344051663,-0.02259550644915663
