,iso_partner,year,median_positive_misalignment,median_negative_misalignment,avg_positive_misalignment,avg_negative_misalignment,sd_positive_misalignment,sd_negative_misalignment,percentile_2_5_positive_misalignment,percentile_2_5_negative_misalignment,percentile_97_5_positive_misalignment,percentile_97_5_negative_misalignment,gdp_current_usd,gvt_health_expenditure,population,cit,etr_average_corrected,total_avg_positive_misalignment,total_avg_negative_misalignment,loss_incurred_cit_usd,loss_incurred_etr_usd,loss_incurred_cit_2_5,loss_incurred_etr_2_5,loss_incurred_cit_97_5,loss_incurred_etr_97_5,total_loss_cit,total_loss_etr,loss_incurred_cit_share,loss_incurred_etr_share,loss_inflicted_share,loss_inflicted_cit_usd,loss_inflicted_etr_usd
0,A,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,243356.28324292038,-199995.82890608907,,,,,,,-41967.07410859436,-46412.77871145632,,,0.0,-0.0,-0.0
1,A,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,734124.251756639,-635214.3509934606,,,,,,,-114925.79438038998,-136168.71541455807,,,0.0,-0.0,-0.0
2,A,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1339633.3038660635,-1041929.99204691,,,,,,,-198513.8536518167,-198198.84600581072,,,0.0,-0.0,-0.0
3,A,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1473329.4303707627,-1241000.5969828414,,,,,,,-243084.31369876204,-214004.33826215213,,,0.0,-0.0,-0.0
4,A,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1584323.81184587,-1246576.4573197458,,,,,,,-210453.48789004268,-189880.71348363595,,,0.0,-0.0,-0.0
5,A,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1040528.4419489814,-1130695.7387311675,,,,,,,-170621.33062327662,-170286.03921121365,,,0.0,-0.0,-0.0
6,ABW,2016.0,0.13935770792698632,0.0,0.14187059595108922,0.0,0.005745868775965544,0.0,0.13935449439383274,0.0,0.15854947311971523,0.0,2983635195.53073,0.0,104874.0,0.25,0.1491936696069537,243356.28324292038,-199995.82890608907,0.0,0.0,0.0,0.0,0.0,0.0,-41967.07410859436,-46412.77871145632,-0.0,-0.0,5.829748632767897e-07,-0.024465749290584697,-0.02705748332360714
7,ABW,2017.0,0.01798491114225492,-580.0813507723349,0.01830501888532769,-580.1006678852984,0.0007445493479614307,0.046617983916263345,0.017966180322456206,-580.1904171459372,0.020463426274597192,-580.0423233548698,3092429050.27933,0.0,105439.0,0.25,0.1486092676299819,734124.251756639,-635214.3509934606,-145.0251669713246,-86.20833540609756,-145.0476042864843,-86.22167297799142,-145.01058083871746,-86.19966486816034,-114925.79438038998,-136168.71541455807,0.0012619026716605454,0.0006330994248101782,2.4934496907746584e-08,-0.002865616864598154,-0.0033952984134361227
8,ABW,2017.0,0.01798491114225492,-580.0813507723349,0.01830501888532769,-580.1006678852984,0.0007445493479614307,0.046617983916263345,0.017966180322456206,-580.1904171459372,0.020463426274597192,-580.0423233548698,3092429050.27933,0.0,105439.0,0.25,0.1486092676299819,734124.251756639,-635214.3509934606,-145.0251669713246,-86.20833540609756,-145.0476042864843,-86.22167297799142,-145.01058083871746,-86.19966486816034,-114925.79438038998,-136168.71541455807,0.0012619026716605454,0.0006330994248101782,2.4934496907746584e-08,-0.002865616864598154,-0.0033952984134361227
9,ABW,2017.0,0.01798491114225492,-580.0813507723349,0.01830501888532769,-580.1006678852984,0.0007445493479614307,0.046617983916263345,0.017966180322456206,-580.1904171459372,0.020463426274597192,-580.0423233548698,3092429050.27933,0.0,105439.0,0.25,0.1486092676299819,734124.251756639,-635214.3509934606,-145.0251669713246,-86.20833540609756,-145.0476042864843,-86.22167297799142,-145.01058083871746,-86.19966486816034,-114925.79438038998,-136168.71541455807,0.0012619026716605454,0.0006330994248101782,2.4934496907746584e-08,-0.002865616864598154,-0.0033952984134361227
10,ABW,2017.0,0.01798491114225492,-580.0813507723349,0.01830501888532769,-580.1006678852984,0.0007445493479614307,0.046617983916263345,0.017966180322456206,-580.1904171459372,0.020463426274597192,-580.0423233548698,3092429050.27933,0.0,105439.0,0.25,0.1486092676299819,734124.251756639,-635214.3509934606,-145.0251669713246,-86.20833540609756,-145.0476042864843,-86.22167297799142,-145.01058083871746,-86.19966486816034,-114925.79438038998,-136168.71541455807,0.0012619026716605454,0.0006330994248101782,2.4934496907746584e-08,-0.002865616864598154,-0.0033952984134361227
11,ABW,2018.0,0.1585956366188369,-0.0010700004319569429,0.16143599338125636,-0.001089133926796921,0.0065348585180556975,4.403609285345671e-05,0.15856241780573482,-0.001216925493173744,0.18040600507714522,-0.001069611451994889,3276184357.5419,0.0,105962.0,0.25,0.1486092676299819,1339633.3038660635,-1041929.99204691,-0.00027228348169923026,-0.00016185539521225675,-0.000304231373293436,-0.00018084640630080463,-0.00026740286299872226,-0.000158954174529602,-198513.8536518167,-198198.84600581072,1.3716094705249225e-09,8.166313703335666e-10,1.205075992925574e-07,-0.02392242792989451,-0.02388446711471553
12,ABW,2018.0,0.1585956366188369,-0.0010700004319569429,0.16143599338125636,-0.001089133926796921,0.0065348585180556975,4.403609285345671e-05,0.15856241780573482,-0.001216925493173744,0.18040600507714522,-0.001069611451994889,3276184357.5419,0.0,105962.0,0.25,0.1486092676299819,1339633.3038660635,-1041929.99204691,-0.00027228348169923026,-0.00016185539521225675,-0.000304231373293436,-0.00018084640630080463,-0.00026740286299872226,-0.000158954174529602,-198513.8536518167,-198198.84600581072,1.3716094705249225e-09,8.166313703335666e-10,1.205075992925574e-07,-0.02392242792989451,-0.02388446711471553
13,ABW,2018.0,0.1585956366188369,-0.0010700004319569429,0.16143599338125636,-0.001089133926796921,0.0065348585180556975,4.403609285345671e-05,0.15856241780573482,-0.001216925493173744,0.18040600507714522,-0.001069611451994889,3276184357.5419,0.0,105962.0,0.25,0.1486092676299819,1339633.3038660635,-1041929.99204691,-0.00027228348169923026,-0.00016185539521225675,-0.000304231373293436,-0.00018084640630080463,-0.00026740286299872226,-0.000158954174529602,-198513.8536518167,-198198.84600581072,1.3716094705249225e-09,8.166313703335666e-10,1.205075992925574e-07,-0.02392242792989451,-0.02388446711471553
14,ABW,2018.0,0.1585956366188369,-0.0010700004319569429,0.16143599338125636,-0.001089133926796921,0.0065348585180556975,4.403609285345671e-05,0.15856241780573482,-0.001216925493173744,0.18040600507714522,-0.001069611451994889,3276184357.5419,0.0,105962.0,0.25,0.1486092676299819,1339633.3038660635,-1041929.99204691,-0.00027228348169923026,-0.00016185539521225675,-0.000304231373293436,-0.00018084640630080463,-0.00026740286299872226,-0.000158954174529602,-198513.8536518167,-198198.84600581072,1.3716094705249225e-09,8.166313703335666e-10,1.205075992925574e-07,-0.02392242792989451,-0.02388446711471553
15,ABW,2019.0,0.1529977762328904,-0.0005072235618915385,0.15573800991035341,-0.0005163095409921289,0.00630131746041715,2.0890519375996636e-05,0.1529656062906936,-0.0005769386836856961,0.17402911858326522,-0.0005070763852553673,3395798882.68156,0.0,106442.0,0.25,0.1097439873564686,1473329.4303707627,-1241000.5969828414,-0.00012907738524803222,-5.66618677386643e-05,-0.00014423467092142402,-6.331555160786068e-05,-0.00012676909631384182,-5.564858441222883e-05,-243084.31369876204,-214004.33826215213,5.309984148462541e-10,2.647697154122846e-10,1.0570481163276702e-07,-0.02569518159040809,-0.022621288264595748
16,ABW,2019.0,0.1529977762328904,-0.0005072235618915385,0.15573800991035341,-0.0005163095409921289,0.00630131746041715,2.0890519375996636e-05,0.1529656062906936,-0.0005769386836856961,0.17402911858326522,-0.0005070763852553673,3395798882.68156,0.0,106442.0,0.25,0.1097439873564686,1473329.4303707627,-1241000.5969828414,-0.00012907738524803222,-5.66618677386643e-05,-0.00014423467092142402,-6.331555160786068e-05,-0.00012676909631384182,-5.564858441222883e-05,-243084.31369876204,-214004.33826215213,5.309984148462541e-10,2.647697154122846e-10,1.0570481163276702e-07,-0.02569518159040809,-0.022621288264595748
