partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,eu27,oecd,oecd_oct,oecd_inkl_oct
Afghanistan,71.60246765,14.32049353,5.57E-05,0.132969309,0.007857114,6.29093723,0.026875103,1.053697625,4.10E-06,0.004272035,0.2,Asia,0,0,0,0,0
Albania,35.23971427,5.285957141,2.06E-05,0.010039184,0.001619914,0,0,0,0,0.17614404,0.15,Europe,0,0,0,0,0
Algeria,292.9207267,76.15938895,0.000296302,0.014256886,,0,0,0,0,0.247442119,0.26,Africa,0,0,0,0,0
American Samoa,19.99802488,6.799328458,2.65E-05,,,0,0,0,0,0.213264819,0.34,Oceania,0,0,0,1,1
Andorra,10.15287447,0,0,0,,0,0,0,0,0.006471712,0,Europe,0,0,0,0,0
Angola,3164.300573,791.0751434,0.003077717,0.618137358,0.113917173,0,0,0,0,0.401559632,0.25,Africa,0,0,0,0,0
Anguilla,1.719642965,0,0,,,0,0,0,0,0,0,Caribbean/American isl.,1,0,0,1,1
Antigua and Barbuda,0,0,0,0,,0,0,0,0,0.176487026,0.25,Caribbean/American isl.,0,0,0,0,0
Argentina,4699.649738,1409.894921,0.005485265,0.047154666,0.025196854,0,0,0,0,0.164279701,0.3,Latin America,0,0,0,0,0
Armenia,132.9535218,23.93163393,9.31E-05,0.078783332,0.007837445,0,0,0,0,0.530379215,0.18,Asia,0,0,0,0,0
Aruba,53.03503681,13.2587592,5.16E-05,,,4.314048887,0.309921496,0.722579625,2.81E-06,0.071840052,0.25,Caribbean/American isl.,0,0,0,1,1
Australia,51244.24179,15373.27254,0.05981047,0.110548977,0.042822127,0,0,0,0,0.196398491,0.3,Oceania,0,0,1,0,1
Austria,4312.062772,1078.015693,0.004194073,0.023709908,0.008700615,10438.21361,938.3371738,1748.343766,0.006802017,0.089894421,0.25,Europe,0,1,1,0,1
Azerbaijan,2155.464697,431.0929393,0.001677188,0.530795546,0.058585989,233.4091528,21.68978583,39.09475821,0.0001521,0.09292603,0.2,Asia,0,0,0,0,0
Bahamas,308.7922344,0,0,0,0,221.1012277,0.137376257,37.03324798,0.00014408,0.000621327,0,Caribbean/American isl.,0,0,0,0,0
Bahrain,642.8540256,0,0,0,0,719.2216396,13.80047742,120.4656962,0.000468678,0.019188073,0,Asia,0,0,0,0,0
Bailiwick of Guernsey,5518.874191,0,0,,,8.653702095,0.226801874,1.449447834,5.64E-06,0.026208653,0,Europe,1,0,0,1,1
Bangladesh,684.9782501,222.6179313,0.000866106,0.134380253,0.006997705,0,0,0,0,0.207815778,0.325,Asia,0,0,0,0,0
Barbados,1484.050831,81.62279569,0.000317557,0.38288586,0.06146377,5840.131789,84.59898353,978.1901757,0.003805697,0.0144858,0.055,Caribbean/American isl.,0,0,0,0,0
Belarus,100.7073963,18.12733134,7.05E-05,0.005453576,0.00202865,0,0,0,0,0.246355738,0.18,Europe,0,0,0,0,0
Belgium,12308.86525,3077.216313,0.011972061,0.060421751,0.02213717,8334.823737,1245.299787,1396.037451,0.005431352,0.149409253,0.25,Europe,0,1,1,0,1
Belize,682.312727,0,0,0,0,0,0,0,0,31771.22222,0,Caribbean/American isl.,0,0,0,0,0
