,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,tax_revenue,tax_revenue_befit_pct_total,additional_revenue_through_minimum_tax,tax_revenue_incl_mintax,tax_revenue_befit_mintax_pct_total,tax_revenue_befit_pct_total_eu,tax_revenue_befit_mintax_pct_total_eu,etr_average_corrected
0,Austria,1884.9332857815791,4291.021712927314,-2406.0884271457353,-276.0387925411798,-0.002602247429120034,883.0365023970849,606.997709855905,0.0057222327898664325,0.004522884250298679,0.008395369311134201,0.1147251237431185
1,Belgium,6625.021008704713,4019.1442682804413,2605.8767404242712,577.1296135388565,0.004895510226178042,0.0,577.1296135388565,0.004895510226178042,0.004522884250298679,0.008395369311134201,0.2214723377303303
2,Bulgaria,844.4153921484527,237.55444244466543,606.8609497037874,65.77372553104597,0.005403569761467227,65.82930202941336,131.60302756045934,0.010811705350452993,0.004522884250298679,0.008395369311134201,0.1083835194259089
12,Croatia,361.4400031006608,124.07074383307754,237.3692592675833,44.07189308905385,0.0004936577818020657,0.0,44.07189308905385,0.0004936577818020657,0.004522884250298679,0.008395369311134201,0.1856680735535859
3,Cyprus,369.620421122201,1330.38238332879,-960.761962206589,-28.707503283511087,-0.005252157745275017,31.989277057968767,3.2817737744576796,0.0006004142323884539,0.004522884250298679,0.008395369311134201,0.029879933232971
4,Czech Republic,2044.439637767788,2568.1025778076846,-523.6629400398965,-90.26125237873097,-0.0027513282445012156,0.0,-90.26125237873097,-0.0027513282445012156,0.004522884250298679,0.008395369311134201,0.1723651713292031
6,Denmark,685.4089978476878,6784.345899216137,-6098.936901368449,-1060.8599659969148,-0.009563497293064164,0.0,-1060.8599659969148,-0.009563497293064164,0.004522884250298679,0.008395369311134201,0.1739417841425584
8,Estonia,220.5095200336833,5.94264305364103,214.56687698004225,24.284628269531662,0.004306966216283095,12.457050708833265,36.74167897836493,0.006516268988472697,0.004522884250298679,0.008395369311134201,0.1131797629313982
9,Finland,564.1684975756076,2865.1133706947917,-2300.944873119184,-337.17714242700885,-0.0063611402938770125,45.51706817492277,-291.6600742520861,-0.005502421181595173,0.004522884250298679,0.008395369311134201,0.1465385574274659
10,France,26677.910122700974,2698.3925180697565,23979.51760463122,6051.2687331462475,0.009868071941650625,0.0,6051.2687331462475,0.009868071941650625,0.004522884250298679,0.008395369311134201,0.2523515624008029
5,Germany,35187.97705781925,8889.982719246582,26297.994338572666,4843.194617700279,0.011491398791551225,0.0,4843.194617700279,0.011491398791551225,0.004522884250298679,0.008395369311134201,0.1841659312625415
11,Greece,439.52004119355075,156.76171951257473,282.758321680976,68.53930455753354,0.0012962306099123598,0.0,68.53930455753354,0.0012962306099123598,0.004522884250298679,0.008395369311134201,0.242395357809711
13,Hungary,13801.992610866319,1258.8614080127948,12543.131202853523,3116.938849238708,0.09518554214846267,0.0,3116.938849238708,0.09518554214846267,0.004522884250298679,0.008395369311134201,0.2484976676740505
14,Ireland,1018.6599391874047,13224.892261622612,-12206.232322435208,-1165.665840479507,-0.01898894047747731,1943.3833219947187,777.7174815152116,0.012669180524935817,0.004522884250298679,0.008395369311134201,0.0954975957926836
15,Italy,14675.546226249953,1572.6389371195144,13102.907289130439,3211.2595102006953,0.006631497608509115,0.0,3211.2595102006953,0.006631497608509115,0.004522884250298679,0.008395369311134201,0.2450799230537643
18,Latvia,119.8666459985595,87.72291339883148,32.143732599728025,4.368835484747222,0.0006103900149068403,6.239313498394765,10.608148983141987,0.001482113079918061,0.004522884250298679,0.008395369311134201,0.1359156243349345
16,Lithuania,221.71641123741495,7.275678614728927,214.44073262268603,33.81353344087226,0.0042521307314619654,0.0,33.81353344087226,0.0042521307314619654,0.004522884250298679,0.008395369311134201,0.1576824189477474
17,Luxembourg,12681.91447220748,31491.113909106585,-18809.199436899107,-360.67638247851426,-0.022386396021509252,2343.149863570822,1982.4734810923078,0.12304780297755208,0.004522884250298679,0.008395369311134201,0.0191755307655973
19,Malta,455.91869063632214,5143.664203610563,-4687.745512974241,-115.42035555646903,-0.03416462116539403,74.05281316257371,-41.36754239389532,-0.012244862768070016,0.004522884250298679,0.008395369311134201,0.0246217195957035
20,Netherlands,6960.648254655028,43105.062929102976,-36144.41467444795,-2249.739188604376,-0.011686755213526481,5065.661416525078,2815.9222279207015,0.014627915068880688,0.004522884250298679,0.008395369311134201,0.0622430660135939
21,Poland,8325.670764231958,1228.7747236967082,7096.89604053525,1198.112346471092,0.013549700244281523,0.0,1198.112346471092,0.013549700244281523,0.004522884250298679,0.008395369311134201,0.1688220229841115
22,Portugal,1745.0112481658618,1362.7184182146761,382.2928299511857,56.27533279871947,0.0011364378673846959,14.869802773166043,71.1451355718855,0.0014367223101690555,0.004522884250298679,0.008395369311134201,0.1472047822762074
23,Romania,4119.418959888022,293.6840020872127,3825.7349578008093,571.3931915785195,0.017444491842891895,5.323849197405707,576.7170407759252,0.01760702763307232,0.004522884250298679,0.008395369311134201,0.149355142967609
24,Slovak Republic,1349.3881437314942,320.89771444827676,1028.4904292832175,221.25671307122948,0.012459376521168563,0.0,221.25671307122948,0.012459376521168563,0.004522884250298679,0.008395369311134201,0.2151276344160336
25,Slovenia,285.7547044623362,218.2279486671136,67.52675579522258,7.884107173650356,0.000884827876109716,34.969401500467626,42.85350867411798,0.004809419535885508,0.004522884250298679,0.008395369311134201,0.1167553080375904
7,Spain,7937.823635255263,8174.135274655614,-236.31163940035094,-35.11109465072464,-0.00019494172791890017,79.40385842931755,44.292763778592914,0.0002459196442377046,0.004522884250298679,0.008395369311134201,0.148579624515408
26,Sweden,1802.248974404522,9946.458346200405,-8144.209371795883,-1006.5106527653123,-0.006614190515264108,840.969737188434,-165.54091557687832,-0.00108783662715195,0.004522884250298679,0.008395369311134201,0.1235860482972046
