,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,tax_revenue,tax_revenue_befit_pct_total,additional_revenue_through_minimum_tax,tax_revenue_incl_mintax,tax_revenue_befit_mintax_pct_total,tax_revenue_befit_pct_total_eu,tax_revenue_befit_mintax_pct_total_eu,etr_average_corrected
0,Austria,1841.469795032054,1515.71358870116,325.756206330894,25.89457289036058,0.0002573538239948357,974.9780690866103,1000.8726419769708,0.009947196381079248,0.002751340863455293,0.005346109067535286,0.0794906509442144
1,Belgium,22459.01726960438,5925.314762868824,16533.702506735557,2080.344864427153,0.019130694723703236,942.6333769861385,3022.9782414132915,0.027799080278355467,0.002751340863455293,0.005346109067535286,0.1258245008085548
2,Bulgaria,294.30938025479645,330.6539042077699,-36.344523952973475,-3.54449756411934,-0.00032303264263380485,33.3320819645475,29.78758440042816,0.0027147323231236486,0.002751340863455293,0.005346109067535286,0.0975249412732878
12,Croatia,77.11941814861585,481.8854229084694,-404.76600475985356,-73.75070573197318,-0.0008886784527640917,0.0,-73.75070573197318,-0.0008886784527640917,0.002751340863455293,0.005346109067535286,0.1822057802896003
3,Cyprus,41.1898368010868,1889.2993260871328,-1848.109489286046,-40.0472234059188,-0.008091499135296209,14.249032307107269,-25.79819109881153,-0.005212497227395498,0.002751340863455293,0.005346109067535286,0.0216692915858517
4,Czech Republic,2406.745492494821,2293.7449309261942,113.00056156862684,16.05975405187948,0.0005486834372683312,36.61632872850873,52.676082780388214,0.0017996847316844235,0.002751340863455293,0.005346109067535286,0.1421210109838805
6,Denmark,499.692621689934,4171.335177948375,-3671.6425562584404,-849.7586947509257,-0.008150995617619944,0.0,-849.7586947509257,-0.008150995617619944,0.002751340863455293,0.005346109067535286,0.2314382954578416
8,Estonia,89.87212205924756,18.30297729534177,71.5691447639058,5.840907323889425,0.0011142976058659353,11.121468553501247,16.96237587739067,0.003235992934294388,0.002751340863455293,0.005346109067535286,0.0816120877671176
9,Finland,297.7332523211678,1602.57200257176,-1304.8387502505923,-170.65819629493294,-0.003405479487025549,157.245330694607,-13.412865600325944,-0.00026765335422390636,0.002751340863455293,0.005346109067535286,0.130788724861335
10,France,29704.388828527943,10133.022483533065,19571.36634499488,4679.240666376023,0.008203653659815511,0.0,4679.240666376023,0.008203653659815511,0.002751340863455293,0.005346109067535286,0.2390860496856765
