,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,tax_revenue,tax_revenue_befit_pct_total,additional_revenue_through_minimum_tax,tax_revenue_incl_mintax,tax_revenue_befit_mintax_pct_total,tax_revenue_befit_pct_total_eu,tax_revenue_befit_mintax_pct_total_eu,etr_average_corrected_4yrs
0,Austria,3218.668150680802,6442.088136104225,-3223.419985423423,-334.1796596770375,-0.002938093691596426,833.999415790571,499.8197561135335,0.004394394541521952,0.0036988053439233827,0.005933806700015581,0.10367239180380654
1,Belgium,10709.277888174664,3695.143335632271,7014.134552542393,1323.6353276733453,0.010913118583993162,0.0,1323.6353276733453,0.010913118583993162,0.0036988053439233827,0.005933806700015581,0.1887097143287009
2,Bulgaria,653.4945862846747,761.6575264263558,-108.16294014168113,-10.217951307807905,-0.0007242269408512523,71.55221488300519,61.334263575197284,0.004347243859391525,0.0036988053439233827,0.005933806700015581,0.09446813570732777
12,Croatia,124.62004924012591,507.1811180561143,-382.5610688159884,-68.66537795837942,-0.0007034767530389431,0.0,-68.66537795837942,-0.0007034767530389431,0.0036988053439233827,0.005933806700015581,0.17948867136662938
3,Cyprus,1904.923311387231,790.4992273790887,1114.4240840081425,50.22068412850189,0.00830712085530947,28.022788130480905,78.24347225898279,0.01294243580058162,0.0036988053439233827,0.005933806700015581,0.045064248744407925
4,Czechia,2418.2687778037935,3469.211018159693,-1050.9422403558997,-166.57517094375663,-0.004466030731417041,0.0,-166.57517094375663,-0.004466030731417041,0.0036988053439233827,0.005933806700015581,0.1585007858161132
6,Denmark,6853.739589176783,8276.495393750625,-1422.7558045738424,-253.42510323201856,-0.0020996363931950384,0.0,-253.42510323201856,-0.0020996363931950384,0.0036988053439233827,0.005933806700015581,0.17812269851039328
8,Estonia,255.5555674770381,10.74948430052939,244.8060831765087,25.788533051536632,0.0038965759537614945,15.161380810074007,40.94991386161064,0.006187418622954543,0.0036988053439233827,0.005933806700015581,0.10534269703152241
9,Finland,2084.9458441687,1064.8151743827023,1020.130669785998,162.10398651850718,0.0029209005009150036,0.0,162.10398651850718,0.0029209005009150036,0.0036988053439233827,0.005933806700015581,0.15890512002007862
10,France,34677.72209649059,5996.047636099937,28681.674460390648,6974.621485826924,0.01042585867405509,0.0,6974.621485826924,0.01042585867405509,0.0036988053439233827,0.005933806700015581,0.2431734414759803
5,Germany,35287.12478648985,11255.316058687647,24031.8087278022,4994.446546959179,0.011259133820564371,0.0,4994.446546959179,0.011259133820564371,0.0036988053439233827,0.005933806700015581,0.2078264937745258
11,Greece,1185.2781106128596,2054.3994771301295,-869.12136651727,-212.17764256946776,-0.003948527122780859,0.0,-212.17764256946776,-0.003948527122780859,0.0036988053439233827,0.005933806700015581,0.24412889930402104
13,Hungary,1203.0942711591642,2234.4803601144317,-1031.3860889552675,-190.13506346852319,-0.005183386716948618,0.0,-190.13506346852319,-0.005183386716948618,0.0036988053439233827,0.005933806700015581,0.18434906724514644
14,Ireland,3480.17330815244,21280.767348844787,-17800.594040692347,-2147.893383901711,-0.030396279040361303,698.056188531436,-1449.837195370275,-0.020517617999044203,0.0036988053439233827,0.005933806700015581,0.12066414070179926
15,Italy,21659.267881309876,9733.899268182147,11925.368613127728,3221.820862870044,0.006517790640275436,0.0,3221.820862870044,0.006517790640275436,0.0036988053439233827,0.005933806700015581,0.27016530619635415
18,Latvia,157.9755666893826,46.847437520181906,111.12812916920069,8.177600003612106,0.0011196873793900145,35.48039494401477,43.657994947626875,0.0059777081210549195,0.0036988053439233827,0.005933806700015581,0.07358712924214816
16,Lithuania,170.8756420937469,172.0867928377418,-1.2111507439948923,-0.16728265186745966,-1.528668318202211e-05,9.460681721192302,9.293399069324842,0.000849252720894383,0.0036988053439233827,0.005933806700015581,0.1381187706789413
17,Luxembourg,29310.48870307789,26162.498719613708,3147.98998346418,89.4291086405712,0.004836977834609095,1392.1736503461868,1481.602758986758,0.08013587313855233,0.0036988053439233827,0.005933806700015581,0.028408320582443424
19,Malta,202.44583083278656,6564.172916061307,-6361.72708522852,-309.61983814375594,-0.07979528690814285,77.03443767429593,-232.58540046946,-0.059941956149750494,0.0036988053439233827,0.005933806700015581,0.04866914817246268
20,Netherlands,9219.12948454623,72446.45693737651,-63227.32745283028,-4341.736882153898,-0.01983790770947821,3904.7292959475603,-437.00758620633724,-0.0019967391849877347,0.0036988053439233827,0.005933806700015581,0.06866867629970569
21,Poland,5419.785304418233,2031.4319639572552,3388.353340460978,597.2052651116871,0.005779280757356955,0.0,597.2052651116871,0.005779280757356955,0.0036988053439233827,0.005933806700015581,0.17625235773977418
22,Portugal,3303.6477845926556,2478.406165535002,825.2416190576537,124.7590028751,0.0023415747448609094,0.0,124.7590028751,0.0023415747448609094,0.0036988053439233827,0.005933806700015581,0.15117875782557202
23,Romania,4123.388171582895,673.9567973435469,3449.431374239348,519.958823509832,0.014226121137162349,0.0,519.958823509832,0.014226121137162349,0.0036988053439233827,0.005933806700015581,0.15073754688756225
24,Slovak Republic,1538.1273404334802,796.4653643600311,741.6619760734491,165.78062283499554,0.008348847199142537,0.0,165.78062283499554,0.008348847199142537,0.0036988053439233827,0.005933806700015581,0.22352584894897964
25,Slovenia,385.8725389376823,161.49846602625206,224.37407291143023,63.58445426507602,0.0063830662748724995,0.0,63.58445426507602,0.0063830662748724995,0.0036988053439233827,0.005933806700015581,0.2833859252988443
7,Spain,15057.08211314067,2218.2588003320307,12838.82331280864,1967.557477361015,0.010263735781208976,0.0,1967.557477361015,0.010263735781208976,0.0036988053439233827,0.005933806700015581,0.1532506078962924
26,Sweden,1769.9791514300553,5050.120926170015,-3280.14177473996,-560.9972054191256,-0.0038332362523886493,0.0,-560.9972054191256,-0.0038332362523886493,0.0036988053439233827,0.005933806700015581,0.17102834082944474
