,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,revenue_loss_incurred,revenue_loss_inflicted,revenue_loss_inflicted_pct,etr_average_corrected,cit
0,Afghanistan,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.185912443834204,0.2
1,Albania,63.356438916333836,0.0,63.356438916333836,9.503465837450076,0.0,0.0,0.2530394628482435,0.15
2,Algeria,202.05263835825127,0.0,202.05263835825127,52.53368597314533,0.0,0.0,0.4816355335112748,0.26
3,American Samoa,3.400294234547775,0.0,3.400294234547775,1.1561000397462435,0.0,0.0,0.0883102746783955,0.34
4,Andorra,80.43072868000986,0.0,80.43072868000986,0.0,0.0,0.0,0.0378015408839426,0.0
5,Angola,114.09586247121716,0.0,114.09586247121716,34.22875874136515,0.0,0.0,0.2228140731528627,0.3
6,Anguilla,-0.0,30.706970440589675,-30.706970440589675,-0.0,7.589897534768912,0.006007845332263252,0.0,0.0
7,Antigua and Barbuda,-0.0,1.654505320286815,-1.654505320286815,-0.0,0.40894707851439216,0.00032370539727848765,0.0091342920268295,0.25
8,Argentina,2805.156210109633,0.0,2805.156210109633,841.5468630328899,0.0,0.0,0.1632288327706152,0.3
9,Armenia,5.9740439758392005,0.8628483478966082,5.1111956279425925,1.19480879516784,0.21327178991006104,0.0001688170257431019,0.1114066068991914,0.2
10,Aruba,0.22675677599321084,52.59759178576134,-52.37083500976813,0.05668919399830271,13.000642085545493,0.010290764336708237,0.0071498717686041,0.25
11,Australia,11627.143404684844,0.0,11627.143404684844,3488.143021405453,0.0,0.0,0.3152666394867726,0.3
12,Austria,1491.734362168682,3754.0366854035733,-2262.3023232348914,372.9335905421705,927.8920510606218,0.7344805252339236,0.1084197523201838,0.25
13,Azerbaijan,3.676716036848933,0.0,3.676716036848933,0.7353432073697866,0.0,0.0,0.1500041516767618,0.2
14,Bahamas,434.96649638270543,1803.5255585673283,-1368.559062184623,0.0,445.780680883087,0.3528613358201456,0.0149287750486641,0.0
