,partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,revenue_loss_incurred,revenue_loss_inflicted,revenue_loss_inflicted_pct,etr_average_corrected,cit
0,Afghanistan,7.910531827265646,0.0,7.910531827265646,1.5821063654531293,0.0,0.0,0.2063745106538741,0.2
1,Albania,15.493600236666268,26.153200589598157,-10.65960035293189,2.32404003549994,6.130960027711569,0.005097403253010259,0.0861303706942517,0.15
2,Algeria,86.31601728848199,0.0,86.31601728848199,22.44216449500532,0.0,0.0,0.4978240894778786,0.26
3,American Samoa,-0.0,43.40229254198957,-43.40229254198957,-0.0,10.17457575696553,0.008459346550480452,0.1161426815163184,0.34
4,Andorra,2.3241614718633947,0.0,2.3241614718633947,0.0,0.0,0.0,0.0318948207127207,0.0
5,Angola,14.351556947797224,0.0,14.351556947797224,4.305467084339167,0.0,0.0,0.2499214905647195,0.3
6,Anguilla,4.124377051629532,6.392632835553326,-2.2682557839237942,0.0,1.498591969741632,0.0012459594495753607,0.0,0.0
7,Antigua and Barbuda,0.1857028334849686,0.0,0.1857028334849686,0.04642570837124215,0.0,0.0,0.0,0.25
8,Argentina,2232.351625948927,0.0,2232.351625948927,669.7054877846781,0.0,0.0,0.2541279525878647,0.3
9,Armenia,23.802216222964155,0.0,23.802216222964155,4.760443244592831,0.0,0.0,1.713032889060857,0.2
10,Aruba,0.09433288180162676,32.56391431324273,-32.4695814314411,0.02358322045040669,7.633790606864435,0.006346886767545007,0.0,0.25
11,Australia,6405.0856697740655,0.0,6405.0856697740655,1921.5257009322195,0.0,0.0,0.3085691710434611,0.3
12,Austria,965.1731634263207,6497.859657760545,-5532.686494334224,241.29329085658017,1523.2597513611465,1.2664687384474977,0.1120540402077095,0.25
13,Azerbaijan,24.35893931679383,0.0,24.35893931679383,4.871787863358766,0.0,0.0,0.162543014447504,0.2
14,Bahamas,769.972533479084,30.736057803029365,739.2364756760546,0.0,7.205295625452192,0.005990627437476497,0.0035269961996583,0.0
15,Bahrain,310.87188950809156,136.3910085177269,174.48088099036465,0.0,31.97344120451684,0.026583360920503434,0.0108263939735142,0.0
16,Bangladesh,237.8564777504246,0.0,237.8564777504246,59.46411943760615,0.0,0.0,0.3749218770982083,0.25
17,Barbados,112.13150301792895,3760.784319500847,-3648.652816482918,6.167232665986092,881.6212859574301,0.7329976366914769,0.0081760584512136,0.055
18,Belarus,32.8146320322068,0.0,32.8146320322068,5.906633765797224,0.0,0.0,0.1657153110604107,0.18
19,Belgium,26436.669000949303,0.0,26436.669000949303,7819.966690480804,0.0,0.0,0.193183972712142,0.2958
20,Belize,0.7058393851110796,1.6746347292241641,-0.9687953441130845,0.1764598462777699,0.3925759889584776,0.0003263955586279686,0.0439639765509934,0.25
21,Benin,32.773138824639766,0.0,32.773138824639766,9.831941647391929,0.0,0.0,inf,0.3
22,Bermuda,1651.8907773577441,17337.611958566093,-15685.721181208348,0.0,4064.367018093369,3.37919633561692,0.013724512619564,0.0
23,Bolivia,154.65112578684446,0.0,154.65112578684446,38.662781446711115,0.0,0.0,0.1680265206253144,0.25
24,Bosnia and Herzegovina,46.27870984217127,77.23476279854984,-30.95605295637857,4.627870984217127,18.105747395828363,0.015053481878290172,0.1112124348996468,0.1
25,Botswana,43.17984977589121,0.0,43.17984977589121,9.499566950696067,0.0,0.0,0.3320142588842545,0.22
26,Brazil,11507.398267295242,0.0,11507.398267295242,3912.5154108803827,0.0,0.0,0.2328018584675387,0.34
27,British Virgin Islands,1554.3519866425843,6804.563575501131,-5250.211588858547,0.0,1595.1587701282015,1.326247026104713,0.0060195799699893,0.0
28,Brunei Darussalam,43.96004119669453,45.67583615265888,-1.7157949559643484,8.13260762138849,10.707550868387132,0.008902472758195763,0.0648098557069923,0.185
29,Bulgaria,321.4804020075988,690.2402131779082,-368.75981117030943,32.14804020075988,161.8094558643038,0.1345316301137896,0.105166238923721,0.1
30,Burkina Faso,22.916428820759023,0.0,22.916428820759023,6.416600069812527,0.0,0.0,0.157967385223003,0.28
31,Cabo Verde,-0.0,20.90467762601345,-20.90467762601345,-0.0,4.900575838823332,0.004074437137011574,0.0,0.22
32,Cambodia,443.01180405942034,0.0,443.01180405942034,88.60236081188407,0.0,0.0,0.2546729413363211,0.2
33,Cameroon,18.429825437970354,0.0,18.429825437970354,6.081842394530217,0.0,0.0,0.3687217348354439,0.33
34,Canada,12938.194414932503,1516.5510145787086,11421.643400353794,3444.147353255032,355.51723845476573,0.29558416946276694,0.1467051301877468,0.2662
35,Cayman Islands,12050.598357063078,32408.30833885574,-20357.70998179266,0.0,7597.312700239913,6.316558303642063,0.0027587914826526,0.0
36,Central African Republic,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.2049404563384232,0.3
37,Chad,1.5650656149904272,0.0,1.5650656149904272,0.5477729652466494,0.0,0.0,inf,0.35
38,Chile,3156.1624555977305,0.0,3156.1624555977305,789.0406138994326,0.0,0.0,0.3640455364601989,0.25
39,China (People's Republic of),4573.085687598065,0.0,4573.085687598065,1143.2714218995163,0.0,0.0,0.1749403698380284,0.25
40,Chinese Taipei,681.401936488425,0.0,681.401936488425,136.280387297685,0.0,0.0,0.21162819317897,0.2
41,Colombia,1646.4600680590713,4356.588072028137,-2710.1280039690655,543.3318224594935,1021.2924890513339,0.8491230790014419,0.1447699628706242,0.33
42,Congo,340.68452434835496,0.0,340.68452434835496,102.20535730450648,0.0,0.0,0.0197041046109603,0.3
43,Cook Islands,8.474942051817944,4.987884045641404,3.4870580061765404,1.6949884103635888,1.1692839506171349,0.0009721661512435606,0.0049880409151699,0.2
44,Costa Rica,421.0738567676195,0.0,421.0738567676195,126.32215703028584,0.0,0.0,0.1708568605582438,0.3
45,Croatia,80.60247948161879,0.0,80.60247948161879,14.508446306691381,0.0,0.0,0.2262312630209246,0.18
46,Cuba,0.916821604713037,2.2241939147298355,-1.3073723100167984,0.32088756164956295,0.5214063165374689,0.0004335076793919733,0.0,0.35
47,Curacao,166.41043360831134,1129.8696657376208,-963.4592321293095,36.610295393828494,264.869522696825,0.22021783872598882,0.0153284541020206,0.22
48,Cyprus,1527.4493605445084,294.24432078280637,1233.205039761702,190.93117006806355,68.97817966562863,0.05734984338913438,0.085211091027453,0.125
49,Czechia,897.2161012602809,0.0,897.2161012602809,170.47105923945338,0.0,0.0,0.1503935466877026,0.19
50,Côte d'Ivoire,103.84338964468577,44.27499901564894,59.568390629036834,25.960847411171443,10.379159837892846,0.008629441862620707,0.09714022668622,0.25
